table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 81,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 1st to 3rd May 2020,Checked whether it was misleading with family and friends,154,68,86,31,26,30,24,23,17,28,53,38,25,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 81,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 1st to 3rd May 2020,Asked the person who forwarded/shared it with me whether it was accurate,85,45,40,19,15,23,23,7,6,7,32,24,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 81,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 1st to 3rd May 2020,Blocked it or reported it to a social media platform,101,60,42,19,19,33,17,16,9,6,30,31,16,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 81,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 1st to 3rd May 2020,Other,98,59,39,6,5,16,14,15,16,32,36,31,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 81,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 1st to 3rd May 2020,Did nothing,817,401,416,103,94,140,116,141,119,199,227,240,146,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 95,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,951,471,480,154,138,203,143,130,135,186,286,278,168,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 95,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,955,467,488,166,148,210,145,141,118,175,282,276,186,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 95,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 12th to 15th June 2020,NET: Did anything,471,252,219,100,91,113,75,70,53,60,159,120,90,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 95,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 12th to 15th June 2020,Forwarded/ shared it with people I know,52,28,24,12,12,17,11,3,5,4,21,12,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 95,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 12th to 15th June 2020,Used a fact checking site or tools,161,78,83,34,31,40,25,30,14,18,51,43,28,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 95,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 12th to 15th June 2020,Used tips from media such as BBC website,103,58,45,26,22,32,17,12,3,13,37,33,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 95,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 12th to 15th June 2020,Checked whether it was misleading with family and friends,139,85,54,26,23,37,28,13,18,17,48,37,31,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
