table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 96,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,164,85,79,16,14,28,44,24,24,28,54,49,31,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,159,81*,78*,23**,21**,24**,37*,24**,24**,28**,49*,47*,29**,34**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 5th to 7th June 2020,Full Fact,56,34,22,7,6,14,11,8,8,8,17,18,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 5th to 7th June 2020,Snopes,24,9,15,3,3,5,9,4,2,2,5,9,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 5th to 7th June 2020,Newsguard,24,12,12,5,5,5,8,1,-,4,12,7,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 5th to 7th June 2020,Sense about science,23,12,11,4,4,5,7,3,1,4,8,7,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 5th to 7th June 2020,First Draft News,8,6,3,1,1,3,4,1,-,-,4,4,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 5th to 7th June 2020,Poynter Institute,8,3,4,3,3,3,1,1,-,-,5,3,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 5th to 7th June 2020,Infotagion,7,2,5,1,1,3,2,1,-,-,2,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 5th to 7th June 2020,Other,20,8,11,2,2,2,3,2,5,6,9,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
