table,question,date,response,The amount of false or misleading information you may be getting about Coronavirus,The amount of false or misleading information that others in society may be getting about Coronavirus
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 4th to 6th June 2021,4,402,701
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 4th to 6th June 2021,3,671,582
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 4th to 6th June 2021,2,422,184
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 4th to 6th June 2021,1 - Not at all concerned,381,111
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 4th to 6th June 2021,NET: Bottom 2 box,803,295
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 4th to 6th June 2021,Mean,2.88,3.66
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 4th to 6th June 2021,Standard deviation Standard error,1.25,1.11
Table 114,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,2107,2107
Table 114,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2107,2107
Table 114,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 4th to 6th December 2020,NET: Top 2 box,686,1211
Table 114,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 4th to 6th December 2020,5 - Very concerned,250,508
Table 114,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 4th to 6th December 2020,4,436,703
Table 114,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 4th to 6th December 2020,3,703,611
Table 114,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 4th to 6th December 2020,2,377,179
Table 114,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 4th to 6th December 2020,1 - Not at all concerned,340,107
Table 114,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 4th to 6th December 2020,NET: Bottom 2 box,718,285
Table 114,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 4th to 6th December 2020,Mean,2.94,3.63
Table 114,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 4th to 6th December 2020,Standard deviation Standard error,1.23,1.09
Table 103,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,2164,2164
Table 103,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,2164,2164
Table 103,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 19th to 21st June 2020,NET: Top 2 box,787,1318
Table 103,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 19th to 21st June 2020,5 - Very concerned,299,515
