table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 164,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,1,-,1,-,-,2,1,2,-,-,-,-,1,1,,,,,,,,,,,,,,,,,,,,,
Table 164,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,-,-,-,1,1,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,
Table 164,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
Table 164,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,-,-,-,1,1,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,
Table 164,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.44,4.37,4.41,4.45,4.37,4.36,4.27,4.3,4.67,4.61,4.25,4.49,4.42,4,4.69,4.44,4,4.4,4.42,,,,,,,,,,,,,,,,,,,,,
Table 164,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.74,0.69,0.69,0.7,0.73,0.77,0.76,0.5,0.51,0.6,0.68,0.69,-,0.5,0.53,-,0.74,0.64,,,,,,,,,,,,,,,,,,,,,
Table 165,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,4,5,14,4,3,37,22,24,7,53,7,59,62,63,64,-,,,
Table 165,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,55*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6**,4**,3**,4**,12**,3**,2**,33*,17**,21**,6**,46*,5**,50*,53*,54*,55*,-**,,,
Table 165,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,2,3,10,2,2,29,14,20,5,44,4,47,49,50,51,-,,,
Table 165,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,5,1,1,14,6,11,4,24,1,24,25,26,26,-,,,
Table 165,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,4,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,3,5,2,1,15,8,9,1,19,3,23,24,24,25,-,,,
Table 165,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,1,1,-,-,3,2,-,-,1,1,2,3,3,3,-,,,
Table 165,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,-,1,1,-,1,1,1,1,1,1,1,1,1,1,-,,,
Table 165,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Table 165,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,-,1,1,-,1,1,1,1,1,1,1,1,1,1,-,,,
Table 165,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03,4.5,3.78,4.01,4.23,3.83,4.37,4.26,4.11,4.48,4.54,4.46,3.7,4.39,4.37,4.38,4.37,-,,,
Table 165,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.59,1.28,0.65,0.83,1.27,-,0.79,0.9,0.7,1.01,0.68,0.97,0.69,0.7,0.7,0.7,-,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,55,29,26,3,3,10,4,16,10,12,11,15,10,19,55,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,47*,25**,22**,2**,2**,8**,3**,14**,9**,10**,9**,14**,11**,14**,47*,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,NET: Trust,43,22,22,2,2,8,3,13,8,9,9,14,9,12,43,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,5 - Trust completely,27,14,13,-,-,5,2,7,7,6,4,9,7,9,27,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,4,16,7,9,2,2,3,1,6,1,3,5,6,2,3,16,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,3,2,2,-,-,-,-,-,-,2,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,2,2,1,1,-,-,-,-,1,-,1,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,NET: Do not trust,2,1,1,-,-,-,-,1,-,1,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,Mean,4.46,4.42,4.49,4,4,4.68,4.71,4.33,4.54,4.39,4.41,4.6,4.47,4.32,4.46,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,0.77,0.83,0.71,0,0,0.5,0.54,0.88,0.81,0.93,0.52,0.51,0.78,1.1,0.77,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,49,13,36,5,4,4,11,15,7,7,13,11,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,43*,11**,32**,7**,6**,4**,8**,11**,7**,6**,12**,9**,9**,12**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 5th to 7th June 2020,NET: Trust,37,8,29,5,4,3,7,11,7,4,10,9,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 5th to 7th June 2020,5 - Trust completely,26,2,24,5,4,3,5,6,4,4,7,7,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 5th to 7th June 2020,4,11,5,5,-,-,-,2,5,3,-,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 5th to 7th June 2020,3,3,1,1,1,1,-,1,-,-,1,-,1,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 5th to 7th June 2020,2,3,2,1,-,-,1,-,-,-,2,2,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 5th to 7th June 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 5th to 7th June 2020,NET: Do not trust,3,2,1,-,-,1,-,-,-,2,2,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 5th to 7th June 2020,Mean,4.42,3.76,4.64,4.6,4.53,4.19,4.53,4.52,4.54,3.88,4.31,4.71,3.85,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 5th to 7th June 2020,Standard deviation Standard error,0.89,1.03,0.73,0.86,0.93,1.56,0.69,0.52,0.54,1.5,1.15,0.63,1,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,54,22,32,2,2,7,5,9,15,16,19,17,6,12,54,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,55*,23**,32**,2**,2**,8**,5**,9**,14**,17**,20**,18**,5**,12**,55*,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
