table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 5th to 11th April 2021,2,20,15,5,5,5,1,4,-,2,7,7,7,3,2,2,-,2,1,5,1,4,4,-,1,-,*,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 5th to 11th April 2021,1 - Do not trust at all,8,7,1,-,-,4,-,2,-,1,-,*,4,4,-,-,-,1,1,-,*,2,3,-,-,-,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 5th to 11th April 2021,NET: Do not trust,27,22,6,5,5,6,4,2,2,8,7,8,6,6,2,-,2,2,6,1,4,6,3,1,-,*,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 5th to 11th April 2021,Mean,3.98,3.99,3.97,4.06,4.04,4,3.93,3.97,4.1,3.85,4.03,4.08,3.8,3.88,3.92,3.75,4.02,3.88,3.84,4,3.89,3.98,3.89,4.08,4.22,3.95,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,0.84,0.91,0.73,0.85,0.87,0.93,0.74,0.85,0.74,0.9,0.75,0.77,0.96,0.97,0.74,0.61,0.84,0.8,1.06,0.73,0.88,1.06,0.9,0.66,0.72,0.8,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,650,343,307,82,74,121,119,117,109,102,239,219,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,631,333,298,101*,91*,127,94,100,102,108*,223,213,95*,99*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 5th to 7th June 2020,NET: Trust,468,243,225,77,68,98,72,77,71,75,170,165,63,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 5th to 7th June 2020,5 - Trust completely,132,74,58,27,21,25,23,16,16,25,50,50,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 5th to 7th June 2020,4,336,169,167,50,47,73,49,60,54,49,120,115,49,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 5th to 7th June 2020,3,136,73,63,21,20,25,20,21,22,27,46,42,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 5th to 7th June 2020,2,14,7,7,1,1,2,2,2,5,2,4,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 5th to 7th June 2020,1 - Do not trust at all,12,9,3,2,2,1,*,1,4,4,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 5th to 7th June 2020,NET: Do not trust,26,16,10,3,3,4,2,3,9,6,8,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 5th to 7th June 2020,Mean,3.89,3.88,3.9,3.98,3.93,3.93,3.98,3.9,3.72,3.84,3.94,3.96,3.7,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 5th to 7th June 2020,Standard deviation Standard error,0.82,0.87,0.77,0.83,0.83,0.74,0.76,0.71,0.93,0.92,0.8,0.79,0.89,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,532,286,246,78,71,76,91,97,88,102,188,160,97,87,45,18,47,33,43,40,27,54,67,77,56,25,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,525,288,237,88*,80*,75*,92*,95*,82*,94*,185,169,92*,79*,39*,15**,54*,34**,41*,38*,27**,53*,66*,78*,59*,21**,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 12th to 14th March 2021,NET: Trust,401,219,182,70,63,58,64,71,63,75,148,126,69,58,32,13,36,23,27,29,23,42,54,63,41,18,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 12th to 14th March 2021,5 - Trust completely,152,86,66,28,23,19,23,27,29,26,55,47,25,25,16,3,13,10,10,13,8,13,17,30,13,7,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 12th to 14th March 2021,4,249,132,116,42,40,39,41,44,33,49,93,79,44,33,16,10,23,14,17,17,15,29,36,34,28,12,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 12th to 14th March 2021,3,103,55,48,18,17,14,22,21,13,15,33,35,15,20,6,2,16,9,11,9,3,9,9,12,16,2,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 12th to 14th March 2021,2,16,9,7,-,-,2,5,2,3,3,3,5,7,1,-,-,1,2,1,-,1,-,3,2,3,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
