table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,2101,1027,1074,290,251,351,326,361,303,471,572,592,426,511,175,84*,232,171,183,151,100*,198,277,287,179,63*,1763,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 6th to 8th November 2020,NET: At least once a day,1634,759,875,278,241,325,274,276,213,268,444,472,336,383,139,72,187,133,137,110,82,145,228,217,139,46,1368,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 6th to 8th November 2020,10 times or more a day,600,265,335,161,137,139,114,90,54,43,172,175,120,133,59,32,76,45,46,46,19,50,85,73,53,16,506,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 6th to 8th November 2020,5-9 times a day,379,163,216,72,64,94,59,63,40,51,103,116,80,80,32,10,28,32,39,19,29,28,59,60,27,17,302,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 6th to 8th November 2020,2-4 times a day,440,218,222,35,31,75,72,83,69,106,119,113,87,121,34,21,57,38,30,27,24,48,57,54,43,7,375,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 6th to 8th November 2020,About once a day,215,114,102,10,9,17,29,41,49,69,51,67,49,49,14,9,26,19,22,18,10,19,27,30,15,6,185,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 6th to 8th November 2020,A few times a week,106,62,44,2,2,8,19,20,24,34,21,26,22,37,7,2,11,10,12,6,4,12,8,17,14,4,91,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 6th to 8th November 2020,About once a week,48,24,24,-,-,3,4,12,8,21,15,11,10,12,3,-,8,1,5,4,2,6,4,9,2,2,40,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 6th to 8th November 2020,About once a month,25,19,6,1,1,3,2,3,9,7,8,4,4,8,4,-,2,1,3,1,1,-,6,2,3,2,18,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 6th to 8th November 2020,Less than once a month,54,32,23,-,-,6,4,10,11,22,14,14,9,17,3,3,4,4,6,2,2,5,5,12,6,3,46,,,
