table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 297,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,1.21,1.22,1.19,1.18,1.15,1.23,1.19,1.22,1.22,1.19,1.18,1.18,1.18,1.24,1.22,1.31,1.17,1.25,1.17,1.2,1.09,1.2,1.22,1.21,1.19,1.24,,1.19,1.2,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 298,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,1021,1578,636,720,808,178,613,163,163,562,625,1859,35,687,244,99,834,656,,,,,,,,,,,,,,,,,,,,,
Table 298,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,,,,
Table 298,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Agree,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634,399,562,220,266,334,78,262,63,63,207,261,681,12,251,75,40,363,147,,,,,,,,,,,,,,,,,,,,,
Table 298,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Strongly agree      (+2),201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,98,132,56,63,83,25,65,22,14,50,63,162,4,56,11,11,106,21,,,,,,,,,,,,,,,,,,,,,
Table 298,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Slightly agree      (+1),579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484,301,430,164,202,251,53,197,41,48,157,199,519,8,195,63,29,257,126,,,,,,,,,,,,,,,,,,,,,
Table 298,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Neither agree nor    (0) disagree,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,236,366,105,139,194,50,159,37,45,111,127,440,8,175,48,21,143,159,,,,,,,,,,,,,,,,,,,,,
Table 298,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Slightly disagree   (-1),515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462,251,423,187,207,190,39,138,44,44,168,166,479,7,166,82,28,196,220,,,,,,,,,,,,,,,,,,,,,
Table 298,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Strongly disagree   (-2),288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,129,213,108,112,96,14,59,13,11,79,66,255,6,90,40,10,106,146,,,,,,,,,,,,,,,,,,,,,
Table 298,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Disagree,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696,380,635,295,319,286,53,197,56,55,247,232,733,12,256,122,38,302,366,,,,,,,,,,,,,,,,,,,,,
