table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 12th to 14th March 2021,Neither agree nor    (0) disagree,228,110,119,42,37,47,44,44,27,25,52,61,50,65,23,11,31,27,15,16,9,16,29,28,16,6,190,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 12th to 14th March 2021,Slightly disagree   (-1),83,48,35,13,12,17,16,14,13,10,28,20,20,14,7,3,9,9,5,8,7,3,12,12,6,2,67,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 12th to 14th March 2021,Strongly disagree   (-2),88,41,47,10,8,14,11,17,13,23,24,22,19,24,8,4,4,12,5,10,1,9,12,15,4,3,75,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 12th to 14th March 2021,NET: Disagree,171,89,82,23,19,30,28,31,26,32,52,42,39,37,15,8,13,21,9,18,8,12,24,27,10,5,142,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 12th to 14th March 2021,Mean,1.32,1.3,1.33,1.19,1.19,1.22,1.26,1.27,1.35,1.51,1.31,1.35,1.29,1.31,1.23,1.19,1.4,1.09,1.49,1.18,1.34,1.4,1.25,1.31,1.48,1.36,1.32,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 12th to 14th March 2021,Standard deviation Standard error,1.07,1.08,1.07,1.05,1.04,1.08,1.08,1.11,1.08,1.02,1.08,1.03,1.11,1.08,1.11,1.13,0.97,1.23,0.93,1.2,0.98,1.02,1.08,1.12,0.94,1.12,1.07,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,2101,1040,1061,258,227,336,346,377,310,474,646,571,407,477,179,82,217,160,173,169,103,204,295,299,158,62,1757,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,2101,1027,1074,290,251,351,326,361,303,471,572,592,426,511,175,84*,232,171,183,151,100*,198,277,287,179,63*,1763,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 6th to 8th November 2020,NET: Agree,1703,807,896,227,196,275,250,288,252,412,469,500,338,396,137,65,189,138,149,121,81,165,219,237,148,52,1432,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 6th to 8th November 2020,Strongly agree      (+2),1335,625,709,154,136,194,187,232,203,364,374,376,266,319,108,57,154,114,118,92,62,130,166,172,116,45,1119,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 6th to 8th November 2020,Slightly agree      (+1),368,182,186,72,60,82,63,56,48,47,95,124,72,77,29,8,35,24,31,29,19,35,54,65,32,8,313,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 6th to 8th November 2020,Neither agree nor    (0) disagree,250,128,122,38,32,46,48,52,33,33,59,60,52,79,21,15,23,25,19,19,11,19,36,34,22,6,212,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 6th to 8th November 2020,Slightly disagree   (-1),67,45,22,17,15,8,12,10,14,6,19,18,11,19,12,2,4,1,4,6,5,7,10,7,4,3,46,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 6th to 8th November 2020,Strongly disagree   (-2),82,47,35,9,8,21,15,11,5,21,25,14,26,17,5,2,16,7,11,5,2,6,11,10,5,2,73,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 6th to 8th November 2020,NET: Disagree,149,92,56,26,23,29,28,21,18,27,43,32,37,36,17,4,20,8,16,12,7,14,21,16,9,5,119,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 6th to 8th November 2020,Mean,1.34,1.26,1.41,1.2,1.2,1.19,1.21,1.35,1.43,1.55,1.36,1.4,1.27,1.3,1.27,1.37,1.32,1.39,1.31,1.3,1.35,1.39,1.27,1.33,1.4,1.44,1.34,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 6th to 8th November 2020,Standard deviation Standard error,1.06,1.12,0.99,1.07,1.07,1.13,1.12,1.03,0.96,1,1.07,0.96,1.15,1.07,1.1,1.02,1.16,1.02,1.14,1.07,1.01,1.02,1.08,1,0.97,1.03,1.06,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 4th to 6th June 2021,Unweighted base,2135,1020,1115,251,219,361,336,354,336,497,627,605,372,531,193,78,207,169,190,165,119,192,303,268,189,62,1761,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,2135,1044,1091,295,254,356,331,367,307,479,581,602,433,519,178,85*,236,174,186,153,101*,201,282,292,182,64*,1792,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 4th to 6th June 2021,NET: Agree,1722,813,909,227,196,270,252,296,260,418,478,481,354,410,148,73,180,142,156,123,83,158,229,229,144,57,1434,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 4th to 6th June 2021,Strongly agree      (+2),1284,595,689,140,123,174,172,226,212,360,355,359,254,316,111,57,134,110,113,102,61,115,158,173,105,46,1066,,,
