table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 144,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 6th to 8th November 2020,1st most important,107,66,41,25,22,28,20,16,9,9,40,28,20,19,9,5,13,9,4,7,7,4,21,21,6,1,90,,,
Table 144,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 6th to 8th November 2020,2nd most important,153,74,79,27,23,37,22,29,24,14,40,49,41,24,16,5,19,16,8,12,13,9,22,11,17,4,120,,,
Table 144,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 6th to 8th November 2020,3rd most important,121,63,58,18,16,38,28,21,12,4,42,32,29,17,8,3,15,16,12,10,4,8,19,16,8,3,106,,,
Table 144,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 6th to 8th November 2020,No answer,1720,824,896,220,190,247,256,296,257,444,449,484,336,450,143,71,186,131,159,122,76,176,215,239,148,55,1446,,,
Table 152,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,2107,1075,1032,272,241,366,329,356,313,471,582,631,352,542,184,89,205,178,201,148,101,206,293,278,153,71,1751,48,907,741
Table 152,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2107,1030,1077,291,252,352,327,362,303,472,573,594,428,512,176,84*,233,172,184,151,100*,198,278,288,180,63*,1768,55*,906,757
Table 152,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 4th to 6th December 2020,NET: Important,321,170,150,68,61,77,61,46,41,27,95,100,62,63,21,13,39,30,29,26,7,17,50,51,26,12,280,10,135,126
Table 152,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 4th to 6th December 2020,1st most important,97,57,40,17,16,36,19,11,6,9,25,35,22,15,8,4,13,7,11,6,3,5,19,10,8,3,83,4,39,38
Table 152,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 4th to 6th December 2020,2nd most important,111,58,53,28,24,11,23,21,19,10,38,31,16,26,9,6,13,11,4,10,3,6,14,24,9,3,97,5,46,42
Table 152,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 4th to 6th December 2020,3rd most important,113,56,57,24,21,30,19,15,16,9,33,33,24,22,4,3,13,12,15,9,2,6,17,16,9,6,100,1,49,45
Table 152,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 4th to 6th December 2020,No answer,1786,860,926,222,191,275,266,316,262,444,478,494,366,449,155,71,194,141,155,125,93,182,228,238,154,51,1488,46,771,631
Table 156,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,2115,1003,1112,261,228,325,342,367,332,488,584,640,359,532,186,88,220,166,174,162,105,182,296,296,177,63,1761,,,
Table 156,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,2115,1034,1081,292,250,353,328,364,305,473,575,597,429,514,176,84*,234,172,185,152,100*,199,279,289,181,63*,1775,,,
Table 156,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 15th to 17th January 2021,NET: Important,370,186,184,72,64,73,67,67,41,51,111,144,54,61,32,22,44,28,32,30,17,32,53,43,19,18,303,,,
Table 156,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 15th to 17th January 2021,1st most important,84,40,43,14,13,19,20,9,11,10,21,45,8,11,8,6,9,9,7,5,4,2,13,10,4,5,66,,,
Table 156,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 15th to 17th January 2021,2nd most important,153,77,76,28,24,29,25,32,16,23,56,46,24,28,10,13,15,11,14,14,9,15,17,19,8,8,127,,,
Table 156,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 15th to 17th January 2021,3rd most important,133,68,65,29,27,25,22,26,14,18,34,54,22,22,14,3,20,8,10,11,5,15,22,13,7,5,110,,,
Table 156,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 15th to 17th January 2021,No answer,1745,848,896,220,186,280,261,297,264,423,464,452,375,453,144,62,190,144,153,122,83,167,226,246,161,45,1472,,,
