table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 147,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2107,1030,1077,291,252,352,327,362,303,472,573,594,428,512,176,84*,233,172,184,151,100*,198,278,288,180,63*,1768,55*,906,757
Table 147,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 4th to 6th December 2020,NET: Important,1146,529,617,142,128,178,185,217,171,253,288,333,240,285,94,49,115,86,97,80,54,125,167,152,88,39,959,30,513,398
Table 147,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 4th to 6th December 2020,1st most important,301,134,168,29,28,48,53,56,48,66,69,85,67,81,38,15,28,17,21,22,20,24,39,45,20,13,231,6,130,91
Table 147,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 4th to 6th December 2020,2nd most important,404,180,224,53,50,62,59,80,62,88,89,110,89,115,24,16,37,30,37,28,16,54,62,51,32,16,348,8,190,141
Table 147,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 4th to 6th December 2020,3rd most important,441,216,225,60,51,68,73,80,60,99,130,137,85,89,31,18,51,39,39,29,18,48,66,55,37,11,381,15,194,165
Table 147,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 4th to 6th December 2020,No answer,961,501,459,149,123,174,142,145,133,218,285,262,187,227,82,35,118,85,87,72,46,73,111,137,92,24,809,25,392,359
Table 151,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,2115,1003,1112,261,228,325,342,367,332,488,584,640,359,532,186,88,220,166,174,162,105,182,296,296,177,63,1761,,,
Table 151,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,2115,1034,1081,292,250,353,328,364,305,473,575,597,429,514,176,84*,234,172,185,152,100*,199,279,289,181,63*,1775,,,
Table 151,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 15th to 17th January 2021,NET: Important,894,422,472,103,90,156,152,154,138,192,217,237,198,242,78,29,92,67,76,58,38,74,129,127,82,43,735,,,
Table 151,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 15th to 17th January 2021,1st most important,214,105,109,25,21,49,41,34,29,37,53,47,46,67,25,6,29,16,13,13,6,19,31,20,24,13,171,,,
Table 151,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 15th to 17th January 2021,2nd most important,289,149,139,29,22,45,54,55,45,60,68,78,71,73,19,8,34,24,27,18,7,28,40,42,24,15,247,,,
Table 151,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 15th to 17th January 2021,3rd most important,391,168,223,50,47,61,57,65,64,95,96,112,81,102,35,15,28,27,36,26,24,27,58,64,35,16,317,,,
