table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 85,Age,ONLINE Fieldwork: 17th to 19th April 2020,25-34,357,175,181,-,-,357,-,-,-,-,92,104,96,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,Age,ONLINE Fieldwork: 17th to 19th April 2020,35-44,331,171,160,-,-,-,331,-,-,-,80,85,84,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,Age,ONLINE Fieldwork: 17th to 19th April 2020,45-54,367,201,166,-,-,-,-,367,-,-,72,104,74,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,Age,ONLINE Fieldwork: 17th to 19th April 2020,55-64,308,167,140,-,-,-,-,-,308,-,69,79,63,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,Age,ONLINE Fieldwork: 17th to 19th April 2020,65+,479,238,240,-,-,-,-,-,-,479,148,146,70,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,Age,ONLINE Fieldwork: 17th to 19th April 2020,NET: 18-34,624,260,364,268,268,357,-,-,-,-,200,178,141,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,Age,ONLINE Fieldwork: 17th to 19th April 2020,NET: 35-54,698,372,326,-,-,-,331,367,-,-,152,190,157,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,Age,ONLINE Fieldwork: 17th to 19th April 2020,NET: 55+,786,406,381,-,-,-,-,-,308,479,217,225,133,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,Age,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,2136,1045,1091,295,268,357,331,367,308,479,581,602,434,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,Age,ONLINE Fieldwork: 17th to 19th April 2020,Average age,47.14,48.94,45.42,21.43,21.93,29.78,39.34,49.82,59.38,71.39,46.11,47.28,44.95,49.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Age,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,2105,1038,1067,258,227,355,349,371,307,465,608,570,407,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Age,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,2105,1029,1076,290,248,351,326,362,303,472,573,594,427,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Age,ONLINE Fieldwork: 15th to 17th May 2020,16-17,42,13,30,42,-,-,-,-,-,-,18,9,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Age,ONLINE Fieldwork: 15th to 17th May 2020,18-24,248,103,145,248,248,-,-,-,-,-,96,68,48,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Age,ONLINE Fieldwork: 15th to 17th May 2020,25-34,351,175,176,-,-,351,-,-,-,-,103,98,82,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Age,ONLINE Fieldwork: 15th to 17th May 2020,35-44,326,171,155,-,-,-,326,-,-,-,64,97,79,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Age,ONLINE Fieldwork: 15th to 17th May 2020,45-54,362,193,169,-,-,-,-,362,-,-,75,88,90,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Age,ONLINE Fieldwork: 15th to 17th May 2020,55-64,303,162,142,-,-,-,-,-,303,-,68,89,60,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Age,ONLINE Fieldwork: 15th to 17th May 2020,65+,472,213,259,-,-,-,-,-,-,472,149,144,62,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Age,ONLINE Fieldwork: 15th to 17th May 2020,NET: 18-34,599,278,321,248,248,351,-,-,-,-,198,167,130,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Age,ONLINE Fieldwork: 15th to 17th May 2020,NET: 35-54,688,364,324,-,-,-,326,362,-,-,140,184,168,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Age,ONLINE Fieldwork: 15th to 17th May 2020,NET: 55+,776,375,401,-,-,-,-,-,303,472,217,233,123,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Age,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,2105,1029,1076,290,248,351,326,362,303,472,573,594,427,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Age,ONLINE Fieldwork: 15th to 17th May 2020,Average age,47.15,47.85,46.49,20.6,21.29,29.82,39.62,49.59,59.82,71.57,46.16,47.82,45.09,49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 123,Age,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2119,1016,1103,261,229,328,340,383,329,478,554,596,460,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 123,Age,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,1036,1083,292,253,354,328,364,305,475,576,597,430,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 123,Age,ONLINE Fieldwork: 29th to 31st May 2020,16-17,40,11,29,40,-,-,-,-,-,-,18,12,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 123,Age,ONLINE Fieldwork: 29th to 31st May 2020,18-24,253,113,140,253,253,-,-,-,-,-,83,83,42,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 123,Age,ONLINE Fieldwork: 29th to 31st May 2020,25-34,354,160,193,-,-,354,-,-,-,-,88,100,88,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 123,Age,ONLINE Fieldwork: 29th to 31st May 2020,35-44,328,179,150,-,-,-,328,-,-,-,78,93,69,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 123,Age,ONLINE Fieldwork: 29th to 31st May 2020,45-54,364,188,176,-,-,-,-,364,-,-,66,101,84,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 123,Age,ONLINE Fieldwork: 29th to 31st May 2020,55-64,305,157,148,-,-,-,-,-,305,-,77,85,69,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 123,Age,ONLINE Fieldwork: 29th to 31st May 2020,65+,475,228,247,-,-,-,-,-,-,475,168,124,75,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 123,Age,ONLINE Fieldwork: 29th to 31st May 2020,NET: 18-34,606,273,333,253,253,354,-,-,-,-,171,183,130,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 123,Age,ONLINE Fieldwork: 29th to 31st May 2020,NET: 35-54,692,367,326,-,-,-,328,364,-,-,143,194,152,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 123,Age,ONLINE Fieldwork: 29th to 31st May 2020,NET: 55+,781,385,395,-,-,-,-,-,305,475,244,208,144,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 123,Age,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,1036,1083,292,253,354,328,364,305,475,576,597,430,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 123,Age,ONLINE Fieldwork: 29th to 31st May 2020,Average age,47.04,47.75,46.37,20.87,21.56,29.98,39.41,49.39,59.5,71.31,47.69,46.24,46.03,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 365,Age,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,1038,1055,264,232,340,332,333,308,516,585,546,430,532,195,78,247,150,170,165,105,217,289,243,173,61,,341,911,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 365,Age,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,1023,1070,289,247,349,324,360,301,469,569,590,425,509,175,83*,231,171,183,150,99*,197,276,286,179,63*,,330,849,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 365,Age,ONLINE Fieldwork: 22nd to 24th May 2020,16-17,42,9,32,42,-,-,-,-,-,-,13,17,6,6,1,-,1,3,5,3,5,4,8,10,3,-,,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 365,Age,ONLINE Fieldwork: 22nd to 24th May 2020,18-24,247,105,142,247,247,-,-,-,-,-,97,76,31,43,16,8,25,21,19,14,12,19,45,42,25,-,,34,100,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 365,Age,ONLINE Fieldwork: 22nd to 24th May 2020,25-34,349,178,172,-,-,349,-,-,-,-,89,123,68,70,27,11,46,21,36,25,12,28,51,55,23,14,,94,195,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 365,Age,ONLINE Fieldwork: 22nd to 24th May 2020,35-44,324,166,159,-,-,-,324,-,-,-,76,89,77,83,39,18,34,34,38,29,14,24,31,32,23,8,,85,170,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 365,Age,ONLINE Fieldwork: 22nd to 24th May 2020,45-54,360,183,177,-,-,-,-,360,-,-,75,103,75,107,31,19,37,39,29,20,13,41,42,48,25,16,,70,196,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 365,Age,ONLINE Fieldwork: 22nd to 24th May 2020,55-64,301,159,143,-,-,-,-,-,301,-,73,83,68,78,21,6,39,21,12,26,12,37,43,33,36,15,,39,134,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 365,Age,ONLINE Fieldwork: 22nd to 24th May 2020,65+,469,223,246,-,-,-,-,-,-,469,146,100,100,123,38,21,50,32,44,33,32,45,55,66,45,9,,8,52,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 365,Age,ONLINE Fieldwork: 22nd to 24th May 2020,NET: 18-34,597,283,314,247,247,349,-,-,-,-,186,199,99,112,44,19,70,42,55,40,24,47,96,97,48,14,,128,295,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 365,Age,ONLINE Fieldwork: 22nd to 24th May 2020,NET: 35-54,684,349,335,-,-,-,324,360,-,-,151,192,152,189,70,36,71,73,67,49,27,65,74,81,47,24,,154,366,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 365,Age,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,1023,1070,289,247,349,324,360,301,469,569,590,425,509,175,83*,231,171,183,150,99*,197,276,286,179,63*,,330,849,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 365,Age,ONLINE Fieldwork: 22nd to 24th May 2020,NET: 55+,770,382,388,-,-,-,-,-,301,469,219,183,168,201,59,28,89,53,56,59,44,81,98,99,81,24,,47,186,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
