table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 336,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Staying at home as much as possible,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,162,254,117,107,129,31,89,20,18,84,91,305,8,98,46,20,112,120,,,,,,,,,,,,,,,,,,
Table 336,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Work from home (if possible),181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,83,137,61,61,65,17,43,13,14,51,52,163,1,45,28,10,68,51,,,,,,,,,,,,,,,,,,
Table 336,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Not touching your face when outside,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,28,50,19,24,30,6,23,5,3,22,18,62,4,21,5,8,35,18,,,,,,,,,,,,,,,,,,
Table 336,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,None of these,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,-,*,*,1,*,-,*,*,-,*,*,*,-,*,-,-,1,-,,,,,,,,,,,,,,,,,,
Table 337,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,168,145,133,273,124,105,691,785,691,450,1682,479,1876,1969,2019,2092,-
Table 337,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,164,140,129,267,117,101*,686,780,697,443,1670,478,1876,1974,2021,2092,-**
Table 337,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Washing hands regularly and thoroughly,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,41,37,34,62,33,25,172,191,154,113,415,103,475,482,486,501,-
Table 337,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Limiting your contact with other people (including family and friends),419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,32,25,24,54,16,13,135,163,142,81,325,88,352,397,407,419,-
Table 337,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,40,37,29,61,22,25,159,190,172,94,422,120,453,479,493,501,-
Table 337,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Wearing a face mask/ covering,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,6,7,6,8,9,20,35,29,21,50,24,55,61,61,69,-
