table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 153,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,2121,1075,1046,262,231,362,323,335,342,497,615,578,401,527,184,77,215,161,188,150,131,204,290,276,169,76,1730,,,
Table 153,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,2121,1037,1084,293,257,354,329,365,305,475,577,598,431,515,177,84*,235,173,185,152,101,200,280,290,181,64*,1780,,,
Table 153,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 5th to 11th April 2021,NET: Closely,2024,981,1043,275,239,327,316,347,297,462,552,574,409,489,169,80,224,170,173,145,96,187,269,274,175,61,1698,,,
Table 153,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 5th to 11th April 2021,Very closely        (+2),1729,800,928,205,175,277,258,297,270,421,469,499,334,426,147,69,186,146,148,128,88,163,212,241,147,53,1440,,,
Table 153,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 5th to 11th April 2021,Fairly closely      (+1),296,181,115,69,64,51,58,50,27,41,83,76,74,62,22,11,38,24,24,17,9,24,57,33,28,7,258,,,
Table 153,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 5th to 11th April 2021,Not very closely    (-1),45,30,15,13,12,11,6,8,4,4,9,11,12,13,2,2,3,1,7,5,2,6,6,7,3,2,39,,,
Table 153,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 5th to 11th April 2021,Not at all closely  (-2),52,26,26,5,5,16,6,10,5,9,15,13,10,14,5,2,7,2,5,3,3,7,5,9,3,1,43,,,
Table 153,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 5th to 11th April 2021,NET: Not closely,97,56,41,18,17,27,12,18,9,13,25,24,22,27,7,4,10,2,12,8,4,13,11,16,6,3,82,,,
Table 153,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 5th to 11th April 2021,Mean,1.7,1.64,1.76,1.56,1.53,1.59,1.69,1.69,1.81,1.81,1.7,1.73,1.65,1.7,1.72,1.7,1.67,1.81,1.64,1.72,1.76,1.65,1.66,1.69,1.73,1.73,1.69,,,
Table 153,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,0.79,0.84,0.74,0.85,0.88,0.98,0.74,0.82,0.65,0.66,0.79,0.75,0.81,0.83,0.79,0.82,0.82,0.55,0.9,0.79,0.78,0.9,0.74,0.85,0.71,0.77,0.8,,,
