date,area_type,area_code,area_name,metric,metric_name,value
2023-01-12,region,E12000006,East of England,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,131.0
2023-01-12,region,E12000003,Yorkshire and The Humber,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,90.0
2023-01-13,region,E12000005,West Midlands,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,98.0
2023-01-13,region,E12000003,Yorkshire and The Humber,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,66.0
2023-01-13,region,E12000007,London,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,79.0
2023-01-13,region,E12000001,North East,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,59.0
2023-01-13,region,E12000004,East Midlands,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,68.0
2023-01-13,region,E12000008,South East,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,150.0
2023-01-13,region,E12000006,East of England,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,130.0
2023-01-13,region,E12000009,South West,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,110.0
2023-01-13,region,E12000002,North West,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,104.0
2023-01-14,region,E12000009,South West,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,86.0
2023-01-14,region,E12000008,South East,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,105.0
2023-01-14,region,E12000003,Yorkshire and The Humber,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,65.0
2023-01-14,region,E12000002,North West,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,87.0
2023-01-14,region,E12000004,East Midlands,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,57.0
2023-01-14,region,E12000001,North East,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,25.0
2023-01-14,region,E12000006,East of England,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,110.0
2023-01-14,region,E12000007,London,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,70.0
2023-01-14,region,E12000005,West Midlands,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,77.0
2023-01-15,region,E12000002,North West,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,127.0
2023-01-15,region,E12000006,East of England,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,168.0
2023-01-15,region,E12000003,Yorkshire and The Humber,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,95.0
2023-01-15,region,E12000007,London,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,129.0
2023-01-15,region,E12000005,West Midlands,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,117.0
2023-01-15,region,E12000008,South East,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,152.0
2023-01-15,region,E12000001,North East,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,65.0
