East Midlands,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber
21.0,23.0,187.0,4.0,43.0,70.0,17.0,68.0,11.0
25.0,31.0,243.0,7.0,56.0,85.0,25.0,85.0,13.0
37.0,43.0,306.0,13.0,73.0,116.0,31.0,108.0,15.0
47.0,55.0,375.0,17.0,93.0,143.0,42.0,137.0,21.0
64.0,78.0,473.0,19.0,115.0,174.0,49.0,167.0,28.0
76.0,100.0,608.0,25.0,137.0,213.0,59.0,212.0,36.0
94.0,136.0,754.0,33.0,171.0,261.0,68.0,267.0,52.0
118.0,173.0,909.0,46.0,214.0,314.0,80.0,326.0,72.0
147.0,214.0,1057.0,57.0,257.0,361.0,109.0,402.0,97.0
174.0,270.0,1232.0,66.0,319.0,426.0,137.0,479.0,129.0
201.0,326.0,1428.0,102.0,399.0,511.0,169.0,566.0,161.0
245.0,405.0,1667.0,132.0,480.0,597.0,194.0,681.0,203.0
295.0,489.0,1904.0,168.0,597.0,694.0,226.0,812.0,245.0
351.0,566.0,2159.0,209.0,731.0,797.0,260.0,949.0,300.0
413.0,657.0,2426.0,265.0,863.0,903.0,306.0,1051.0,365.0
487.0,740.0,2713.0,312.0,987.0,1048.0,366.0,1178.0,441.0
568.0,846.0,2986.0,363.0,1143.0,1184.0,422.0,1314.0,509.0
650.0,933.0,3259.0,421.0,1284.0,1324.0,479.0,1429.0,581.0
712.0,1062.0,3554.0,476.0,1476.0,1478.0,542.0,1541.0,664.0
793.0,1198.0,3881.0,535.0,1653.0,1640.0,622.0,1703.0,766.0
882.0,1313.0,4156.0,598.0,1819.0,1834.0,668.0,1832.0,866.0
960.0,1410.0,4397.0,677.0,1986.0,2008.0,759.0,1965.0,969.0
1046.0,1536.0,4646.0,750.0,2186.0,2179.0,834.0,2111.0,1046.0
1138.0,1680.0,4883.0,813.0,2392.0,2344.0,905.0,2249.0,1138.0
1212.0,1789.0,5111.0,864.0,2580.0,2503.0,966.0,2368.0,1225.0
1300.0,1886.0,5323.0,931.0,2775.0,2653.0,1027.0,2485.0,1318.0
1381.0,2000.0,5526.0,977.0,2965.0,2811.0,1093.0,2618.0,1427.0
1445.0,2118.0,5728.0,1024.0,3179.0,2988.0,1166.0,2749.0,1548.0
1532.0,2251.0,5898.0,1083.0,3340.0,3146.0,1248.0,2890.0,1664.0
1605.0,2353.0,6065.0,1152.0,3540.0,3284.0,1311.0,3013.0,1759.0
1685.0,2449.0,6221.0,1210.0,3670.0,3449.0,1385.0,3120.0,1860.0
1766.0,2551.0,6366.0,1262.0,3828.0,3631.0,1450.0,3226.0,1961.0
1825.0,2646.0,6508.0,1311.0,3967.0,3779.0,1524.0,3338.0,2059.0
1884.0,2750.0,6643.0,1364.0,4140.0,3928.0,1583.0,3437.0,2167.0
1956.0,2828.0,6763.0,1414.0,4295.0,4081.0,1644.0,3549.0,2259.0
2019.0,2929.0,6884.0,1451.0,4448.0,4234.0,1706.0,3635.0,2357.0
2076.0,3012.0,6963.0,1513.0,4568.0,4379.0,1760.0,3727.0,2436.0
2139.0,3095.0,7047.0,1561.0,4684.0,4500.0,1820.0,3834.0,2517.0
2203.0,3170.0,7121.0,1600.0,4804.0,4608.0,1888.0,3919.0,2608.0
2268.0,3257.0,7201.0,1650.0,4917.0,4715.0,1942.0,3985.0,2687.0
2332.0,3318.0,7277.0,1686.0,5036.0,4832.0,1995.0,4056.0,2789.0
2382.0,3398.0,7355.0,1733.0,5147.0,4919.0,2053.0,4124.0,2870.0
2441.0,3479.0,7415.0,1785.0,5243.0,5037.0,2089.0,4206.0,2947.0
2487.0,3525.0,7493.0,1841.0,5342.0,5121.0,2131.0,4277.0,3015.0
2537.0,3594.0,7551.0,1884.0,5442.0,5192.0,2169.0,4342.0,3077.0
2593.0,3643.0,7604.0,1918.0,5539.0,5274.0,2216.0,4412.0,3151.0
2641.0,3698.0,7656.0,1954.0,5628.0,5355.0,2264.0,4479.0,3212.0
2691.0,3755.0,7714.0,1990.0,5721.0,5426.0,2300.0,4535.0,3279.0
2734.0,3812.0,7767.0,2036.0,5818.0,5497.0,2341.0,4593.0,3348.0
2780.0,3855.0,7814.0,2072.0,5910.0,5574.0,2367.0,4644.0,3412.0
2824.0,3908.0,7844.0,2102.0,5977.0,5665.0,2404.0,4694.0,3473.0
2856.0,3952.0,7885.0,2129.0,6068.0,5725.0,2427.0,4741.0,3531.0
