geography,geography_code,year,month,epiweek,date,metric_value
East Midlands,E12000004,2021,3,9,2021-03-02,21.0
East Midlands,E12000004,2021,3,9,2021-03-03,28.0
East Midlands,E12000004,2021,3,9,2021-03-04,20.0
East Midlands,E12000004,2021,3,9,2021-03-05,21.0
East Midlands,E12000004,2021,3,9,2021-03-06,18.0
East Midlands,E12000004,2021,3,9,2021-03-07,20.0
East Midlands,E12000004,2021,3,10,2021-03-08,19.0
East Midlands,E12000004,2021,3,10,2021-03-09,22.0
East Midlands,E12000004,2021,3,10,2021-03-10,17.0
East Midlands,E12000004,2021,3,10,2021-03-11,20.0
East Midlands,E12000004,2021,3,10,2021-03-12,18.0
East Midlands,E12000004,2021,3,10,2021-03-13,21.0
East Midlands,E12000004,2021,3,10,2021-03-14,13.0
East Midlands,E12000004,2021,3,11,2021-03-15,11.0
East Midlands,E12000004,2021,3,11,2021-03-16,8.0
East Midlands,E12000004,2021,3,11,2021-03-17,11.0
East Midlands,E12000004,2021,3,11,2021-03-18,15.0
East Midlands,E12000004,2021,3,11,2021-03-19,9.0
East Midlands,E12000004,2021,3,11,2021-03-20,13.0
East Midlands,E12000004,2021,3,11,2021-03-21,15.0
East Midlands,E12000004,2021,3,12,2021-03-22,13.0
East Midlands,E12000004,2021,3,12,2021-03-23,11.0
East Midlands,E12000004,2021,3,12,2021-03-24,5.0
East Midlands,E12000004,2021,3,12,2021-03-25,10.0
East Midlands,E12000004,2021,3,12,2021-03-26,9.0
East Midlands,E12000004,2021,3,12,2021-03-27,7.0
East Midlands,E12000004,2021,3,12,2021-03-28,4.0
East Midlands,E12000004,2021,3,13,2021-03-29,11.0
East Midlands,E12000004,2021,3,13,2021-03-30,5.0
East Midlands,E12000004,2021,3,13,2021-03-31,3.0
East Midlands,E12000004,2021,4,13,2021-04-01,3.0
East Midlands,E12000004,2021,4,13,2021-04-02,7.0
East Midlands,E12000004,2021,4,13,2021-04-03,3.0
East Midlands,E12000004,2021,4,13,2021-04-04,6.0
East Midlands,E12000004,2021,4,14,2021-04-05,1.0
East Midlands,E12000004,2021,4,14,2021-04-06,6.0
East Midlands,E12000004,2021,4,14,2021-04-07,10.0
East Midlands,E12000004,2021,4,14,2021-04-08,4.0
East Midlands,E12000004,2021,4,14,2021-04-09,3.0
East Midlands,E12000004,2021,4,14,2021-04-10,4.0
East Midlands,E12000004,2021,4,14,2021-04-11,3.0
East Midlands,E12000004,2021,4,15,2021-04-12,4.0
East Midlands,E12000004,2021,4,15,2021-04-13,1.0
East Midlands,E12000004,2021,4,15,2021-04-14,1.0
East Midlands,E12000004,2021,4,15,2021-04-15,4.0
East Midlands,E12000004,2021,4,15,2021-04-16,3.0
East Midlands,E12000004,2021,4,15,2021-04-17,2.0
East Midlands,E12000004,2021,4,15,2021-04-18,6.0
East Midlands,E12000004,2021,4,16,2021-04-19,0.0
East Midlands,E12000004,2021,4,16,2021-04-20,1.0
East Midlands,E12000004,2021,4,16,2021-04-21,0.0
East Midlands,E12000004,2021,4,16,2021-04-22,2.0
East Midlands,E12000004,2021,4,16,2021-04-23,6.0
East Midlands,E12000004,2021,4,16,2021-04-24,2.0
East Midlands,E12000004,2021,4,16,2021-04-25,3.0
East Midlands,E12000004,2021,4,17,2021-04-26,2.0
East Midlands,E12000004,2021,4,17,2021-04-27,1.0
East Midlands,E12000004,2021,4,17,2021-04-28,2.0
East Midlands,E12000004,2021,4,17,2021-04-29,0.0
East Midlands,E12000004,2021,4,17,2021-04-30,1.0
East Midlands,E12000004,2021,5,17,2021-05-01,1.0
East Midlands,E12000004,2021,5,17,2021-05-02,1.0
East Midlands,E12000004,2021,5,18,2021-05-03,5.0
East Midlands,E12000004,2021,5,18,2021-05-04,0.0
East Midlands,E12000004,2021,5,18,2021-05-05,1.0
East Midlands,E12000004,2021,5,18,2021-05-06,0.0
East Midlands,E12000004,2021,5,18,2021-05-07,1.0
East Midlands,E12000004,2021,5,18,2021-05-08,0.0
East Midlands,E12000004,2021,5,18,2021-05-09,0.0
East Midlands,E12000004,2021,5,19,2021-05-10,0.0
East Midlands,E12000004,2021,5,19,2021-05-11,2.0
East Midlands,E12000004,2021,5,19,2021-05-12,0.0
East Midlands,E12000004,2021,5,19,2021-05-13,1.0
East Midlands,E12000004,2021,5,19,2021-05-14,0.0
East Midlands,E12000004,2021,5,19,2021-05-15,1.0
East Midlands,E12000004,2021,5,19,2021-05-16,1.0
East Midlands,E12000004,2021,5,20,2021-05-17,2.0
East Midlands,E12000004,2021,5,20,2021-05-18,2.0
East Midlands,E12000004,2021,5,20,2021-05-19,0.0
East Midlands,E12000004,2021,5,20,2021-05-20,1.0
East Midlands,E12000004,2021,5,20,2021-05-21,1.0
East Midlands,E12000004,2021,5,20,2021-05-22,1.0
East Midlands,E12000004,2021,5,20,2021-05-23,2.0
