start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Facebook messenger,5,1,3,1,1,1,1,-,-,1,4,1,-,-,-,-,-,-,-,-,-,1,1,2,-,-,5
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,“Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),4,4,-,-,-,-,-,-,2,2,1,-,-,3,1,-,1,-,-,-,-,-,-,-,2,-,3
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Commercial Radio,4,2,2,-,-,-,1,,1,1,2,-,2,-,-,-,-,-,1,-,1,-,,-,1,-,3
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,WhatsApp,3,2,1,1,1,-,1,-,-,1,1,1,1,1,-,-,-,-,-,-,-,-,3,1,-,-,3
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Direct from Local council website/ email/ text/ post,3,-,3,-,-,3,-,-,-,-,-,-,-,3,-,-,-,-,3,-,-,-,-,-,-,-,3
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,“Mid-market tabloids” such as MailOnline or Express ( online ),3,-,3,1,1,2,-,-,-,-,-,3,-,-,-,-,-,1,-,-,-,-,2,-,-,-,3
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,BBC - Radio,3,2,1,-,-,-,-,-,-,3,2,-,1,-,1,-,-,-,1,-,-,-,-,-,1,-,2
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,WhatsApp group(s),3,2,1,-,-,,1,-,-,1,-,-,1,1,-,1,-,-,-,-,-,-,1,-,-,-,3
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,BBC - Online/ app,2,1,1,1,1,-,-,-,-,1,1,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Weighted base,150,67,83,14,13,36,35,14,19,32,46,43,30,31,16,9,18,10,15,7,8,14,19,22,9,3,123
