start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Unspecified social media,11,8,3,1,1,4,3,3,-,1,3,1,2,5,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Family and friends directly,10,4,6,2,2,3,-,2,1,2,2,4,2,2,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Search engine (e.g. Google),9,4,5,2,2,1,-,1,3,2,4,3,1,2,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,YouTube,9,4,5,2,2,3,2,2,,1,4,3,-,2,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,BBC - TV,8,2,6,1,1,1,1,3,2,1,-,4,4,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,BBC - Online/ app,7,5,2,2,2,-,-,1,1,2,4,,2,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,People in your local area/neighbourhood,6,3,3,-,-,1,2,1,1,1,4,-,2,1,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,WhatsApp group(s),6,-,6,-,-,3,-,1,-,2,1,-,1,5,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",5,2,4,2,2,1,1,1,1,-,1,2,1,1,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",5,3,2,-,-,-,-,1,1,4,3,-,-,3,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Weighted base,114,54,61,24,22,29,14,13,12,23,38,30,22,25,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Facebook messenger,5,1,4,2,2,2,-,-,-,1,2,1,1,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,BBC - Radio,5,1,3,-,-,3,1,-,1,,-,2,3,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Websites or apps that bring together news from different news providers,4,2,2,1,1,1,1,-,2,-,2,2,1,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,“Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),4,2,2,-,-,-,1,,1,2,2,1,-,1,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Instagram,3,-,3,3,3,1,-,-,-,-,2,1,-,1,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,“Mid-market tabloids” such as MailOnline or Express ( online ),2,1,1,-,-,1,1,-,,-,2,-,-,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,“Broadsheets” such as The Times or Guardian,2,,2,-,-,-,-,-,-,2,1,,1,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,WhatsApp,2,,2,-,-,1,-,-,-,1,2,-,-,,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Sky,2,,2,1,1,-,1,-,-,,-,2,-,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Channel 4,2,2,-,-,-,1,-,-,-,1,1,1,-,-,,,,,,,,,,,,,
