start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Officials,3,2,2,2,2,0,2,0,0,0,0,0,2,2
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Social Media,122,70,52,20,20,26,21,29,11,14,38,33,19,33
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Facebook,88,39,49,25,25,17,19,10,8,7,28,27,16,17
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Facebook messenger,2,1,1,0,0,1,0,1,1,0,1,0,1,1
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Direct from Local health service website/ email/ text/ post,2,0,2,0,0,0,1,0,1,0,1,0,1,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,BBC - Radio,2,2,0,0,0,1,0,1,0,0,1,1,0,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Sky,1,1,0,0,0,1,0,1,0,0,1,1,0,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,“Red-top tabloids” such as The Sun or Mirror ( online ),1,1,0,0,0,0,0,,1,0,0,,0,1
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Official scientists,1,1,1,0,0,0,1,0,0,0,1,1,0,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",1,1,0,0,0,0,1,0,0,0,1,0,0,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Direct from Local council website/ email/ text/ post,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Magazines,1,1,0,0,0,1,0,0,0,0,0,1,0,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Weighted base,196,101,94,57,51,33,29,21,26,30,65,58,35,37
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,UTV,1,1,0,0,0,0,0,0,0,1,1,0,0,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Channel 4,1,0,1,0,0,0,1,0,0,0,1,0,0,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Channel 5,1,0,1,0,0,0,1,0,0,0,1,0,0,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Direct from World Health Organisation (WHO) website/ email/ text/ post,1,0,1,0,0,0,1,0,0,0,1,0,0,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,“Broadsheets” such as The Times or Guardian ( online ),1,0,1,0,0,1,0,0,0,0,0,1,0,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Other,10,7,3,0,0,3,1,0,2,4,2,2,2,3
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Broadcasters,15,12,2,0,0,2,1,2,4,7,4,5,3,4
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Non-BBC broadcasters,7,6,1,0,0,1,1,2,1,2,2,1,2,2
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: BBC services,13,10,2,0,0,1,1,2,2,7,4,4,3,2
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Newspapers (printed and online),11,9,3,0,0,2,0,,4,5,3,4,4,1
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Officials,8,4,4,4,4,0,3,0,1,0,4,3,1,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Social Media,126,60,65,41,39,26,23,14,12,10,43,33,25,25
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Weighted base,196,101,94,57,51,33,29,21,26,30,65,58,35,37
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Community radio,2,0,2,2,2,0,0,0,0,0,0,0,2,0
