start_date,end_date,question,response,the_amount_of_false_or_misleading_information_you_may_be_getting_about_coronavirus,the_amount_of_false_or_misleading_information_that_others_in_society_may_be_getting_about_coronavirus
2020-12-04,2020-12-06,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,NET: Bottom 2 box,718.0,285.0
2020-12-04,2020-12-06,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,1 - Not at all concerned,340.0,107.0
2020-12-04,2020-12-06,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,2,377.0,179.0
2020-12-04,2020-12-06,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,3,703.0,611.0
2020-12-04,2020-12-06,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,4,436.0,703.0
2020-12-04,2020-12-06,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,NET: Top 2 box,686.0,1211.0
2020-12-04,2020-12-06,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Weighted base,2107.0,2107.0
2020-12-04,2020-12-06,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Unweighted base,2107.0,2107.0
2020-12-04,2020-12-06,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,5 - Very concerned,250.0,508.0
2021-01-15,2021-01-17,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Weighted base,2115.0,2115.0
2021-01-15,2021-01-17,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,NET: Top 2 box,685.0,1280.0
2021-01-15,2021-01-17,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,5 - Very concerned,298.0,610.0
2021-01-15,2021-01-17,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,4,386.0,670.0
2021-01-15,2021-01-17,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,2,368.0,136.0
2021-01-15,2021-01-17,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,1 - Not at all concerned,427.0,110.0
2021-01-15,2021-01-17,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,NET: Bottom 2 box,794.0,246.0
2021-01-15,2021-01-17,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Mean,2.89,3.73
2021-01-15,2021-01-17,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Standard deviation Standard error,1.31,1.1
2021-01-15,2021-01-17,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Unweighted base,2115.0,2115.0
2021-01-15,2021-01-17,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,3,636.0,589.0
2021-02-12,2021-02-14,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Standard deviation Standard error,1.29,1.1
2021-02-12,2021-02-14,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,1 - Not at all concerned,421.0,105.0
2021-02-12,2021-02-14,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,2,375.0,155.0
2021-02-12,2021-02-14,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,3,621.0,546.0
2021-02-12,2021-02-14,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,4,429.0,708.0
2021-02-12,2021-02-14,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,5 - Very concerned,254.0,586.0
2021-02-12,2021-02-14,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,NET: Top 2 box,683.0,1294.0
2021-02-12,2021-02-14,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Weighted base,2100.0,2100.0
2021-02-12,2021-02-14,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Unweighted base,2100.0,2100.0
2021-02-12,2021-02-14,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,NET: Bottom 2 box,796.0,260.0
2021-02-12,2021-02-14,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Mean,2.87,3.72
2021-03-12,2021-03-14,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,1 - Not at all concerned,428.0,114.0
2021-03-12,2021-03-14,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,2,423.0,162.0
2021-03-12,2021-03-14,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,3,615.0,568.0
2021-03-12,2021-03-14,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,4,442.0,753.0
2021-03-12,2021-03-14,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,5 - Very concerned,237.0,547.0
2021-03-12,2021-03-14,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,NET: Top 2 box,679.0,1300.0
2021-03-12,2021-03-14,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Weighted base,2144.0,2144.0
2021-03-12,2021-03-14,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Unweighted base,2144.0,2144.0
2021-03-12,2021-03-14,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,NET: Bottom 2 box,851.0,276.0
2021-03-12,2021-03-14,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Mean,2.83,3.68
2021-03-12,2021-03-14,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Standard deviation Standard error,1.27,1.09
2021-04-05,2021-04-11,to_what_extent_are_you_concerned_or_not_concerned_about_the_following_statements?_-_summary,Mean,2.84,3.62
