start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Search engine (e.g. Google),9,3,6,3,1,1,2,-,1,2,5,2,1,1,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",9,5,3,-,-,-,1,4,2,2,3,1,2,2,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Weighted base,243,108,136,34,29,40,38,43,33,55,69,67,52,55,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,BBC - Radio,9,4,4,-,-,-,-,3,2,3,1,3,1,4,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,ITV,8,5,4,1,1,-,1,3,1,2,1,3,3,2,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Sky,8,7,1,1,1,2,1,1,-,3,1,7,-,-,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Commercial Radio,6,2,4,1,1,-,-,2,-,4,1,3,-,3,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,“Broadsheets” such as The Times or Guardian,6,4,2,-,-,1,1,1,-,3,2,1,2,-,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,BBC - Online/ app,4,2,2,-,-,-,-,1,1,3,1,2,1,1,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Direct from UK Government website/ email/ text/ post,4,1,3,-,-,1,1,2,-,1,2,-,1,2,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Channel 4,4,3,1,1,1,1,1,-,-,1,1,1,1,1,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Snapchat,4,-,4,4,1,-,-,-,-,-,3,-,-,1,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,“Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),4,3,1,-,-,2,-,-,-,2,1,2,-,1,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Email,4,4,-,-,-,-,2,-,-,1,-,-,2,1,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Facebook messenger,3,2,1,2,2,-,1,-,-,-,1,2,-,-,,,,,,,,,,,,,
