start_date,end_date,question,response,total,male,female,16-24,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-05-29,2020-05-31,device_usage_to_connect_to_internet,"Smart watch (e.g. Apple Watch, Pebble, Samsung, Sony)",156,83,72,38,46,48,39,21,,,,,,,,,,,,,
2020-05-29,2020-05-31,device_usage_to_connect_to_internet,Weighted base,2119,1036,1083,292,576,597,430,515,,,,,,,,,,,,,
2020-05-29,2020-05-31,device_usage_to_connect_to_internet,Other portable/ handheld device (e.g. portable games console/ iPod Touch),79,37,42,30,25,21,18,14,,,,,,,,,,,,,
2020-05-29,2020-05-31,device_usage_to_connect_to_internet,Netbook,54,30,24,10,16,17,9,12,,,,,,,,,,,,,
2020-05-29,2020-05-31,device_usage_to_connect_to_internet,Other device,20,13,7,-,7,3,5,4,,,,,,,,,,,,,
2020-05-29,2020-05-31,device_usage_to_connect_to_internet,"Not applicable, I do not have access to the internet",-,-,-,-,-,-,-,-,,,,,,,,,,,,,
2020-05-29,2020-05-31,device_usage_to_connect_to_internet,Don't know,7,5,2,2,3,2,-,2,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Unweighted base,2093,1038,1055,264,585,546,430,532,195,78,247,150,170,165,105,217,289,243,173,61,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Weighted base,2093,1023,1070,289,569,590,425,509,175,83,231,171,183,150,99,197,276,286,179,63,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,NET: Used device to connect to internet,2092,1023,1068,289,569,590,424,509,175,83,231,171,183,150,99,197,276,285,179,63,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Smartphone,1789,862,927,281,498,519,359,414,149,69,193,146,148,127,79,175,245,243,158,57,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Laptop,1438,714,724,244,411,416,290,321,125,48,159,121,128,99,64,131,197,201,121,43,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Tablet computer (e.g. iPad),1095,502,594,127,332,294,235,235,90,44,119,81,92,81,54,108,141,150,101,35,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,TV set,900,440,460,131,250,251,195,205,73,32,110,70,84,62,44,95,111,120,76,24,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Desktop PC,693,422,271,92,207,194,132,160,51,23,84,58,53,41,35,71,100,95,72,11,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,"Smart speaker (e.g. Amazon Echo, Google Home)",464,228,235,74,139,134,103,89,44,14,57,39,42,36,23,51,44,68,32,12,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Games console,430,258,172,113,111,112,94,112,35,19,52,37,42,32,27,31,46,67,35,7,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,E-reader (e.g. Kindle),244,106,139,32,78,65,47,55,19,14,23,18,27,20,16,20,17,43,20,8,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,"Smart watch (e.g. Apple Watch, Pebble, Samsung, Sony)",169,89,79,28,60,52,31,26,11,9,14,16,15,10,6,21,20,30,13,3,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Weighted base,2093,1023,1070,289,569,590,425,509,175,83,231,171,183,150,99,197,276,286,179,63,
