table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 4,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 12th to 14th February 2021,Podcasts,55,35,20,8,8,16,11,12,4,5,18,19,6,12,6,1,9,4,6,4,1,4,14,3,3,-,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 12th to 14th February 2021,STV,54,21,33,6,6,7,7,3,14,19,8,18,10,18,54,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 12th to 14th February 2021,Direct from Scotland Government website/ email/ text/ post,50,22,29,2,2,7,12,7,10,12,11,13,8,19,50,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 12th to 14th February 2021,Celebrity and/or social media influencer,47,27,20,14,12,15,13,4,1,1,22,7,6,13,3,1,9,3,3,1,2,2,14,6,2,-,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 12th to 14th February 2021,Community radio,45,23,22,8,5,11,7,7,2,10,11,14,6,14,1,3,6,4,3,1,1,4,6,5,8,3,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 12th to 14th February 2021,Magazines,40,25,15,8,8,12,9,2,2,6,21,9,3,7,3,-,5,4,3,2,2,5,9,2,4,-,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 12th to 14th February 2021,UTV,32,17,15,4,2,4,3,8,6,7,14,10,5,3,-,-,-,-,-,-,-,-,-,-,-,32,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 12th to 14th February 2021,Weighted base,2056,1009,1047,280,238,337,317,354,302,467,566,584,413,493,167,78*,229,168,178,147,99*,197,272,284,176,61*,1729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 12th to 14th February 2021,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",31,20,11,3,3,6,6,5,5,6,12,8,4,7,*,*,5,2,5,6,1,5,3,*,3,-,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 12th to 14th February 2021,ITV Wales,30,13,17,1,-,1,5,6,6,11,7,10,7,6,-,-,-,-,-,-,30,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 12th to 14th February 2021,Apple iMessage,23,10,13,11,9,5,5,2,-,1,9,7,2,6,2,2,4,5,-,*,-,-,6,3,2,-,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 12th to 14th February 2021,Direct from Wales Government website/ email/ text/ post,22,8,14,-,-,2,4,6,2,7,5,11,4,2,-,-,-,-,-,-,22,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 12th to 14th February 2021,Cool FM,15,7,8,-,-,6,5,2,2,1,3,9,2,1,-,-,-,-,-,-,-,-,-,-,-,15,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4,Q3a. Sources used to get info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 12th to 14th February 2021,Direct from Northern Ireland Government website/ email/ text/ post,10,7,3,-,-,3,1,2,2,2,5,3,2,-,-,-,-,-,-,-,-,-,-,-,-,10,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
