table,question,date,response,I find it hard to know what is true and what is false about Coronavirus,I am trying to avoid news about Coronavirus,The mainstream media is exaggerating the seriousness of Coronavirus,"This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",I am confused about what I should be doing in response to Coronavirus,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 78,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Neither agree nor    (0) disagree,,,,,,252,144,108,46,43,52,41,52,34,26,53,71,57,71,,,,,,
Table 78,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Slightly disagree   (-1),,,,,,62,32,29,8,5,13,12,12,8,9,13,17,15,17,,,,,,
Table 78,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Strongly disagree   (-2),,,,,,43,22,21,7,7,8,10,9,5,4,9,15,4,15,,,,,,
Table 78,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Disagree,,,,,,105,55,50,15,13,21,22,20,13,13,22,32,19,32,,,,,,
Table 78,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Mean,,,,,,1.15,1.08,1.22,1.01,0.99,0.97,1.06,1.16,1.21,1.39,1.21,1.12,1.16,1.11,,,,,,
Table 78,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,,,,,,0.88,0.89,0.87,0.88,0.89,0.87,0.95,0.95,0.86,0.75,0.82,0.9,0.85,0.96,,,,,,
Table 79,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,,,,,,2125,1067,1058,274,243,347,295,365,334,510,516,606,460,543,,,,,,
Table 79,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,,,,,,2125,1039,1086,293,259,354,329,365,306,477,578,599,431,517,,,,,,
Table 79,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Agree,,,,,,352,162,190,57,52,77,63,49,33,72,93,99,67,93,,,,,,
Table 79,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Strongly agree      (+2),,,,,,58,27,31,11,9,11,13,5,6,13,18,12,14,14,,,,,,
Table 79,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Slightly agree      (+1),,,,,,294,135,160,47,43,66,50,44,28,60,75,88,53,78,,,,,,
Table 79,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Neither agree nor    (0) disagree,,,,,,378,210,168,53,47,78,49,69,61,67,72,118,84,103,,,,,,
Table 79,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Slightly disagree   (-1),,,,,,652,304,348,103,91,106,108,99,94,143,179,189,128,156,,,,,,
Table 79,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Strongly disagree   (-2),,,,,,743,364,379,80,69,93,110,148,118,194,234,192,152,164,,,,,,
Table 79,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Disagree,,,,,,1395,668,727,183,160,199,218,247,211,337,413,382,280,321,,,,,,
Table 79,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Mean,,,,,,,-0.81,-0.82,,,,-0.77,-0.93,-0.95,-0.94,-0.93,,-0.81,,,,,,,
Table 79,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,,,,,,1.14,1.13,1.15,1.14,1.15,1.16,1.18,1.09,1.06,1.14,1.15,1.11,1.14,1.14,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,2127,2127,2127,2127,2127,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,2127,2127,2127,2127,2127,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,NET: Agree,792,693,476,1742,335,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Strongly agree      (+2),182,167,149,734,60,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Slightly agree      (+1),610,525,328,1007,275,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Neither agree nor    (0) disagree,496,515,538,271,388,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Slightly disagree   (-1),541,508,505,79,611,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Strongly disagree   (-2),298,412,608,35,793,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,NET: Disagree,839,919,1112,114,1404,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Mean,-0.08,-0.22,-0.51,1.09,-0.85,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Standard deviation Standard error,1.2,1.24,1.24,0.87,1.14,,,,,,,,,,,,,,,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,,,,,,2127,1045,1082,274,243,371,302,348,332,500,694,595,365,473,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,,,,,,2127,1040,1087,293,254,355,329,366,306,477,579,600,432,517,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,NET: Agree,,,,,,792,359,433,118,108,160,130,131,97,155,203,228,166,195,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Strongly agree      (+2),,,,,,182,80,102,28,27,37,31,35,23,28,39,55,31,57,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Slightly agree      (+1),,,,,,610,279,331,90,82,123,98,97,74,127,163,173,136,138,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Neither agree nor    (0) disagree,,,,,,496,239,257,60,52,75,88,78,69,126,118,126,108,144,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Slightly disagree   (-1),,,,,,541,273,268,80,67,78,80,86,82,136,165,170,102,104,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Strongly disagree   (-2),,,,,,298,169,129,36,27,41,31,70,59,60,93,76,56,74,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,NET: Disagree,,,,,,839,442,397,116,94,119,111,156,141,196,258,246,158,178,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Mean,,,,,,,-0.17,0.01,,0.06,0.1,0.06,-0.17,-0.26,-0.15,-0.19,-0.06,-0.04,*k,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Standard deviation Standard error,,,,,,1.2,1.21,1.18,1.21,1.2,1.2,1.14,1.27,1.23,1.13,1.2,1.2,1.16,1.22,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,,,,,,2127,1045,1082,274,243,371,302,348,332,500,694,595,365,473,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,,,,,,2127,1040,1087,293,254,355,329,366,306,477,579,600,432,517,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,NET: Agree,,,,,,693,296,397,131,115,144,116,109,82,110,183,213,125,172,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Strongly agree      (+2),,,,,,167,71,97,37,33,42,26,19,17,26,45,40,33,49,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Slightly agree      (+1),,,,,,525,225,300,94,82,102,90,91,65,84,138,172,92,123,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Neither agree nor    (0) disagree,,,,,,515,267,248,66,56,88,83,73,82,123,133,131,119,132,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Slightly disagree   (-1),,,,,,508,251,257,64,58,80,79,90,77,118,148,145,105,109,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Strongly disagree   (-2),,,,,,412,227,185,33,25,43,52,94,65,126,114,112,83,103,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,NET: Disagree,,,,,,919,477,442,96,83,123,131,183,142,244,262,257,188,213,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Mean,,,,,,,-0.32,,0.14,0.16,0.06,,-0.41,-0.35,-0.49,-0.26,-0.19,-0.26,-0.18,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Standard deviation Standard error,,,,,,1.24,1.22,1.24,1.22,1.2,1.21,1.2,1.25,1.19,1.21,1.24,1.23,1.21,1.26,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,,,,,,2127,1045,1082,274,243,371,302,348,332,500,694,595,365,473,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,,,,,,2127,1040,1087,293,254,355,329,366,306,477,579,600,432,517,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,NET: Agree,,,,,,476,291,185,65,59,94,80,93,64,81,129,129,91,127,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Strongly agree      (+2),,,,,,149,86,62,16,16,23,34,35,14,25,36,39,31,43,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Slightly agree      (+1),,,,,,328,205,123,48,43,71,46,58,50,56,93,90,61,84,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Neither agree nor    (0) disagree,,,,,,538,261,277,80,70,94,110,81,59,114,139,142,123,134,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Slightly disagree   (-1),,,,,,505,224,281,77,64,78,73,85,74,118,141,159,96,108,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Strongly disagree   (-2),,,,,,608,264,344,71,61,89,67,107,109,164,169,170,121,148,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,NET: Disagree,,,,,,1112,487,625,148,125,167,140,191,183,282,311,328,217,256,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Mean,,,,,,,,-0.66,,,,,,-0.7,-0.71,-0.55,-0.55,-0.5,-0.45,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Standard deviation Standard error,,,,,,1.24,1.28,1.19,1.18,1.2,1.24,1.23,1.32,1.24,1.2,1.24,1.23,1.23,1.28,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,,,,,,2127,1045,1082,274,243,371,302,348,332,500,694,595,365,473,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,,,,,,2127,1040,1087,293,254,355,329,366,306,477,579,600,432,517,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,NET: Agree,,,,,,1742,828,914,209,180,268,270,303,258,434,467,498,345,433,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Strongly agree      (+2),,,,,,734,335,399,57,50,97,106,130,123,221,184,211,145,195,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Slightly agree      (+1),,,,,,1007,493,515,152,131,170,164,173,134,214,283,287,200,238,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Neither agree nor    (0) disagree,,,,,,271,146,125,56,48,63,41,42,40,29,80,75,59,57,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Slightly disagree   (-1),,,,,,79,40,39,19,16,19,11,13,6,12,21,20,21,17,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Strongly disagree   (-2),,,,,,35,26,10,10,10,6,7,7,3,2,11,7,7,10,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,NET: Disagree,,,,,,114,66,48,28,26,24,18,21,9,14,32,27,28,27,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Mean,,,,,,1.09,1.03,1.15,0.78,0.77,0.94,1.07,1.11,1.2,1.34,1.05,1.13,1.05,1.14,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Standard deviation Standard error,,,,,,0.87,0.92,0.83,0.94,0.96,0.9,0.88,0.89,0.82,0.74,0.88,0.84,0.9,0.88,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,,,,,,2127,1045,1082,274,243,371,302,348,332,500,694,595,365,473,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,,,,,,2127,1040,1087,293,254,355,329,366,306,477,579,600,432,517,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,NET: Agree,,,,,,335,153,182,50,46,81,63,55,28,58,93,86,70,85,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Strongly agree      (+2),,,,,,60,31,30,8,6,22,8,9,4,9,20,12,7,21,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Slightly agree      (+1),,,,,,275,122,153,42,39,58,55,46,23,49,73,74,63,64,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Neither agree nor    (0) disagree,,,,,,388,199,190,61,54,77,75,56,44,75,84,115,85,105,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Slightly disagree   (-1),,,,,,611,278,333,97,86,97,85,101,100,131,172,183,123,133,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Strongly disagree   (-2),,,,,,793,410,382,84,69,99,106,154,135,213,230,215,154,194,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,NET: Disagree,,,,,,1404,689,715,182,154,197,191,255,235,344,402,398,276,327,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Mean,,,,,,,-0.88,-0.81,,,,,-0.94,-1.1,-1.03,-0.9,-0.86,-0.82,-0.8,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 7th to 10th May 2020,Standard deviation Standard error,,,,,,1.14,1.14,1.14,1.11,1.11,1.23,1.16,1.14,1,1.09,1.16,1.1,1.12,1.19,,,,,,
Table 81,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Unweighted base,2106,2106,2106,2106,2106,,,,,,,,,,,,,,,,,,,,
Table 81,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Weighted base,2106,2106,2106,2106,2106,,,,,,,,,,,,,,,,,,,,
Table 81,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,NET: Agree,756,718,426,1768,285,,,,,,,,,,,,,,,,,,,,
Table 81,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Strongly agree      (+2),182,140,120,810,40,,,,,,,,,,,,,,,,,,,,
Table 81,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Slightly agree      (+1),574,578,305,958,245,,,,,,,,,,,,,,,,,,,,
Table 81,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Neither agree nor    (0) disagree,476,469,497,257,337,,,,,,,,,,,,,,,,,,,,
Table 81,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Slightly disagree   (-1),554,509,487,59,678,,,,,,,,,,,,,,,,,,,,
Table 81,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Strongly disagree   (-2),321,410,697,22,806,,,,,,,,,,,,,,,,,,,,
Table 81,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,NET: Disagree,874,919,1184,81,1484,,,,,,,,,,,,,,,,,,,,
Table 81,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Mean,-0.12,-0.22,-0.63,1.18,-0.93,,,,,,,,,,,,,,,,,,,,
Table 81,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Standard deviation Standard error,1.22,1.23,1.24,0.83,1.08,,,,,,,,,,,,,,,,,,,,
Table 82,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Unweighted base,,,,,,2106,1041,1065,269,238,331,326,350,327,503,544,621,393,548,,,,,,
Table 82,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Weighted base,,,,,,2106,1030,1076,291,256,351,326,362,303,472,573,594,427,512,,,,,,
Table 82,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,NET: Agree,,,,,,756,332,424,109,95,134,122,130,103,159,185,195,168,208,,,,,,
Table 82,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Strongly agree      (+2),,,,,,182,75,107,29,26,41,26,33,19,34,34,48,44,55,,,,,,
Table 82,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Slightly agree      (+1),,,,,,574,257,317,80,69,93,96,97,84,125,151,146,124,153,,,,,,
Table 82,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Neither agree nor    (0) disagree,,,,,,476,238,237,64,58,92,73,73,67,105,111,144,103,118,,,,,,
Table 82,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Slightly disagree   (-1),,,,,,554,283,270,73,63,76,76,102,88,140,186,160,89,119,,,,,,
Table 82,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Strongly disagree   (-2),,,,,,321,176,145,44,39,49,56,58,45,68,91,95,67,67,,,,,,
Table 82,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,NET: Disagree,,,,,,874,459,415,117,102,125,132,159,133,208,277,255,156,186,,,,,,
Table 82,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Mean,,,,,,,-0.22,,-0.08,-0.08,0.01,-0.12,-0.15,-0.19,-0.18,-0.26,-0.18,,0.02,,,,,,
Table 82,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Standard deviation Standard error,,,,,,1.22,1.21,1.22,1.24,1.24,1.23,1.23,1.24,1.18,1.18,1.18,1.21,1.24,1.22,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Unweighted base,,,,,,2106,1041,1065,269,238,331,326,350,327,503,544,621,393,548,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Weighted base,,,,,,2106,1030,1076,291,256,351,326,362,303,472,573,594,427,512,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,NET: Agree,,,,,,718,308,410,119,109,149,125,107,76,140,182,223,130,183,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Strongly agree      (+2),,,,,,140,62,78,23,21,37,15,25,11,29,36,47,21,35,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Slightly agree      (+1),,,,,,578,246,333,96,88,112,111,83,65,111,146,176,109,148,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Neither agree nor    (0) disagree,,,,,,469,245,223,69,56,87,72,82,66,93,118,133,90,128,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Slightly disagree   (-1),,,,,,509,256,253,59,52,73,77,100,82,117,145,142,119,103,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Strongly disagree   (-2),,,,,,410,221,190,43,39,42,51,73,79,122,127,96,88,98,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,NET: Disagree,,,,,,919,477,442,102,90,115,129,173,161,239,272,239,207,201,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Mean,,,,,,,-0.32,,,*ah,0.08,,-0.31,-0.51,-0.4,-0.32,,-0.34,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Standard deviation Standard error,,,,,,1.23,1.22,1.23,1.2,1.22,1.19,1.17,1.22,1.19,1.27,1.25,1.22,1.2,1.23,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Unweighted base,,,,,,2106,1041,1065,269,238,331,326,350,327,503,544,621,393,548,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Weighted base,,,,,,2106,1030,1076,291,256,351,326,362,303,472,573,594,427,512,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,NET: Agree,,,,,,426,243,183,67,58,86,76,66,52,78,106,130,86,103,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Strongly agree      (+2),,,,,,120,77,43,18,18,26,28,12,17,19,28,34,26,32,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Slightly agree      (+1),,,,,,305,166,139,50,40,60,48,54,34,59,79,96,60,71,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Neither agree nor    (0) disagree,,,,,,497,242,255,72,67,86,77,86,71,105,131,135,106,124,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Slightly disagree   (-1),,,,,,487,236,250,84,70,81,83,75,61,102,143,130,86,128,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Strongly disagree   (-2),,,,,,697,308,389,67,60,98,90,135,119,187,192,198,149,157,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,NET: Disagree,,,,,,1184,544,639,151,130,179,173,210,181,290,335,328,235,285,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Mean,,,,,,,,-0.75,,,,,-0.74,-0.76,-0.8,-0.69,-0.61,-0.64,-0.6,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Standard deviation Standard error,,,,,,1.24,1.27,1.19,1.19,1.21,1.26,1.27,1.2,1.24,1.2,1.21,1.26,1.26,1.23,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Unweighted base,,,,,,2106,1041,1065,269,238,331,326,350,327,503,544,621,393,548,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Weighted base,,,,,,2106,1030,1076,291,256,351,326,362,303,472,573,594,427,512,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,NET: Agree,,,,,,1768,840,928,230,199,279,257,312,255,435,488,501,367,412,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Strongly agree      (+2),,,,,,810,346,464,91,77,107,112,126,120,253,217,226,171,196,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 24th to 26th April 2020,Slightly agree      (+1),,,,,,958,494,464,139,122,172,146,186,135,181,270,275,197,216,,,,,,
