table,question,date,response,I find it hard to know what is true and what is false about Coronavirus,I am trying to avoid news about Coronavirus,The mainstream media is exaggerating the seriousness of Coronavirus,"This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",I am confused about what I should be doing in response to Coronavirus,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Slightly disagree   (-1),,,,,,456,216,241,64,56,87,81,80,60,84,133,140,90,94,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Strongly disagree   (-2),,,,,,797,355,442,74,64,110,96,154,143,220,206,253,161,177,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,NET: Disagree,,,,,,1253,571,683,138,119,197,177,235,203,304,339,392,251,271,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Mean,,,,,,,,-0.86,,,,,-0.9,-1.02,-0.96,,-0.91,,,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,,,,,,1.22,1.26,1.16,1.26,1.27,1.31,1.22,1.16,1.08,1.13,1.24,1.15,1.25,1.22,,,,,,
Table 89,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,,,,,,2127,1021,1106,267,236,343,347,383,319,468,606,513,453,555,,,,,,
Table 89,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,,,,,,2127,1040,1087,294,258,355,329,366,306,477,578,600,432,517,,,,,,
Table 89,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,NET: Agree,,,,,,1795,858,937,229,202,290,276,307,271,422,490,517,369,419,,,,,,
Table 89,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Strongly agree      (+2),,,,,,861,377,484,95,85,126,123,140,137,240,214,259,187,202,,,,,,
Table 89,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Slightly agree      (+1),,,,,,934,481,453,134,117,164,153,167,134,182,276,258,182,218,,,,,,
Table 89,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Neither agree nor    (0) disagree,,,,,,215,116,99,42,38,42,38,33,20,41,50,52,46,67,,,,,,
Table 89,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Slightly disagree   (-1),,,,,,64,37,27,12,8,13,7,19,4,9,20,14,9,20,,,,,,
Table 89,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Strongly disagree   (-2),,,,,,53,29,24,11,11,10,8,7,11,6,18,16,8,11,,,,,,
Table 89,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,NET: Disagree,,,,,,117,66,51,22,18,23,16,26,15,15,38,31,17,31,,,,,,
