table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,Other online news sources,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,51,37,41,92,40,27,238,207,195,114,459,148,502,538,547,565,-
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,Family/friends/local ppl,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,66,62,59,119,38,43,285,261,214,125,536,157,565,588,604,620,-
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,Traditional media,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,146,121,110,249,105,89,627,681,583,373,1522,422,1675,1761,1799,1853,-
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,Non-mainstream media,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,1,5,2,3,14,12,8,13,20,5,26,30,29,32,-
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,Top 3 Most Important Sources, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , 
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,BBC TV,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,51,41,43,96,39,30,195,251,180,112,580,144,624,659,670,680,-
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,BBC Online,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,10,10,7,26,11,6,73,75,85,42,196,60,209,230,235,244,-
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,Direct from Govt,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,8,7,11,5,5,41,40,41,31,78,21,89,98,98,99,-
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,Came Across Misleading Info/News, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , 
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,Yes,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,107,100,89,197,81,75,465,363,295,216,654,229,715,754,777,808,-
