table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 153,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 15th to 17th January 2021,2nd most important,399,189,209,69,57,59,69,62,58,81,122,122,71,85,28,14,53,26,25,21,29,47,51,50,40,13,329,,,
Table 153,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 15th to 17th January 2021,3rd most important,501,260,241,56,49,72,75,93,76,129,140,132,107,122,32,27,65,46,37,40,16,49,56,71,46,16,437,,,
Table 153,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 15th to 17th January 2021,No answer,1020,481,539,122,104,184,154,172,147,242,259,301,198,263,98,31,93,81,103,77,46,95,125,150,88,34,842,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,2120,1031,1089,252,219,339,351,389,311,478,605,573,429,513,,,,,,,,,,,,,,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,2120,1037,1083,292,251,354,328,365,305,475,577,598,430,515,,,,,,,,,,,,,,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 7th to 9th August 2020,NET: Important,1506,720,786,198,168,234,224,270,223,356,416,422,300,368,,,,,,,,,,,,,,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 7th to 9th August 2020,1st most important,477,215,262,63,56,79,70,81,73,112,123,158,103,93,,,,,,,,,,,,,,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 7th to 9th August 2020,2nd most important,580,273,307,71,54,80,77,113,81,158,167,153,113,148,,,,,,,,,,,,,,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 7th to 9th August 2020,3rd most important,449,232,217,65,58,76,77,77,69,86,126,112,85,127,,,,,,,,,,,,,,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 7th to 9th August 2020,No answer,614,317,297,94,83,119,105,94,82,120,161,176,130,147,,,,,,,,,,,,,,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,2189,1062,1127,268,237,337,362,371,330,521,627,625,385,552,196,87,242,172,200,169,101,199,293,277,187,66,1826,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,2189,1070,1119,302,261,365,339,376,315,491,595,617,444,532,183,87*,242,178,191,157,104*,206,289,299,187,66*,1837,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 9th to 11th October 2020,NET: Important,1472,718,754,185,151,228,218,257,224,360,413,413,293,353,110,58,169,115,130,107,67,145,201,206,123,42,1254,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 9th to 11th October 2020,1st most important,434,212,222,56,48,76,69,71,66,96,127,117,87,103,31,14,45,40,35,36,21,44,52,58,44,13,368,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 9th to 11th October 2020,2nd most important,517,260,257,64,49,73,72,93,81,133,163,148,94,112,36,17,58,44,46,40,19,46,69,89,34,19,443,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 9th to 11th October 2020,3rd most important,521,246,275,64,54,79,77,92,77,132,124,148,112,138,43,26,66,30,50,31,27,55,81,58,45,10,443,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Maintaining social distancing,ONLINE Fieldwork: 9th to 11th October 2020,No answer,717,352,365,117,110,137,121,120,92,131,182,204,151,179,73,29,73,64,61,50,37,61,87,93,64,24,583,,,
