table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 64,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,1.03,1.04,1.02,0.85,0.86,0.94,1.12,1.09,1.14,1.01,1.02,1.03,1.07,1.03,0.84,1.24,0.83,1.02,0.96,1.33,1.43,1.09,0.77,1.1,1.02,-,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 56,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,395,190,205,50,42,70,57,74,66,78,126,99,81,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 56,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,393,200,193,57*,48*,74*,56*,68*,61*,77*,132,99*,73*,89*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 56,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,NET: Trust,276,144,132,46,37,43,43,53,34,57,91,68,55,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 56,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,5 - Trust completely,124,63,61,23,17,21,13,28,12,27,33,32,31,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 56,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,4,152,80,71,23,20,22,30,25,22,30,58,36,24,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 56,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,3,81,36,45,9,9,19,10,12,17,14,27,22,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 56,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,2,22,12,10,1,1,9,2,*,6,3,12,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 56,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,1 - Do not trust at all,14,8,6,1,1,3,1,2,5,3,2,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 56,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,NET: Do not trust,36,20,16,2,2,12,3,3,11,6,14,9,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 56,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,Mean,3.89,3.9,3.88,4.15,4.06,3.68,3.91,4.12,3.5,3.99,3.82,3.86,4.01,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 56,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,1.03,1.05,1.01,0.91,0.94,1.12,0.85,0.96,1.15,1.01,0.96,1.08,1.12,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 160,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,409,205,204,61,53,60,74,65,53,96,143,105,89,72,36,24,53,36,29,26,18,45,51,39,44,8,,85,167,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 160,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,412,205,207,66*,56*,59*,78*,68*,53*,88*,137,110*,98*,67*,33*,28**,52*,43*,30**,25**,16**,40*,46*,46*,46*,8**,,85*,161,53*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 160,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,297,137,160,55,46,48,54,50,36,54,97,78,74,47,22,20,43,24,23,20,10,33,33,33,31,5,,58,122,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 160,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,112,43,68,24,20,18,22,15,12,20,39,34,21,18,7,10,15,12,10,11,3,15,12,10,4,3,,22,43,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 160,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,4,185,93,92,30,26,30,32,34,23,35,58,45,53,29,15,10,29,12,13,10,8,18,21,23,27,2,,36,79,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 160,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,3,76,41,35,9,7,7,14,14,12,21,27,23,13,13,9,4,5,10,4,4,4,3,11,9,13,1,,20,27,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 160,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,2,27,21,7,1,1,2,10,4,5,6,8,7,6,6,1,2,4,7,3,1,1,1,1,1,2,2,,4,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 160,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,12,6,6,1,1,3,1,-,1,6,5,1,4,2,1,2,-,1,-,-,1,2,2,3,-,-,,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 160,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,39,26,12,2,2,5,10,4,5,12,13,8,10,8,2,4,4,8,3,1,2,3,2,4,2,2,,6,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 160,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,3.87,3.72,4.01,4.16,4.15,3.97,3.83,3.89,3.81,3.63,3.87,3.94,3.83,3.82,3.78,3.88,4.05,3.63,3.99,4.17,3.58,4.08,3.87,3.81,3.7,3.7,,3.85,3.93,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 160,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.98,1,0.94,0.82,0.84,1,1.01,0.82,0.95,1.13,1.01,0.93,0.98,1.01,0.96,1.19,0.82,1.14,0.95,0.88,1.08,1.05,0.95,1.01,0.71,1.31,,0.95,0.92,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 161,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from UK Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,212,317,169,409,209,48,165,56,55,153,171,364,7,98,38,99,213,96,,,,,,,,,,,,,,,,,,,,,
