table,question,date,response,I find it hard to know what is true and what is false about Coronavirus,I am trying to avoid news about Coronavirus,The mainstream media is exaggerating the seriousness of Coronavirus,"This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",I am confused about what I should be doing in response to Coronavirus,I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases and deaths in the UK,I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the NHS available tomorrow,"On balance, I am comfortable that my child/ children is/are back at school",I am happy to be vaccinated against the Coronavirus,I follow international/ world news about Coronavirus,"On balance, I am happy that my child/ children is/are still able to go to school",I am confident that I understand the different rules that apply in each tier,I am confident that I understand the different rules that apply in each protection level,I intend to form a 'Christmas bubble' between 23-27 December,"I am confident that I understand the rules around forming a 'Christmas bubble', including who can be part of the bubble and the extra travel dates for Northern Ireland",I would be comfortable to be vaccinated against the Coronavirus if there was a vaccine approved by the NHS available tomorrow
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 11th April 2021,Strongly disagree   (-2),340,359,571,82,,63,,,122,160,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 11th April 2021,NET: Disagree,938,839,1112,200,,251,,,188,401,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 11th April 2021,Mean,-0.23,-0.16,-0.52,0.79,,0.73,,,1.34,0.54,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,1.17,1.2,1.21,0.98,,1,,,1.14,1.15,,,,,,
Table 97,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,2126,2126,2126,2126,2126,,,,,,,,,,,
Table 97,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,2126,2126,2126,2126,2126,,,,,,,,,,,
Table 97,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 7th June 2020,NET: Agree,875,707,469,1676,523,,,,,,,,,,,
Table 97,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 7th June 2020,Strongly agree      (+2),197,159,125,590,87,,,,,,,,,,,
Table 97,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 7th June 2020,Slightly agree      (+1),678,549,344,1086,436,,,,,,,,,,,
Table 97,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 7th June 2020,Neither agree nor    (0) disagree,510,510,528,324,415,,,,,,,,,,,
Table 97,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 7th June 2020,Slightly disagree   (-1),517,517,514,78,652,,,,,,,,,,,
Table 97,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 7th June 2020,Strongly disagree   (-2),224,392,616,48,536,,,,,,,,,,,
Table 97,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 7th June 2020,NET: Disagree,741,909,1129,126,1188,,,,,,,,,,,
Table 97,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 7th June 2020,Mean,0.05,-0.2,-0.54,0.98,-0.52,,,,,,,,,,,
Table 97,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 7th June 2020,Standard deviation Standard error,1.16,1.22,1.23,0.88,1.19,,,,,,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,2144,2144,2144,2144,,2144,,,2144,,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,2144,2144,2144,2144,,2144,,,2144,,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th March 2021,NET: Agree,577,690,399,1497,,1416,,,1748,,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th March 2021,Strongly agree      (+2),139,174,136,458,,516,,,1486,,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th March 2021,Slightly agree      (+1),438,516,263,1039,,900,,,262,,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th March 2021,Neither agree nor    (0) disagree,553,608,553,459,,463,,,212,,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th March 2021,Slightly disagree   (-1),618,466,518,125,,202,,,92,,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th March 2021,Strongly disagree   (-2),396,381,674,63,,64,,,92,,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th March 2021,NET: Disagree,1014,846,1192,188,,265,,,184,,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th March 2021,Mean,-0.32,-0.17,-0.62,0.79,,0.75,,,1.38,,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th March 2021,Standard deviation Standard error,1.18,1.21,1.22,0.94,,1.02,,,1.1,,,,,,,
Table 115,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,2101,2101,2101,2101,2101,2101,2101,,,,563,,,,,
Table 115,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,2101,2101,2101,2101,2101,2101,2101,,,,551,,,,,
Table 115,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,NET: Agree,846,648,542,1314,513,1088,1303,,,,346,,,,,
Table 115,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,Strongly agree      (+2),211,159,204,335,88,303,772,,,,169,,,,,
Table 115,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,Slightly agree      (+1),635,489,338,979,425,785,531,,,,178,,,,,
Table 115,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,Neither agree nor    (0) disagree,502,586,583,480,410,536,386,,,,115,,,,,
Table 115,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,Slightly disagree   (-1),463,488,462,217,571,327,151,,,,52,,,,,
Table 115,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,Strongly disagree   (-2),290,378,514,91,607,150,262,,,,38,,,,,
Table 115,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,NET: Disagree,753,867,976,308,1178,477,413,,,,90,,,,,
Table 115,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,Mean,0.01,-0.21,-0.35,0.59,-0.56,0.36,0.67,,,,0.7,,,,,
Table 115,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,Standard deviation Standard error,1.22,1.2,1.27,1.01,1.22,1.12,1.36,,,,1.19,,,,,
Table 97,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,2115,2115,2115,2115,2115,,,,,,,,,,,
Table 97,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,2115,2115,2115,2115,2115,,,,,,,,,,,
Table 97,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 15th June 2020,NET: Agree,899,720,503,1668,511,,,,,,,,,,,
Table 97,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 15th June 2020,Strongly agree      (+2),197,165,160,568,103,,,,,,,,,,,
Table 97,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 15th June 2020,Slightly agree      (+1),702,555,343,1100,409,,,,,,,,,,,
Table 97,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 15th June 2020,Neither agree nor    (0) disagree,488,526,587,323,458,,,,,,,,,,,
Table 97,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 15th June 2020,Slightly disagree   (-1),494,511,499,94,593,,,,,,,,,,,
Table 97,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 15th June 2020,Strongly disagree   (-2),234,358,526,30,553,,,,,,,,,,,
Table 97,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 15th June 2020,NET: Disagree,728,869,1025,124,1145,,,,,,,,,,,
Table 97,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 15th June 2020,Mean,0.06,-0.16,-0.42,0.98,-0.51,,,,,,,,,,,
Table 97,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 15th June 2020,Standard deviation Standard error,1.17,1.21,1.23,0.85,1.2,,,,,,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th June 2021,Unweighted base,2135,2135,2135,2135,,2135,,,2135,2135,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,2135,2135,2135,2135,,2135,,,2135,2135,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th June 2021,NET: Agree,665,647,442,1455,,1380,,,1789,1331,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th June 2021,Strongly agree      (+2),166,180,143,364,,443,,,1533,407,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th June 2021,Slightly agree      (+1),499,467,299,1091,,937,,,256,924,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th June 2021,Neither agree nor    (0) disagree,601,613,594,465,,507,,,165,442,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th June 2021,Slightly disagree   (-1),555,490,535,135,,178,,,65,237,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th June 2021,Strongly disagree   (-2),314,384,564,80,,70,,,116,125,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th June 2021,NET: Disagree,869,874,1099,214,,248,,,181,362,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th June 2021,Mean,-0.16,-0.2,-0.51,0.71,,0.7,,,1.42,0.59,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th June 2021,Standard deviation Standard error,1.17,1.21,1.21,0.95,,0.99,,,1.11,1.09,,,,,,
