table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 144,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 4th to 6th December 2020,Not touching your face when outside,49,33,16,12,9,20,7,4,2,4,13,9,15,12,2,3,5,5,8,1,2,6,8,5,4,1,45,4,17,23
Table 144,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 4th to 6th December 2020,None of these,51,32,19,4,4,17,9,6,5,9,17,15,8,11,3,2,9,6,4,1,3,4,4,6,7,1,43,1,15,20
Table 148,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,2115,1003,1112,261,228,325,342,367,332,488,584,640,359,532,186,88,220,166,174,162,105,182,296,296,177,63,1761,,,
Table 148,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,2115,1034,1081,292,250,353,328,364,305,473,575,597,429,514,176,84*,234,172,185,152,100*,199,279,289,181,63*,1775,,,
Table 148,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 15th to 17th January 2021,Washing hands regularly and thoroughly,214,105,109,25,21,49,41,34,29,37,53,47,46,67,25,6,29,16,13,13,6,19,31,20,24,13,171,,,
Table 148,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 15th to 17th January 2021,Limiting your contact with other people (including family and friends),345,160,185,42,37,47,57,65,56,77,104,93,73,75,26,10,41,36,34,21,14,37,34,48,35,8,297,,,
Table 148,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 15th to 17th January 2021,Maintaining social distancing,195,104,91,44,40,39,30,37,23,21,55,42,54,44,18,12,23,20,20,13,9,8,47,18,7,*,167,,,
Table 148,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 15th to 17th January 2021,Wearing a face mask/ covering,226,128,98,33,31,53,37,29,32,42,59,64,46,57,17,13,24,17,20,12,12,19,31,34,19,8,189,,,
Table 148,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 15th to 17th January 2021,Staying at home as much as possible,984,446,538,126,99,126,121,180,151,281,265,290,185,245,76,33,102,71,83,82,55,109,110,150,85,28,825,,,
Table 148,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 15th to 17th January 2021,Work from home (if possible),84,40,43,14,13,19,20,9,11,10,21,45,8,11,8,6,9,9,7,5,4,2,13,10,4,5,66,,,
Table 148,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 15th to 17th January 2021,Not touching your face when outside,27,19,8,5,5,9,6,1,1,4,6,7,8,6,3,-,4,-,3,1,-,1,7,4,3,1,23,,,
Table 148,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 15th to 17th January 2021,None of these,40,31,9,4,4,10,14,9,2,1,13,8,10,9,3,4,2,4,4,5,-,4,6,4,3,1,37,,,
