table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 141,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 4th to 6th December 2020,NET: Closely,1903,912,991,262,227,307,293,321,274,445,507,539,384,473,160,78,216,156,160,144,87,172,250,253,167,60,1596,47,820,688
Table 141,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 4th to 6th December 2020,Very closely        (+2),1296,577,719,140,115,187,206,227,196,339,342,358,258,338,109,52,158,119,111,101,49,115,153,175,113,41,1097,24,554,494
Table 141,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 4th to 6th December 2020,Fairly closely      (+1),607,335,272,122,111,120,87,94,78,106,165,181,126,134,51,26,58,36,49,42,38,57,97,79,54,19,499,23,265,194
Table 141,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 4th to 6th December 2020,Not very closely    (-1),134,77,57,21,19,30,22,25,16,19,39,39,33,23,12,4,11,12,16,7,6,12,20,25,9,1,115,1,61,50
Table 141,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 4th to 6th December 2020,Not at all closely  (-2),70,41,29,7,6,15,11,16,13,7,27,16,11,16,4,2,6,4,8,1,7,14,8,10,4,2,57,7,25,19
Table 141,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 4th to 6th December 2020,NET: Not closely,204,118,86,28,25,45,34,41,29,27,66,55,44,39,16,6,17,16,24,8,13,26,28,35,13,3,172,8,86,69
Table 141,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 4th to 6th December 2020,Mean,1.39,1.29,1.48,1.26,1.23,1.23,1.39,1.36,1.41,1.59,1.32,1.39,1.37,1.47,1.42,1.46,1.51,1.48,1.3,1.56,1.16,1.24,1.32,1.33,1.46,1.52,1.39,1.04,1.39,1.45
Table 141,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 4th to 6th December 2020,Standard deviation Standard error,1.01,1.07,0.94,0.96,0.97,1.1,1.03,1.09,1.04,0.82,1.09,0.98,1.01,0.95,0.96,0.88,0.91,0.98,1.11,0.77,1.17,1.19,1,1.08,0.91,0.89,1.01,1.28,0.99,0.97
Table 145,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,2115,1003,1112,261,228,325,342,367,332,488,584,640,359,532,186,88,220,166,174,162,105,182,296,296,177,63,1761,,,
Table 145,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,2115,1034,1081,292,250,353,328,364,305,473,575,597,429,514,176,84*,234,172,185,152,100*,199,279,289,181,63*,1775,,,
