table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 140,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 6th to 8th November 2020,1st most important,399,202,197,39,34,57,58,84,61,99,138,110,85,66,46,12,53,22,32,32,20,34,36,63,36,15,318,,,
Table 140,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 6th to 8th November 2020,2nd most important,364,194,170,50,43,54,50,52,65,94,107,102,54,100,34,19,39,39,27,24,17,40,33,56,31,5,308,,,
Table 140,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 6th to 8th November 2020,3rd most important,256,139,117,37,33,44,40,43,31,61,56,92,59,50,8,10,24,22,23,19,15,23,40,34,27,11,223,,,
Table 140,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 6th to 8th November 2020,No answer,1082,492,590,164,141,195,177,182,146,217,270,289,229,295,88,42,116,89,102,76,48,101,168,135,85,32,914,,,
Table 148,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,2107,1075,1032,272,241,366,329,356,313,471,582,631,352,542,184,89,205,178,201,148,101,206,293,278,153,71,1751,48,907,741
Table 148,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2107,1030,1077,291,252,352,327,362,303,472,573,594,428,512,176,84*,233,172,184,151,100*,198,278,288,180,63*,1768,55*,906,757
Table 148,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 4th to 6th December 2020,NET: Important,1051,517,534,113,105,143,147,191,177,280,287,282,233,248,86,45,118,88,89,71,49,102,117,157,96,31,884,30,453,382
Table 148,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 4th to 6th December 2020,1st most important,424,212,213,46,44,41,62,86,78,111,109,126,98,91,34,17,45,38,37,29,14,41,47,61,45,15,361,6,185,159
Table 148,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 4th to 6th December 2020,2nd most important,357,160,197,36,34,52,44,61,58,105,113,90,74,81,27,15,43,33,31,25,18,31,39,54,31,10,302,15,153,128
Table 148,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 4th to 6th December 2020,3rd most important,270,146,124,31,28,49,41,44,40,65,66,66,61,76,25,13,29,17,21,17,17,30,31,42,21,6,222,9,115,95
Table 148,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 4th to 6th December 2020,No answer,1056,513,543,177,147,209,180,172,127,191,286,312,194,264,89,38,115,84,94,80,51,96,161,131,84,32,884,25,452,375
