table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 115,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,1.22,1.24,1.21,1.18,1.18,1.19,1.17,1.18,1.24,1.19,1.25,1.22,1.21,1.22,1.18,1.14,1.23,1.26,1.2,1.18,1.2,1.24,1.2,1.26,1.24,1.26,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 99,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2119,1016,1103,261,229,328,340,383,329,478,554,596,460,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 99,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,1036,1083,292,253,354,328,364,305,475,576,597,430,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 99,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,NET: Agree,739,317,422,127,112,133,118,120,91,152,186,214,164,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 99,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Strongly agree      (+2),183,82,101,32,30,36,33,40,15,27,56,46,36,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 99,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Slightly agree      (+1),556,235,321,95,83,97,84,79,76,125,131,168,129,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 99,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Neither agree nor    (0) disagree,531,258,273,71,57,108,97,101,68,87,135,137,114,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 99,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Slightly disagree   (-1),453,250,203,45,40,68,72,83,70,117,139,135,86,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 99,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Strongly disagree   (-2),396,211,185,50,44,46,42,61,76,120,115,111,65,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 99,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,NET: Disagree,849,461,388,94,83,113,114,144,147,237,255,246,151,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 99,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Mean,,-0.26,,0.05,0.06,0.03,,,-0.38,-0.38,-0.22,-0.16,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 99,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,1.24,1.24,1.24,1.26,1.28,1.18,1.18,1.25,1.24,1.27,1.27,1.24,1.2,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 300,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,1038,1055,264,232,340,332,333,308,516,585,546,430,532,195,78,247,150,170,165,105,217,289,243,173,61,,341,911,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 300,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,1023,1070,289,247,349,324,360,301,469,569,590,425,509,175,83*,231,171,183,150,99*,197,276,286,179,63*,,330,849,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 300,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Agree,697,291,407,120,100,148,114,114,69,132,190,217,146,145,57,28,76,53,62,61,28,59,99,93,60,21,,123,299,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 300,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Strongly agree      (+2),170,82,89,35,27,40,30,31,12,23,34,50,43,44,8,9,19,23,13,23,6,9,21,19,12,8,,28,76,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 300,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Slightly agree      (+1),527,209,318,85,73,108,84,83,57,108,156,167,103,101,49,19,57,30,48,38,21,51,78,74,47,13,,95,223,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 300,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Neither agree nor    (0) disagree,555,294,261,83,76,103,72,88,94,115,144,134,120,156,35,24,63,44,50,39,33,68,67,77,43,11,,84,237,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 300,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Slightly disagree   (-1),475,233,243,54,47,65,79,94,69,115,122,144,88,121,49,16,52,36,36,33,24,30,67,67,46,21,,69,179,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
