table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 19th to 21st June 2020,1 - Do not trust at all,-,-,-,,,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 19th to 21st June 2020,NET: Do not trust,-,-,-,,,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 19th to 21st June 2020,Mean,4.21,4.28,4.12,,,3.85,4.02,4.34,4.08,4.4,4.08,4.2,4.43,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 19th to 21st June 2020,Standard deviation Standard error,0.63,0.73,0.47,,,-,0.64,0.5,0.7,0.76,0.57,0.71,0.55,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,31,18,13,1,1,4,5,6,6,9,13,7,7,4,-,-,-,-,-,-,-,-,-,-,-,31,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,34**,21**,14**,1**,1**,5**,6**,8**,6**,9**,14**,9**,7**,5**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,34**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 15th to 17th January 2021,NET: Trust,26,14,11,1,1,2,6,6,3,7,9,8,6,3,-,-,-,-,-,-,-,-,-,-,-,26,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 15th to 17th January 2021,5 - Trust completely,8,4,4,1,1,-,2,1,2,2,2,2,3,1,-,-,-,-,-,-,-,-,-,-,-,8,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 15th to 17th January 2021,4,18,11,7,-,-,2,4,6,1,5,7,6,4,2,-,-,-,-,-,-,-,-,-,-,-,18,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 15th to 17th January 2021,3,4,2,2,-,-,1,-,-,2,1,1,1,-,2,-,-,-,-,-,-,-,-,-,-,-,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 15th to 17th January 2021,2,3,3,-,-,-,1,-,1,1,-,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 15th to 17th January 2021,1 - Do not trust at all,1,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 15th to 17th January 2021,NET: Do not trust,4,4,-,-,-,2,-,1,1,-,4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 15th to 17th January 2021,Mean,3.82,3.62,4.13,5,5,2.7,4.3,3.72,3.7,4.09,3.47,4.2,4.15,3.69,-,-,-,-,-,-,-,-,-,-,-,3.82,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 15th to 17th January 2021,Standard deviation Standard error,1,1.13,0.69,-,-,1.29,0.5,0.95,1.13,0.67,1.2,0.58,0.97,0.82,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 12th to 14th February 2021,Unweighted base,32,17,15,3,2,3,2,9,7,8,15,8,4,5,-,-,-,-,-,-,-,-,-,-,-,32,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 12th to 14th February 2021,Weighted base,32**,17**,15**,4**,2**,4**,3**,8**,6**,7**,14**,10**,5**,3**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,32**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 12th to 14th February 2021,NET: Trust,19,8,10,4,2,1,1,4,4,5,10,4,3,1,-,-,-,-,-,-,-,-,-,-,-,19,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
