table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,38,16,22,3,3,5,7,6,10,7,12,12,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,41*,19**,22**,3**,3**,5**,8**,6**,10**,9**,12**,15**,10**,4**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,30,16,14,3,3,2,8,5,6,7,7,12,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,15,7,8,2,2,2,-,4,2,5,3,7,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 9th to 13th April 2020,4,15,10,5,1,1,-,8,1,4,1,4,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 9th to 13th April 2020,3,11,3,8,-,-,3,-,1,4,2,5,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 9th to 13th April 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 9th to 13th April 2020,Mean,4.11,4.21,4.01,4.66,4.66,3.64,4,4.56,3.8,4.33,3.78,4.25,4.37,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.8,0.68,0.89,0.59,0.59,1.04,0,0.82,0.79,0.9,0.81,0.84,0.63,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,38,15,23,1,1,5,2,11,11,8,15,12,4,7,-,-,-,-,-,-,-,-,-,-,-,38,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,36*,15**,21**,1**,1**,4**,2**,11**,9**,8**,14**,12**,3**,7**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,36*,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,30,12,18,1,1,2,1,9,9,8,13,9,2,6,-,-,-,-,-,-,-,-,-,-,-,30,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,12,3,9,1,1,1,1,2,4,3,4,6,-,2,-,-,-,-,-,-,-,-,-,-,-,12,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 11th to 13th September 2020,4,18,9,9,-,-,1,-,7,5,6,9,3,2,4,-,-,-,-,-,-,-,-,-,-,-,18,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 11th to 13th September 2020,3,6,2,3,-,-,2,1,2,1,-,1,3,1,1,-,-,-,-,-,-,-,-,-,-,-,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 11th to 13th September 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 11th to 13th September 2020,Mean,4.18,4.04,4.28,5,5,3.55,3.99,4.08,4.37,4.31,4.27,4.21,3.81,4.13,-,-,-,-,-,-,-,-,-,-,-,4.18,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,0.69,0.63,0.73,-,-,0.85,1.35,0.65,0.63,0.49,0.58,0.86,0.48,0.71,-,-,-,-,-,-,-,-,-,-,-,0.69,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,42,21,21,1,1,7,3,10,7,14,14,14,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,32*,16**,16**,1**,1**,4**,2**,8**,6**,10**,12**,10**,4**,5**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 17th to 19th April 2020,NET: Trust,21,11,10,1,1,3,2,6,2,6,7,6,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 17th to 19th April 2020,5 - Trust completely,9,4,5,-,-,2,1,3,1,3,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 17th to 19th April 2020,4,12,7,6,1,1,2,2,4,1,3,5,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 17th to 19th April 2020,3,10,4,6,-,-,1,-,2,4,3,4,5,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 17th to 19th April 2020,2,1,1,-,-,-,-,-,-,-,1,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 17th to 19th April 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 17th to 19th April 2020,NET: Do not trust,1,1,-,-,-,-,-,-,-,1,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 17th to 19th April 2020,Mean,3.92,3.9,3.94,4,4,4.31,4.24,4.1,3.46,3.8,3.7,3.66,4.27,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,0.84,0.87,0.83,-,-,0.83,0.57,0.78,0.8,1,0.88,0.69,0.98,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,29,11,18,3,3,2,6,11,3,4,8,6,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,30**,12**,18**,4**,4**,2**,6**,11**,3**,3**,7**,7**,10**,6**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 15th to 17th May 2020,NET: Trust,26,11,14,4,4,2,5,10,3,2,6,6,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 15th to 17th May 2020,5 - Trust completely,10,5,5,-,-,-,4,5,1,-,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 15th to 17th May 2020,4,15,6,10,4,4,2,1,4,2,2,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 15th to 17th May 2020,3,4,1,3,-,-,1,1,1,-,1,1,1,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 15th to 17th May 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 15th to 17th May 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 15th to 17th May 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 15th to 17th May 2020,Mean,4.2,4.34,4.1,4,4,3.72,4.42,4.37,4.35,3.69,3.97,4.18,4.2,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,0.68,0.68,0.68,0,0,0.58,0.91,0.71,0.57,0.55,0.6,0.67,0.82,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,39,18,21,2,2,2,6,14,9,6,13,9,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,34*,18**,16**,2**,2**,2**,7**,11**,6**,6**,14**,7**,6**,8**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 29th to 31st May 2020,NET: Trust,25,13,12,2,2,2,5,7,3,6,9,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 29th to 31st May 2020,5 - Trust completely,8,4,4,-,-,-,*,2,2,3,2,1,-,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 29th to 31st May 2020,4,18,10,8,2,2,2,4,5,2,3,7,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 29th to 31st May 2020,3,8,5,3,-,-,-,1,4,3,-,5,2,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 29th to 31st May 2020,2,1,-,1,-,-,-,1,-,-,-,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 29th to 31st May 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 29th to 31st May 2020,NET: Do not trust,1,-,1,-,-,-,1,-,-,-,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 29th to 31st May 2020,Mean,3.95,3.93,3.99,4,4,4,3.71,3.87,3.77,4.53,3.75,3.78,3.75,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 33,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,0.74,0.7,0.8,-,-,-,0.75,0.77,0.9,0.54,0.66,0.92,0.48,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,27,10,17,,,7,1,9,5,5,8,11,4,4,,-,-,-,-,-,,-,,-,-,27,,7,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,27**,9**,18**,,,8**,1**,10**,5**,5**,7**,11**,4**,5**,,-**,-**,-**,-**,-**,,-**,,-**,-**,27**,,8**,9**,1**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,21,7,14,,,7,-,6,5,4,7,9,3,3,,-,-,-,-,-,,-,,-,-,21,,6,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,5,1,4,,,2,-,1,-,2,2,3,-,-,,-,-,-,-,-,,-,,-,-,5,,4,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,4,16,6,10,,,4,-,5,5,2,5,5,3,3,,-,-,-,-,-,,-,,-,-,16,,2,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,3,4,2,3,,,-,1,3,-,1,1,2,1,1,,-,-,-,-,-,,-,,-,-,4,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,2,2,1,1,,,1,-,1,-,-,-,1,-,1,,-,-,-,-,-,,-,,-,-,2,,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,-,-,,,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,,-,-,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,2,1,1,,,1,-,1,-,-,-,1,-,1,,-,-,-,-,-,,-,,-,-,2,,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,3.92,3.81,3.98,,,4.09,3,3.67,4,4.24,4.19,3.99,3.87,3.4,,-,-,-,-,-,,-,,-,-,3.92,,4.21,3.61,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.78,0.8,0.79,,,0.94,-,0.83,0,0.81,0.63,0.9,0.39,0.88,,-,-,-,-,-,,-,,-,-,0.78,,0.89,0.96,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27,18,8,7,9,1,9,1,1,8,10,27,-,8,1,1,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,27**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27**,27**,19**,8**,7**,10**,1**,10**,1**,1**,9**,10**,27**,-**,9**,***,1**,10**,8**,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,16,7,5,9,1,9,1,1,9,9,21,-,8,*,1,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,3,1,1,3,-,3,1,1,1,2,5,-,2,-,-,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,13,6,3,6,1,6,-,-,7,7,16,-,6,*,1,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,1,3,-,-,-,-,-,-,1,4,-,1,-,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,-,-,-,1,-,1,-,-,-,-,2,-,-,-,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,-,-,-,1,-,1,-,-,-,-,2,-,-,-,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92,3.92,4,4.07,3.82,4.08,4,4.08,5,5,4.15,4.15,3.92,-,4.12,4,4,3.85,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.78,0.59,0.54,0.77,0.83,-,0.83,-,-,0.38,0.55,0.78,-,0.63,-,-,0.99,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,1,5,2,3,9,11,10,3,26,10,27,26,25,27,-,,,,,,,,
Table 93,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,27**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3**,2**,4**,2**,6**,2**,3**,9**,12**,9**,3**,27**,11**,27**,26**,26**,27**,-**,,,,,,,,
Table 93,Q5. Trust in the sources for information/news about Coronavirus used in last week: UTV,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,5,2,2,8,7,6,-,21,10,21,20,21,21,-,,,,,,,,
