table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Direct from Local council website/ email/ text/ post,2,2,-,-,-,2,-,-,*,-,-,*,2,-,-,-,-,-,-,-,*,-,2,-,-,-,2
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,254,124,130,30**,29**,49*,46*,41*,41*,47*,62*,74*,66*,52*,30**,10**,37*,20**,22**,15**,15**,20**,32**,27**,19**,8**,202
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,“Broadsheets” such as The Times or Guardian ( online ),2,2,-,-,-,-,1,-,1,-,-,2,-,-,-,-,-,1,-,-,-,-,1,-,-,-,2
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Channel 4,2,2,-,-,-,1,-,-,*,-,-,*,1,-,-,-,-,-,-,-,*,-,-,-,1,-,1
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Snapchat,2,2,-,1,1,-,1,-,-,-,1,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,2
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Community radio,2,-,2,-,-,-,-,-,2,-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,2
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,ITV Wales,1,1,1,-,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,“Red-top tabloids” such as The Sun or Mirror ( online ),1,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Podcasts,1,1,1,1,1,-,1,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,1,-,-,-,1
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Direct from Local health service website/ email/ text/ post,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,"Smart speaker (e.g. Amazon Echo, Google Home)",1,1,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Magazines,1,-,1,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Advertising,1,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,1
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,254,124,130,30**,29**,49*,46*,41*,41*,47*,62*,74*,66*,52*,30**,10**,37*,20**,22**,15**,15**,20**,32**,27**,19**,8**,202
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Direct from Scotland Government website/ email/ text/ post,1,-,1,-,-,-,1,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Email,*,*,-,-,-,-,-,-,*,-,-,*,-,-,-,-,-,-,*,-,-,-,-,-,-,-,*
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Other,23,13,10,1,1,1,2,5,9,6,3,9,6,5,3,-,5,1,2,2,2,3,2,1,2,2,16
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: Broadcasters,31,20,11,2,2,4,4,2,8,11,8,8,10,5,1,-,8,5,-,-,4,-,3,3,5,1,25
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: Non-BBC broadcasters,12,10,2,2,2,2,1,-,4,4,2,3,4,4,1,-,4,2,-,-,2,-,-,1,3,-,10
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: BBC services,30,19,11,2,2,4,4,2,7,11,8,8,10,4,1,-,7,5,-,-,4,-,3,3,5,1,24
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: Newspapers (printed and online),19,15,4,-,-,3,3,5,2,6,3,7,7,1,1,-,2,2,2,-,*,2,3,4,2,-,17
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: Officials,9,5,4,1,1,4,2,*,*,1,2,4,3,-,1,-,1,-,2,*,*,-,2,3,-,-,8
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: Social Media,152,60,92,22,22,37,32,25,20,16,39,43,39,31,18,8,24,8,13,10,8,13,17,20,10,5,121
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: Facebook (Facebook and Facebook Messenger),111,39,72,10,10,25,28,20,13,15,25,30,30,25,16,4,16,4,11,8,5,11,12,13,7,4,87
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: WhatsApp (WhatsApp and WhatsApp groups),14,9,6,3,3,3,2,1,2,3,5,2,6,2,-,-,2,1,1,1,1,-,2,5,1,1,12
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: Closed groups,12,7,4,3,3,3,1,1,2,3,3,2,6,1,-,-,2,1,2,-,-,1,3,4,-,-,12
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,254,124,130,30**,29**,49*,46*,41*,41*,47*,62*,74*,66*,52*,30**,10**,37*,20**,22**,15**,15**,20**,32**,27**,19**,8**,202
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: Other online news sources,41,26,15,1,1,12,9,5,8,7,12,10,12,7,3,2,5,3,5,-,2,4,8,3,6,1,36
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: Family/friends/ local ppl,38,17,21,4,3,8,9,3,6,9,8,8,10,12,4,-,9,7,3,2,3,2,2,1,5,1,31
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: Traditional media,48,33,15,3,3,5,6,7,11,16,10,14,15,7,3,-,9,8,3,1,4,2,6,6,6,1,40
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,235,102,133,28,24,37,40,45,32,53,70,60,52,53,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,243,108*,136,34**,29**,40*,38*,43*,33**,55*,69*,67*,52*,55*,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Facebook,92,34,57,9,9,20,15,16,20,11,22,22,20,28,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Family and friends directly,34,10,24,2,2,6,7,9,3,7,7,8,9,10,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Twitter,30,11,20,10,9,6,5,4,1,4,11,5,7,7,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,BBC - TV,23,20,3,-,-,-,2,3,4,14,4,7,4,9,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Unspecified social media,15,8,7,3,3,3,2,3,-,4,7,2,2,4,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Websites or apps that bring together news from different news providers,14,3,11,1,1,4,3,1,3,2,2,5,6,*,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Instagram,13,3,9,8,5,4,1,-,-,-,5,-,2,5,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,“Mid-market tabloids” such as MailOnline or Express ( online ),11,2,9,-,-,3,2,2,1,3,6,3,-,2,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,YouTube,9,5,4,1,1,1,5,1,1,-,1,2,4,2,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Search engine (e.g. Google),9,3,6,3,1,1,2,-,1,2,5,2,1,1,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",9,5,3,-,-,-,1,4,2,2,3,1,2,2,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,243,108*,136,34**,29**,40*,38*,43*,33**,55*,69*,67*,52*,55*,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,BBC - Radio,9,4,4,-,-,-,-,3,2,3,1,3,1,4,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,ITV,8,5,4,1,1,-,1,3,1,2,1,3,3,2,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Sky,8,7,1,1,1,2,1,1,-,3,1,7,-,-,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,Commercial Radio,6,2,4,1,1,-,-,2,-,4,1,3,-,3,,,,,,,,,,,,,
Table 105,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 7th to 9th August 2020,“Broadsheets” such as The Times or Guardian,6,4,2,-,-,1,1,1,-,3,2,1,2,-,,,,,,,,,,,,,
