table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 111,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information you may be getting about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,1.26,1.27,1.24,1.12,1.14,1.22,1.25,1.28,1.29,1.33,1.2,1.27,1.25,1.3,1.22,1.16,1.26,1.24,1.25,1.2,1.19,1.32,1.27,1.26,1.27,1.37,1.26,,,
Table 127,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information you may be getting about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,2121,1075,1046,262,231,362,323,335,342,497,615,578,401,527,184,77,215,161,188,150,131,204,290,276,169,76,1730,,,
Table 127,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information you may be getting about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,2121,1037,1084,293,257,354,329,365,305,475,577,598,431,515,177,84*,235,173,185,152,101,200,280,290,181,64*,1780,,,
Table 127,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information you may be getting about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,NET: Top 2 box,671,330,340,98,81,134,106,101,95,137,173,178,148,173,46,27,64,60,64,46,35,57,99,99,49,26,564,,,
Table 127,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information you may be getting about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,5 - Very concerned,246,123,122,33,28,51,38,34,39,51,72,53,52,69,19,10,25,23,22,18,13,15,44,33,18,7,207,,,
Table 127,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information you may be getting about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,4,425,207,218,65,53,83,68,67,56,86,101,125,96,103,27,16,39,37,42,28,22,42,55,65,32,18,357,,,
Table 127,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information you may be getting about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,3,616,278,338,90,83,113,122,90,83,117,168,184,117,147,53,25,63,50,59,55,32,44,86,81,53,16,516,,,
Table 127,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information you may be getting about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,2,414,205,209,67,60,69,45,80,53,100,126,124,84,80,40,20,56,36,29,24,15,51,41,58,34,10,349,,,
Table 127,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information you may be getting about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,1 - Not at all concerned,420,223,197,38,33,38,55,93,75,122,110,113,82,115,39,13,51,27,33,28,18,48,53,53,45,12,351,,,
Table 127,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information you may be getting about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,NET: Bottom 2 box,835,429,406,105,93,107,100,173,128,222,237,237,166,196,78,33,107,63,62,52,34,99,94,111,79,22,700,,,
