table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 15th to 17th May 2020,20 times or more a day,164,103,61,18,14,36,24,32,27,28,42,47,25,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 15th to 17th May 2020,10-19 times a day,210,125,85,39,38,33,32,39,29,39,79,49,44,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 15th to 17th May 2020,5-9 times a day,466,237,229,67,51,75,69,76,71,109,136,144,86,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 15th to 17th May 2020,2-4 times a day,779,355,424,93,81,113,110,128,115,219,198,227,169,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 15th to 17th May 2020,About once a day,319,132,187,47,42,48,55,58,48,63,86,82,62,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 15th to 17th May 2020,A few times a week,110,52,58,22,19,24,29,19,8,8,23,32,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 15th to 17th May 2020,Less than a few times a week,43,17,25,2,1,21,7,8,2,3,5,12,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 15th to 17th May 2020,Never - not following the coronavirus outbreak,14,8,6,3,1,2,2,2,3,3,2,-,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2119,1016,1103,261,229,328,340,383,329,478,554,596,460,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,1036,1083,292,253,354,328,364,305,475,576,597,430,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 29th to 31st May 2020,NET: At least once a day,1916,949,968,255,223,306,290,329,282,455,536,541,386,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 29th to 31st May 2020,20 times or more a day,152,95,58,23,19,28,30,24,25,22,48,44,33,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,Q2. Frequency of getting info/news about Coronavirus outbreak in last week,ONLINE Fieldwork: 29th to 31st May 2020,10-19 times a day,194,115,79,33,33,30,22,35,31,42,70,58,40,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
