table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 355,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,No answer,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,38,36,35,68,32,32,171,220,211,157,405,128,495,502,516,549,-
Table 119,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,2126,1014,1112,222,190,341,393,415,314,441,616,610,426,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 119,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,2126,1040,1086,293,252,355,329,366,306,477,579,599,432,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 119,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 5th to 7th June 2020,NET: Important,1467,715,751,193,165,230,231,255,211,347,390,417,301,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 119,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 5th to 7th June 2020,1st most important,820,390,430,106,90,121,122,147,119,204,210,231,177,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 119,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 5th to 7th June 2020,2nd most important,334,173,161,42,37,57,60,56,41,78,100,94,74,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 119,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 5th to 7th June 2020,3rd most important,312,153,160,44,38,53,49,52,50,64,79,92,51,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 119,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 5th to 7th June 2020,No answer,659,324,335,100,87,125,98,110,96,130,189,182,131,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 119,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,2115,1047,1068,276,241,347,333,342,330,487,606,589,382,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 119,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,2115,1034,1081,292,250,353,328,364,305,474,575,596,429,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
