table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 117,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 5th to 7th June 2020,1st most important,358,168,190,47,45,57,49,59,62,84,104,96,80,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 5th to 7th June 2020,2nd most important,552,271,281,86,74,65,82,96,80,143,156,152,105,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 5th to 7th June 2020,3rd most important,567,287,280,72,58,95,81,100,90,129,144,165,121,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 5th to 7th June 2020,No answer,649,314,336,88,74,138,117,111,75,121,174,186,126,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,2115,1047,1068,276,241,347,333,342,330,487,606,589,382,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,2115,1034,1081,292,250,353,328,364,305,474,575,596,429,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 12th to 15th June 2020,NET: Important,1446,711,736,199,166,199,223,259,212,354,378,394,302,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 12th to 15th June 2020,1st most important,327,174,153,52,44,55,44,59,40,77,88,87,71,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 12th to 15th June 2020,2nd most important,552,277,275,84,66,76,87,89,76,139,143,155,110,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 12th to 15th June 2020,3rd most important,568,260,307,63,55,68,92,111,95,138,146,152,121,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 12th to 15th June 2020,No answer,669,323,345,93,85,154,105,105,93,120,197,203,127,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 127,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,2164,1113,1051,292,261,355,355,316,338,508,642,610,367,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 127,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,2164,1058,1106,298,264,361,335,372,312,485,589,610,439,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 127,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 19th to 21st June 2020,NET: Important,1406,668,738,192,169,214,210,244,215,331,370,378,303,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 127,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 19th to 21st June 2020,1st most important,336,158,178,45,41,60,50,50,49,82,94,88,70,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 127,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 19th to 21st June 2020,2nd most important,528,257,271,69,58,73,82,113,77,114,125,166,111,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 127,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 19th to 21st June 2020,3rd most important,542,253,289,78,69,82,78,81,89,135,150,123,122,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 127,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 19th to 21st June 2020,No answer,758,390,368,106,94,147,125,129,97,154,219,233,136,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
