table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 224,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,8,5,6,7,1,6,1,1,6,6,8,1,1,1,-,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 224,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 22nd to 24th May 2020,Mean,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.53,3.64,3.52,3.24,3.32,3.5,3.83,3.47,3.76,3.75,3.37,3.47,3.52,2,3.74,3.12,4,3.42,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 224,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.85,0.85,0.82,0.89,0.93,0.84,0.96,0.92,0.83,0.93,0.84,0.85,-,0.65,0.84,-,0.87,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 225,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,12,9,6,15,8,5,30,24,24,14,63,18,64,62,65,68,-,,,,,,,,,
Table 225,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,68*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17**,13**,8**,6**,15**,7**,5**,28**,26**,25**,14**,62*,18**,66*,62*,66*,68*,-**,,,,,,,,,
Table 225,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,3,5,7,3,4,13,18,9,12,34,14,35,34,35,37,-,,,,,,,,,
Table 225,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,-,2,1,1,3,2,3,1,4,7,4,7,7,7,7,-,,,,,,,,,
Table 225,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 22nd to 24th May 2020,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,3,4,6,2,1,12,15,8,8,28,10,28,27,28,30,-,,,,,,,,,
Table 225,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 22nd to 24th May 2020,3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,5,-,7,3,1,9,8,13,1,20,2,23,21,24,24,-,,,,,,,,,
Table 225,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 22nd to 24th May 2020,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,-,*,2,*,-,5,*,3,1,8,2,8,7,8,8,-,,,,,,,,,
