table,question,date,response,Total (a),Male (b),Female (c),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),16-24 (d),18-24 (e),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,11,5,6,4,1,4,-,2,2,8,1,-,-,-,-,-,-,-,-,-,-,-,-,11,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,13**,5**,8**,5**,1**,4**,-**,3**,2**,9**,1**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,13**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,11,3,8,4,1,3,-,3,2,8,1,-,-,-,-,-,-,-,-,-,-,-,-,11,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,1,-,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 11th to 13th September 2020,4,10,3,6,4,1,2,-,3,2,6,1,-,-,-,-,-,-,-,-,-,-,-,-,10,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 11th to 13th September 2020,3,2,2,-,1,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 11th to 13th September 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 11th to 13th September 2020,Mean,3.97,3.64,4.18,3.78,4,4.13,-,4,4,3.95,4,-,-,-,-,-,-,-,-,-,-,-,-,3.97,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,0.52,0.53,0.41,0.46,-,0.82,-,0,0,0.61,-,-,-,-,-,-,-,-,-,-,-,-,-,0.52,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,12,8,4,3,2,4,1,-,4,3,2,3,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,11**,8**,3**,2**,2**,3**,1**,-**,3**,3**,2**,3**,,,,,,,,,,,,,,2**,1**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 29th to 31st May 2020,NET: Trust,7,4,2,1,1,2,1,-,3,3,-,2,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 29th to 31st May 2020,5 - Trust completely,2,1,1,-,-,1,1,-,1,-,-,2,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 29th to 31st May 2020,4,5,4,1,1,1,1,-,-,2,3,-,-,,,,,,,,,,,,,,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 29th to 31st May 2020,3,4,3,1,1,1,1,-,-,1,-,2,1,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 29th to 31st May 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 29th to 31st May 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 29th to 31st May 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 29th to 31st May 2020,Mean,3.82,3.66,4.2,3.4,3.37,3.84,5,-,3.96,4,3,4.13,,,,,,,,,,,,,,4.29,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,0.78,0.69,0.98,0.64,0.64,0.88,-,-,0.72,0,0,1.22,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 145,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,5,1,4,1,1,2,1,,2,1,2,-,,-,-,-,-,-,,-,,-,-,5,,,,2,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 145,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,6**,1**,5**,1**,1**,3**,1**,,2**,1**,3**,-**,,-**,-**,-**,-**,-**,,-**,,-**,-**,6**,,,,2**,1**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 145,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,6,1,5,1,1,3,1,,2,1,3,-,,-,-,-,-,-,,-,,-,-,6,,,,2,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 145,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,2,1,1,1,-,1,-,,1,1,-,-,,-,-,-,-,-,,-,,-,-,2,,,,2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 145,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,4,4,-,4,-,1,2,1,,1,-,3,-,,-,-,-,-,-,,-,,-,-,4,,,,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 145,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,3,-,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,-,,-,,-,-,-,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 145,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,2,-,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,-,,-,,-,-,-,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 145,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,-,,-,,-,-,-,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 145,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,-,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,-,,-,,-,-,-,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 145,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,4.38,5,4.22,5,4,4.45,4,,4.52,5,4,-,,-,-,-,-,-,,-,,-,-,4.38,,,,5,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 145,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.53,-,0.46,-,-,0.62,-,,0.66,-,0,-,,-,-,-,-,-,,-,,-,-,0.53,,,,0,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 146,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2,1,-,3,-,3,1,1,2,1,5,-,1,-,-,2,2,,,,,,,,,,,,,,,,,,,
Table 146,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,6**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6**,6**,3**,1**,-**,4**,-**,4**,1**,1**,3**,2**,6**,-**,1**,-**,-**,3**,2**,,,,,,,,,,,,,,,,,,,
Table 146,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,3,1,-,4,-,4,1,1,3,2,6,-,1,-,-,3,2,,,,,,,,,,,,,,,,,,,
Table 146,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,-,-,-,1,-,1,1,1,-,-,2,-,-,-,-,-,2,,,,,,,,,,,,,,,,,,,
Table 146,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,1,-,3,-,3,-,-,3,2,4,-,1,-,-,3,-,,,,,,,,,,,,,,,,,,,
Table 146,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Table 146,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Table 146,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Table 146,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Table 146,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,4.38,4,4,-,4.32,-,4.32,5,5,4,4,4.38,-,4,-,-,4,5,,,,,,,,,,,,,,,,,,,
Table 146,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.53,0,-,-,0.54,-,0.54,-,-,0,-,0.53,-,-,-,-,0,0,,,,,,,,,,,,,,,,,,,
Table 147,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,1,1,-,2,2,1,5,3,4,5,5,5,-,,,
Table 147,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,6**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-**,-**,-**,2**,2**,-**,3**,2**,1**,6**,4**,5**,6**,6**,6**,-**,,,
Table 147,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,2,2,-,3,2,1,6,4,5,6,6,6,-,,,
Table 147,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,2,1,2,2,2,2,-,,,
Table 147,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,2,2,-,3,2,1,4,3,3,4,4,4,-,,,
Table 147,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Table 147,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Table 147,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Table 147,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Table 147,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,4,4,-,4,4,4,4.38,4.32,4.46,4.38,4.38,4.38,-,,,
Table 147,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,0,0,-,0.53,0.54,0.56,0.53,0.53,0.53,-,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,13,8,5,2,2,5,4,-,7,2,3,1,-,-,-,-,-,-,-,-,-,-,-,13,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,11**,6**,5**,2**,2**,5**,2**,-**,6**,2**,2**,1**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,11**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 11th April 2021,NET: Trust,9,5,4,1,2,4,2,-,4,2,2,1,-,-,-,-,-,-,-,-,-,-,-,9,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 11th April 2021,5 - Trust completely,1,1,-,-,-,1,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 11th April 2021,4,8,4,4,1,2,3,2,-,3,2,2,1,-,-,-,-,-,-,-,-,-,-,-,8,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 11th April 2021,3,2,1,1,1,-,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 11th April 2021,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 11th April 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 11th April 2021,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
