table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - TV,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,1291,658,633,138*,113*,149,167,222,212,402,395,378,251,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - TV,ONLINE Fieldwork: 5th to 7th June 2020,NET: Trust,879,437,442,114,92,105,109,146,149,256,271,261,163,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - TV,ONLINE Fieldwork: 5th to 7th June 2020,5 - Trust completely,287,153,134,39,30,35,34,44,53,83,95,84,45,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - TV,ONLINE Fieldwork: 5th to 7th June 2020,4,591,284,307,75,62,70,75,103,96,172,176,176,118,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - TV,ONLINE Fieldwork: 5th to 7th June 2020,3,322,159,163,22,20,36,46,58,50,110,98,92,66,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - TV,ONLINE Fieldwork: 5th to 7th June 2020,2,63,41,21,1,-,4,11,11,10,25,18,19,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - TV,ONLINE Fieldwork: 5th to 7th June 2020,1 - Do not trust at all,27,21,7,1,1,5,2,6,2,11,7,6,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - TV,ONLINE Fieldwork: 5th to 7th June 2020,NET: Do not trust,90,62,28,2,1,9,13,18,12,36,25,25,22,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - TV,ONLINE Fieldwork: 5th to 7th June 2020,Mean,3.81,3.77,3.85,4.09,4.07,3.84,3.76,3.75,3.88,3.73,3.84,3.83,3.7,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - TV,ONLINE Fieldwork: 5th to 7th June 2020,Standard deviation Standard error,0.91,0.98,0.83,0.72,0.71,0.92,0.89,0.93,0.87,0.95,0.9,0.89,0.95,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
