table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 12th to 14th March 2021,None of these,906,451,455,110,91,118,129,169,139,241,238,263,183,222,85,33,92,73,69,63,43,106,113,117,79,32,746,,,
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,2062,1025,1037,255,224,330,342,367,304,464,639,565,397,461,170,81,214,157,172,165,101,199,291,298,154,60,1731,,,
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,2060,1012,1048,287,247,344,323,352,295,461,567,587,414,492,164,83*,229,168,183,148,97*,193,273,287,174,62*,1738,,,
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 6th to 8th November 2020,NET: Any,1387,674,714,206,180,248,230,217,182,304,380,400,293,314,103,59,166,115,126,100,58,116,189,196,124,35,1192,,,
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 6th to 8th November 2020,The flu alone is killing more people than Coronavirus,684,323,361,98,88,125,111,101,95,155,188,185,158,153,61,33,96,54,63,46,33,58,77,87,56,19,571,,,
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 6th to 8th November 2020,Face masks/coverings offer no protection or are harmful,648,293,354,100,85,112,116,102,87,130,166,197,139,145,62,26,75,55,49,50,21,55,84,95,59,14,550,,,
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 6th to 8th November 2020,The number of deaths linked to Coronavirus is much lower in reality than is being reported,641,300,342,85,75,116,109,89,94,149,172,186,138,145,43,28,94,60,60,46,26,54,80,84,48,18,553,,,
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 6th to 8th November 2020,The number of cases linked to Coronavirus is much lower in reality than is being reported,594,275,319,87,77,94,100,101,78,134,151,172,125,145,40,29,77,43,53,48,26,49,77,96,39,16,512,,,
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 6th to 8th November 2020,Flu and Coronavirus statistics are being combined to make Coronavirus look more harmful than it is,473,241,232,63,56,92,90,67,58,103,123,137,115,98,31,24,62,41,43,40,17,40,62,70,33,9,417,,,
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 6th to 8th November 2020,There are potential dangers associated with the  Coronavirus vaccination,417,198,218,55,46,77,85,48,59,93,132,102,96,87,29,18,60,26,33,31,15,30,64,60,35,15,357,,,
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 6th to 8th November 2020,The origin or cause of Coronavirus is in some way linked to 5G technology,382,194,188,66,58,61,56,59,50,90,97,116,76,92,28,27,46,39,28,24,14,39,51,52,31,2,338,,,
