table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,NET: Non-BBC broadcasters,3,3,-,-,-,1,1,-,-,2,1,1,1,-,1,-,1,-,-,-,-,1,-,-,1,-,2,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,NET: BBC services,17,8,8,4,3,3,-,1,1,8,5,6,4,2,3,-,1,1,4,-,3,1,1,1,2,-,11,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,NET: Newspapers (printed and online),11,8,4,1,1,2,1,-,3,4,3,4,1,3,1,-,2,1,1,-,-,-,2,2,2,-,10,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,NET: Officials,8,2,5,1,-,4,1,1,-,1,2,2,-,4,1,-,-,1,3,-,-,-,1,2,-,-,7,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,NET: Social Media,92,37,55,12,11,27,18,9,13,13,23,27,19,24,14,5,13,8,7,3,5,6,12,12,6,1,73,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,NET: Facebook (Facebook and Facebook Messenger),64,21,44,8,8,16,17,4,8,12,15,17,12,19,8,4,8,4,6,2,5,5,9,9,4,-,52,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,NET: WhatsApp (WhatsApp and WhatsApp groups),5,4,1,1,1,*,1,-,-,3,1,1,2,1,-,1,-,-,-,-,-,-,3,1,-,-,5,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,150,67*,83*,14**,13**,36**,35*,14**,19**,32**,46*,43*,30**,31**,16**,9**,18**,10**,15**,7**,8**,14**,19**,22**,9**,3**,123,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,NET: Closed groups,7,3,4,1,1,2,2,-,-,3,4,1,1,1,-,1,-,-,-,-,-,1,3,2,-,-,7,,,
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 6th to 8th November 2020,NET: Other online news sources,18,9,9,-,-,7,3,3,1,4,6,5,3,4,-,2,1,4,5,-,-,2,2,2,-,1,17,,,
