table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 361,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 22nd to 24th May 2020,2nd most important,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,5,7,15,4,7,26,30,30,29,50,17,70,66,69,76,-
Table 361,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 22nd to 24th May 2020,3rd most important,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,9,8,19,5,9,28,48,41,36,74,36,95,100,104,110,-
Table 361,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 22nd to 24th May 2020,No answer,1863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,144,118,109,227,102,82,620,677,608,359,1517,411,1673,1769,1810,1862,-
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,2126,1014,1112,222,190,341,393,415,314,441,616,610,426,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,2126,1040,1086,293,252,355,329,366,306,477,579,599,432,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 5th to 7th June 2020,NET: Important,254,136,119,30,25,60,40,43,26,54,52,57,62,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 5th to 7th June 2020,1st most important,51,32,19,7,5,13,10,8,3,10,5,16,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 5th to 7th June 2020,2nd most important,96,49,47,8,6,25,20,20,6,17,14,18,20,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 5th to 7th June 2020,3rd most important,108,54,53,16,14,23,10,15,17,27,32,24,32,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 5th to 7th June 2020,No answer,1872,904,968,263,226,294,289,322,280,423,527,542,369,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 131,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,2164,1113,1051,292,261,355,355,316,338,508,642,610,367,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 131,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,2164,1058,1106,298,264,361,335,372,312,485,589,610,439,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 131,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 19th to 21st June 2020,NET: Important,311,161,150,59,53,65,45,50,34,59,83,87,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 131,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 19th to 21st June 2020,1st most important,68,39,29,11,10,16,14,9,6,12,15,23,17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 131,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 19th to 21st June 2020,2nd most important,130,59,71,35,30,25,17,17,13,24,37,33,33,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 131,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 19th to 21st June 2020,3rd most important,113,63,50,13,12,23,14,24,15,23,31,31,20,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 131,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 19th to 21st June 2020,No answer,1853,897,956,239,211,297,291,322,278,426,505,524,369,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
