table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 24,Q4b3. To what extent do you agree or disagree with the following statements? I think it's OK for untrue stories about Coronavirus to be posted,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,1.27,1.34,1.19,1.38,1.39,1.32,1.22,1.23,1.15,1.11,1.33,1.25,1.2,1.28,1.32,1.27,1.21,1.15,1.25,1.38,1.27,1.23,1.31,1.28,1.35,1.15,1.27,,,
Table 24,Q4b3. To what extent do you agree or disagree with the following statements? I think it's OK for untrue stories about Coronavirus to be posted,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,2121,1075,1046,262,231,362,323,335,342,497,615,578,401,527,184,77,215,161,188,150,131,204,290,276,169,76,1730,,,
Table 24,Q4b3. To what extent do you agree or disagree with the following statements? I think it's OK for untrue stories about Coronavirus to be posted,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,2121,1037,1084,293,257,354,329,365,305,475,577,598,431,515,177,84*,235,173,185,152,101,200,280,290,181,64*,1780,,,
Table 24,Q4b3. To what extent do you agree or disagree with the following statements? I think it's OK for untrue stories about Coronavirus to be posted,ONLINE Fieldwork: 5th to 11th April 2021,NET: Agree,455,263,192,89,83,102,79,78,52,54,145,133,99,78,41,21,46,44,46,30,19,34,70,61,32,12,383,,,
Table 24,Q4b3. To what extent do you agree or disagree with the following statements? I think it's OK for untrue stories about Coronavirus to be posted,ONLINE Fieldwork: 5th to 11th April 2021,Strongly agree      (+2),118,80,38,24,24,24,19,25,12,14,49,29,27,14,8,2,12,17,7,7,4,9,24,17,11,1,104,,,
Table 24,Q4b3. To what extent do you agree or disagree with the following statements? I think it's OK for untrue stories about Coronavirus to be posted,ONLINE Fieldwork: 5th to 11th April 2021,Slightly agree      (+1),337,183,155,66,60,77,60,53,40,41,96,105,72,64,33,19,34,27,40,23,15,24,46,44,21,10,279,,,
Table 24,Q4b3. To what extent do you agree or disagree with the following statements? I think it's OK for untrue stories about Coronavirus to be posted,ONLINE Fieldwork: 5th to 11th April 2021,Neither agree nor    (0) disagree,335,169,166,64,57,72,56,60,33,51,94,85,64,92,30,6,40,20,31,25,16,30,55,45,31,7,281,,,
Table 24,Q4b3. To what extent do you agree or disagree with the following statements? I think it's OK for untrue stories about Coronavirus to be posted,ONLINE Fieldwork: 5th to 11th April 2021,Slightly disagree   (-1),399,194,205,63,53,81,74,56,58,68,120,127,61,91,30,17,41,36,22,31,23,48,45,55,40,10,336,,,
Table 24,Q4b3. To what extent do you agree or disagree with the following statements? I think it's OK for untrue stories about Coronavirus to be posted,ONLINE Fieldwork: 5th to 11th April 2021,Strongly disagree   (-2),933,412,521,76,64,100,120,171,163,303,218,253,207,254,75,41,108,73,86,66,43,88,110,129,78,35,780,,,
Table 24,Q4b3. To what extent do you agree or disagree with the following statements? I think it's OK for untrue stories about Coronavirus to be posted,ONLINE Fieldwork: 5th to 11th April 2021,NET: Disagree,1331,606,726,139,116,180,194,227,220,370,338,380,268,345,105,58,148,109,108,98,66,136,155,185,119,45,1116,,,
