table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,241,114*,127,26**,22**,38*,41*,37**,41*,58*,77*,62*,38**,63*,22**,17**,27**,15**,12**,19**,14**,21**,32**,36**,18**,7**,197
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,“Red-top tabloids” such as The Sun or Mirror ( online ),2,1,1,-,-,1,-,1,-,-,1,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-,2
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",2,2,1,1,1,1,1,-,-,-,2,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,2
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Direct from NHS website/ email/ text/ post,2,2,-,-,-,-,-,-,-,2,2,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,ITV Wales,2,-,2,-,-,2,-,-,-,-,-,-,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Community radio,2,2,-,2,2,-,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,2
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Direct from Local council website/ email/ text/ post,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,2
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Channel 4,2,2,-,-,-,-,-,-,1,1,-,-,2,-,-,1,-,1,-,-,-,-,-,-,-,-,2
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,STV,1,1,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Direct from Scotland Government website/ email/ text/ post,1,1,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,“Red-top tabloids” such as The Sun or Daily Mirror ( printed ),1,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,1
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,241,114*,127,26**,22**,38*,41*,37**,41*,58*,77*,62*,38**,63*,22**,17**,27**,15**,12**,19**,14**,21**,32**,36**,18**,7**,197
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,UTV,1,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Channel 5,1,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,"Smart speaker (e.g. Amazon Echo, Google Home)",1,-,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Magazines,*,*,-,-,-,-,-,-,*,-,-,*,-,-,-,-,-,-,-,*,-,-,-,-,-,-,*
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Other,31,11,20,3,-,1,11,4,6,6,11,10,2,7,2,-,4,-,4,1,2,4,7,7,2,-,28
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,NET: Broadcasters,37,24,13,4,4,4,1,3,7,16,14,4,8,11,6,2,3,3,3,2,3,7,2,2,3,1,27
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,NET: Non-BBC broadcasters,17,11,6,2,2,2,1,1,4,7,5,1,6,5,3,1,1,3,1,-,2,4,2,-,*,1,12
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,NET: BBC services,34,24,10,4,4,4,1,3,7,15,12,4,8,11,5,2,2,3,3,2,3,7,2,2,3,1,25
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,NET: Newspapers (printed and online),26,18,8,2,1,2,1,5,3,13,13,4,2,6,*,3,5,2,3,2,1,5,1,3,1,-,24
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,NET: Officials,14,10,3,2,2,1,1,2,2,6,10,-,3,-,1,1,1,2,3,-,-,-,1,2,2,-,12
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,NET: Social Media,132,58,73,21,20,24,19,27,19,21,41,33,20,38,8,14,17,10,4,13,6,8,17,22,12,3,116
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,NET: Facebook (Facebook and Facebook Messenger),93,38,54,7,7,21,10,23,14,18,30,21,14,27,5,13,14,9,3,7,1,5,13,12,10,2,85
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,241,114*,127,26**,22**,38*,41*,37**,41*,58*,77*,62*,38**,63*,22**,17**,27**,15**,12**,19**,14**,21**,32**,36**,18**,7**,197
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,NET: WhatsApp (WhatsApp and WhatsApp groups),6,3,3,2,2,2,1,-,-,1,1,3,2,-,-,-,2,-,-,-,1,-,3,*,-,-,5
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,NET: Closed groups,6,3,3,2,2,-,*,-,3,1,2,3,-,1,-,-,1,-,-,-,1,-,3,-,1,-,5
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,NET: Other online news sources,14,9,5,1,1,2,3,2,1,5,6,4,-,4,2,-,-,2,4,1,1,2,2,1,1,-,12
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,NET: Family/friends/ local ppl,43,20,23,5,5,11,10,4,3,10,8,15,6,15,4,1,3,4,1,1,5,4,6,7,2,4,30
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,NET: Traditional media,54,34,20,8,7,7,1,6,11,22,21,7,11,15,6,3,6,3,4,3,3,10,4,5,4,1,44
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,I don't know where the source is from,2,1,*,-,-,-,1,*,-,-,-,-,1,*,-,-,-,-,-,-,-,-,-,1,-,*,1
