table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2058,992,1066,257,228,350,317,362,323,449,570,574,450,464,186,87,209,169,177,162,112,186,262,266,179,63,1697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2056,1010,1045,286,248,338,314,353,297,468,561,581,416,497,171,83*,228,167,179,148,98*,193,269,280,177,62*,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,NET: Any,1056,539,517,159,141,215,175,158,136,214,291,309,213,243,93,47,128,85,92,76,60,85,133,131,91,37,867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Face masks/coverings offer no protection/are harmful,580,283,298,82,74,108,99,91,86,116,145,169,131,135,62,25,80,53,47,39,27,44,64,73,46,19,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,The number of deaths linked to Coronavirus is much lower in reality than is being reported,426,207,219,65,57,82,77,71,58,72,114,129,80,104,42,18,52,30,29,32,32,37,46,57,27,25,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Claims about potential dangers of a Coronavirus vaccination,410,199,212,61,55,73,65,62,59,90,114,118,76,103,53,17,50,30,28,31,18,37,54,47,33,12,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,The number of cases linked to Coronavirus is much lower in reality than is being reported,363,179,183,62,53,66,62,55,54,63,91,120,64,88,31,16,47,27,31,29,23,32,43,44,23,18,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Theories linking the origins or causes of Coronavirus to 5G technology,308,173,135,48,42,76,56,34,38,56,87,99,56,65,29,9,38,24,33,19,18,24,44,41,19,11,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Schoolchildren can be tested and detained without parents' permission,137,65,73,16,15,39,34,21,12,16,29,37,32,39,15,5,23,13,19,6,8,12,10,17,6,2,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Injecting disinfectant/ bleach,130,83,47,23,20,36,15,18,16,22,28,41,27,35,9,4,15,8,15,11,6,6,28,11,14,4,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Drinking water more frequently,98,51,46,22,21,30,15,10,7,13,32,26,17,22,5,5,11,6,6,10,5,3,14,15,12,6,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Gargling with salt water,89,59,30,19,15,18,14,11,11,17,30,22,14,24,4,2,13,1,11,10,4,9,17,6,11,3,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,"Increasing use of natural remedies such as colloidal silver, essential oils, garlic, MMS (chlorine dioxide) or vitamin C",85,57,28,19,19,25,10,9,12,10,27,25,19,15,7,5,12,8,10,7,6,2,13,10,4,1,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Inhaling steam,73,52,21,27,21,20,9,4,7,7,25,19,12,18,2,5,7,3,6,4,1,4,17,8,13,2,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Drinking more lemon juice,62,44,18,9,9,18,10,10,5,10,23,13,10,16,2,1,13,5,5,4,2,1,9,11,8,1,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Putting clothes in the sun or another warm place to disinfect them,59,28,31,13,10,13,5,7,8,14,17,13,14,16,5,3,5,2,5,2,6,5,12,8,4,2,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Eating warm food/ drink and avoiding cold food/ drink,45,30,15,11,11,10,8,5,5,5,18,3,10,14,-,1,8,1,6,2,1,1,9,7,7,1,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Other,40,26,14,1,1,6,5,9,7,11,14,10,9,8,1,3,6,3,2,4,1,7,2,3,6,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 11th to 13th September 2020,None of these,999,471,528,127,107,123,140,196,160,254,270,272,203,255,79,36,100,82,87,72,38,108,136,149,87,25,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,2092,1030,1062,256,226,354,346,368,305,463,605,570,402,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,2091,1021,1070,287,247,350,324,360,300,470,570,594,421,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 15th to 17th May 2020,NET: Any,1036,537,498,179,154,190,180,160,139,187,300,271,230,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 15th to 17th May 2020,Theories linking the origins or causes of Coronavirus to 5G technology,737,399,338,140,117,141,117,109,101,127,213,196,158,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 15th to 17th May 2020,Drinking water more frequently,252,121,132,41,38,35,51,38,37,51,75,72,46,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 15th to 17th May 2020,"Increasing use of natural remedies such as colloidal silver, essential oils, garlic, MMS (chlorine dioxide) or vitamin C",244,113,131,48,37,40,52,36,27,42,71,60,56,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 15th to 17th May 2020,Gargling with salt water,217,119,97,32,25,42,42,28,31,42,79,52,30,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 15th to 17th May 2020,Putting clothes in the sun or another warm place to disinfect them,159,75,84,27,23,41,23,16,19,34,38,49,29,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 15th to 17th May 2020,Drinking more lemon juice,144,80,64,13,6,31,30,28,12,29,46,42,31,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 15th to 17th May 2020,Eating warm food/ drink and avoiding cold food/ drink,140,71,69,32,25,30,31,15,15,16,41,42,29,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 15th to 17th May 2020,Inhaling steam,128,68,60,19,18,36,20,19,17,17,39,29,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 15th to 17th May 2020,Injecting disinfectant/ bleach,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 15th to 17th May 2020,Exposure to UV/ strong light,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 15th to 17th May 2020,Other,91,49,42,4,4,8,18,22,19,20,18,33,23,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 15th to 17th May 2020,None of these,1055,484,571,108,92,159,144,199,161,283,270,322,191,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2084,998,1086,255,223,321,329,380,325,474,544,588,454,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2086,1019,1067,287,247,347,319,360,301,471,568,591,424,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 29th to 31st May 2020,NET: Any,1050,520,530,165,141,191,158,166,151,220,303,292,202,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 29th to 31st May 2020,Theories linking the origins or causes of Coronavirus to 5G technology,620,338,283,106,91,99,88,104,88,135,192,177,113,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 29th to 31st May 2020,Injecting disinfectant/ bleach,449,221,229,76,61,65,52,75,60,122,112,129,86,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 29th to 31st May 2020,Claims about potential dangers of a Coronavirus vaccination,300,137,163,50,43,62,43,48,35,62,87,79,61,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 29th to 31st May 2020,"Increasing use of natural remedies such as colloidal silver, essential oils, garlic, MMS (chlorine dioxide) or vitamin C",200,92,108,34,29,28,21,28,33,54,57,60,35,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 29th to 31st May 2020,Drinking water more frequently,186,89,97,40,31,35,26,24,22,39,44,47,44,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 29th to 31st May 2020,Gargling with salt water,155,76,80,31,27,31,28,18,17,30,38,42,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 29th to 31st May 2020,Putting clothes in the sun or another warm place to disinfect them,127,50,77,24,22,25,16,23,12,27,33,35,35,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 29th to 31st May 2020,Eating warm food/ drink and avoiding cold food/ drink,125,53,72,27,17,29,19,16,10,22,28,31,26,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 29th to 31st May 2020,Drinking more lemon juice,109,62,46,13,9,21,23,18,11,23,27,20,24,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 29th to 31st May 2020,Inhaling steam,96,50,46,17,16,21,19,10,12,18,28,21,13,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 29th to 31st May 2020,Other,75,42,33,2,2,12,8,24,16,14,27,24,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 29th to 31st May 2020,None of these,1037,499,537,123,106,156,162,194,151,251,265,299,222,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 287,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2071,1025,1046,262,230,335,324,333,304,513,581,542,424,524,193,78,243,149,168,162,104,216,286,238,173,61,,340,896,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 287,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2072,1011,1061,286,244,345,316,360,298,467,565,586,419,501,173,83*,229,169,181,147,99*,196,272,280,179,63*,,329,834,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 287,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Any,1049,524,525,170,148,170,165,158,149,238,321,280,216,232,84,46,124,77,94,77,47,86,148,145,91,28,,163,411,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 287,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Theories linking the origins or causes of Coronavirus to 5G technology,686,348,338,123,105,113,103,98,104,145,224,176,141,146,62,26,75,52,67,47,25,64,102,95,55,17,,110,264,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 287,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Claims about potential dangers of a Coronavirus vaccination,375,178,196,68,56,74,67,53,45,67,116,106,70,82,32,12,42,35,34,22,16,22,59,51,39,10,,53,161,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 287,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,"Increasing use of natural remedies such as colloidal silver, essential oils, garlic, MMS (chlorine dioxide) or vitamin C",267,133,134,44,33,40,37,39,39,68,88,65,51,63,21,13,31,21,15,21,11,25,41,38,24,7,,38,102,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 287,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Drinking water more frequently,201,87,115,42,37,30,31,26,29,44,66,47,39,49,15,5,27,17,24,15,7,10,32,28,17,3,,23,70,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 287,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Gargling with salt water,164,83,81,46,35,27,20,18,15,38,49,40,34,41,11,7,24,9,17,9,12,9,29,25,7,3,,17,67,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 287,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Eating warm food/ drink and avoiding cold food/ drink,140,63,78,34,29,33,17,17,14,24,39,25,37,38,7,5,25,6,12,11,10,7,21,24,8,5,,20,67,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 287,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Putting clothes in the sun or another warm place to disinfect them,129,50,79,27,24,24,12,18,15,33,37,27,35,30,6,1,20,8,10,13,9,11,14,25,11,2,,21,41,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 287,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Drinking more lemon juice,117,75,42,22,17,22,19,12,15,27,34,27,31,26,5,5,13,11,10,8,8,7,21,19,8,2,,18,49,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 287,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Inhaling steam,101,53,49,22,19,25,10,9,16,19,28,27,24,23,6,3,12,7,7,2,7,5,19,21,10,3,,15,44,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 287,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Other,117,70,48,12,12,9,15,22,22,37,41,37,22,18,13,3,16,6,7,7,6,10,21,18,7,4,,19,42,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 287,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,None of these,1022,486,536,116,96,175,151,202,149,229,244,306,203,269,89,37,104,92,87,70,51,110,124,135,88,34,,166,423,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 288,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,1021,1578,636,720,808,178,613,163,163,562,625,1859,35,687,244,99,834,656,,,,,,,,,,,,,,,,,,
Table 288,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,
Table 288,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Any,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884,555,785,369,466,494,124,378,122,123,335,399,946,20,314,117,53,675,159,,,,,,,,,,,,,,,,,,
Table 288,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Theories linking the origins or causes of Coronavirus to 5G technology,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582,362,516,266,325,339,77,254,80,81,238,285,627,14,195,73,41,465,81,,,,,,,,,,,,,,,,,,
Table 288,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Claims about potential dangers of a Coronavirus vaccination,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,196,287,149,188,221,57,164,50,53,135,166,344,9,104,42,22,286,38,,,,,,,,,,,,,,,,,,
Table 288,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,"Increasing use of natural remedies such as colloidal silver, essential oils, garlic, MMS (chlorine dioxide) or vitamin C",267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,148,212,117,140,131,34,103,38,33,92,119,249,5,96,26,11,197,26,,,,,,,,,,,,,,,,,,
Table 288,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Drinking water more frequently,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,122,148,77,104,104,25,88,34,36,60,79,180,3,66,21,9,140,31,,,,,,,,,,,,,,,,,,
Table 288,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Gargling with salt water,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,104,115,63,78,87,28,77,26,32,51,66,146,4,51,10,7,107,28,,,,,,,,,,,,,,,,,,
Table 288,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,
Table 288,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Eating warm food/ drink and avoiding cold food/ drink,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,77,98,42,63,82,19,71,27,26,37,62,121,1,41,10,8,100,19,,,,,,,,,,,,,,,,,,
Table 288,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Putting clothes in the sun or another warm place to disinfect them,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,71,89,45,63,72,23,64,24,26,41,59,110,1,43,7,7,89,16,,,,,,,,,,,,,,,,,,
Table 288,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Drinking more lemon juice,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,67,85,39,61,59,27,47,22,20,40,38,105,2,39,11,5,81,18,,,,,,,,,,,,,,,,,,
Table 288,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Inhaling steam,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,61,78,31,49,54,20,43,25,18,27,43,89,3,30,6,5,75,12,,,,,,,,,,,,,,,,,,
Table 288,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Other,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,59,99,51,59,45,16,34,11,16,46,40,111,5,31,16,4,101,11,,,,,,,,,,,,,,,,,,
Table 288,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,None of these,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868,460,778,251,258,320,58,240,34,40,230,221,908,12,368,127,47,133,513,,,,,,,,,,,,,,,,,,
Table 289,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,168,145,133,273,124,105,691,773,675,441,1670,476,1859,1950,2000,2070,-
Table 289,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,164,140,129,267,117,101*,686,767,680,435,1658,476,1860,1957,2004,2070,-**
