table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 96,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Drinking water more frequently,129,69,59,19,19,35,22,18,14,19,32,42,24,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Gargling with salt water,103,47,56,17,14,18,19,17,14,18,28,26,22,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 7th to 9th August 2020,"Increasing use of natural remedies such as colloidal silver, essential oils, garlic, MMS (chlorine dioxide) or vitamin C",103,53,49,17,15,19,11,17,18,22,30,30,14,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Putting clothes in the sun or another warm place to disinfect them,80,31,49,15,15,18,13,12,14,9,16,20,18,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Drinking more lemon juice,76,43,32,16,16,16,14,16,8,6,13,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Eating warm food/ drink and avoiding cold food/ drink,60,30,30,12,11,15,8,13,5,7,16,18,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Inhaling steam,57,29,28,6,6,17,11,13,5,4,11,15,9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Other,33,15,18,1,-,6,5,8,6,7,11,6,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 7th to 9th August 2020,None of these,1022,500,522,131,110,157,144,190,150,250,267,303,196,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,2141,1045,1096,261,230,328,348,360,327,517,620,613,376,532,196,86,235,165,195,161,99,196,287,274,184,63,1783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
