table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 77,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 1st to 3rd May 2020,Via social media posts,325,169,155,33,30,62,62,65,40,62,99,78,78,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 77,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 1st to 3rd May 2020,Other,21,11,11,-,-,1,3,1,6,10,5,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 77,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 1st to 3rd May 2020,I have not shared any information/news about Coronavirus,418,224,194,59,47,73,61,70,65,90,92,122,79,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,2062,1025,1037,255,224,330,342,367,304,464,639,565,397,461,170,81,214,157,172,165,101,199,291,298,154,60,1731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,2060,1012,1048,287,247,344,323,352,295,461,567,587,414,492,164,83*,229,168,183,148,97*,193,273,287,174,62*,1738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 6th to 8th November 2020,"Talked to family, friends and colleagues in person or by phone",1464,669,795,196,169,231,222,267,210,338,410,434,284,335,119,63,176,140,117,104,65,124,178,213,127,39,1241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 6th to 8th November 2020,"Writing on closed messenger groups, such as WhatsApp, Teams, Zoom etc",377,175,201,101,94,105,77,42,25,28,107,129,72,68,39,17,40,34,39,20,9,26,72,51,20,9,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 6th to 8th November 2020,Via social media posts,236,135,101,37,34,50,52,40,34,23,80,60,46,51,22,12,37,15,20,18,11,21,41,24,13,3,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 6th to 8th November 2020,"Talking by video via closed messenger groups, such as WhatsApp, Teams, Zoom etc",222,106,115,42,39,62,39,26,17,35,77,64,37,44,22,5,26,14,25,20,13,15,35,26,14,6,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 6th to 8th November 2020,Other,11,6,5,2,2,-,-,1,3,4,3,3,-,4,-,-,1,1,1,1,1,2,2,3,-,-,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 6th to 8th November 2020,I have not shared any information/news about Coronavirus,465,261,204,56,45,81,68,73,73,115,123,114,103,125,35,14,39,26,52,36,28,54,62,61,40,18,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,2085,1032,1053,270,236,346,324,335,323,487,602,583,373,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,2085,1020,1065,284,245,352,321,355,298,474,571,590,418,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 12th to 15th June 2020,"Talked to family, friends and colleagues in person or by phone",1465,683,782,189,164,231,223,251,224,347,405,436,309,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 12th to 15th June 2020,"Writing on closed messenger groups, such as WhatsApp, Teams, Zoom etc",382,174,208,87,81,107,79,47,33,29,120,139,68,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 12th to 15th June 2020,"Talking by video via closed messenger groups, such as WhatsApp, Teams, Zoom etc",308,148,160,63,59,74,44,41,36,49,115,93,51,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
