table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 346,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 22nd to 24th May 2020,2nd most important,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,32,25,24,54,16,13,135,163,142,81,325,88,352,397,407,419,-
Table 346,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 22nd to 24th May 2020,3rd most important,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,29,15,19,47,20,17,134,136,112,84,318,74,358,388,395,407,-
Table 346,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 22nd to 24th May 2020,No answer,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,87,85,73,132,65,58,337,377,349,221,827,263,940,946,968,1010,-
Table 116,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,2126,1014,1112,222,190,341,393,415,314,441,616,610,426,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,2126,1040,1086,293,252,355,329,366,306,477,579,599,432,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 5th to 7th June 2020,NET: Important,1042,516,525,132,107,172,149,182,166,241,305,306,191,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 5th to 7th June 2020,1st most important,246,127,119,44,31,36,46,35,31,54,80,70,37,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 5th to 7th June 2020,2nd most important,403,199,204,46,36,66,49,68,83,91,110,122,73,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 5th to 7th June 2020,3rd most important,392,190,202,42,40,70,53,79,52,96,115,115,81,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 5th to 7th June 2020,No answer,1084,523,561,161,145,183,181,184,141,236,274,293,241,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
