table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 119,Q12. To what extent do you agree or disagree with the following statements? I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,1.08,1.07,1.08,1.06,1.08,1.05,1.06,1.08,1.1,1.12,1.07,1.04,1.11,1.09,1.04,1.06,1.07,1.07,1.14,1.11,1.09,1.1,1,1.1,1.11,1.08,1.08,,,
Table 135,Q12. To what extent do you agree or disagree with the following statements? I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,2121,1075,1046,262,231,362,323,335,342,497,615,578,401,527,184,77,215,161,188,150,131,204,290,276,169,76,1730,,,
Table 135,Q12. To what extent do you agree or disagree with the following statements? I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,2121,1037,1084,293,257,354,329,365,305,475,577,598,431,515,177,84*,235,173,185,152,101,200,280,290,181,64*,1780,,,
Table 135,Q12. To what extent do you agree or disagree with the following statements? I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases,ONLINE Fieldwork: 5th to 11th April 2021,NET: Agree,1387,730,656,178,152,198,215,227,214,355,412,400,261,314,116,53,164,104,115,92,67,141,184,192,118,40,1165,,,
Table 135,Q12. To what extent do you agree or disagree with the following statements? I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases,ONLINE Fieldwork: 5th to 11th April 2021,Strongly agree      (+2),476,252,223,63,53,62,58,80,68,144,148,141,70,116,39,12,53,35,45,33,28,56,53,61,44,16,392,,,
Table 135,Q12. To what extent do you agree or disagree with the following statements? I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases,ONLINE Fieldwork: 5th to 11th April 2021,Slightly agree      (+1),911,478,433,114,99,136,157,147,146,211,264,259,191,197,76,42,111,69,70,60,39,85,131,130,74,24,772,,,
Table 135,Q12. To what extent do you agree or disagree with the following statements? I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases,ONLINE Fieldwork: 5th to 11th April 2021,Neither agree nor    (0) disagree,483,212,271,81,72,106,76,81,58,81,106,130,115,132,33,20,50,45,46,41,20,45,70,60,39,14,416,,,
Table 135,Q12. To what extent do you agree or disagree with the following statements? I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases,ONLINE Fieldwork: 5th to 11th April 2021,Slightly disagree   (-1),188,61,126,24,22,41,29,38,26,29,48,54,41,46,19,9,17,18,17,12,9,11,22,30,16,9,150,,,
Table 135,Q12. To what extent do you agree or disagree with the following statements? I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases,ONLINE Fieldwork: 5th to 11th April 2021,Strongly disagree   (-2),63,34,30,10,10,9,9,18,7,10,11,14,14,24,9,2,4,6,7,7,4,3,3,9,7,1,49,,,
Table 135,Q12. To what extent do you agree or disagree with the following statements? I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases,ONLINE Fieldwork: 5th to 11th April 2021,NET: Disagree,251,95,156,34,32,50,38,56,33,39,59,68,54,70,28,11,20,24,24,18,14,14,26,38,23,10,199,,,
Table 135,Q12. To what extent do you agree or disagree with the following statements? I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases,ONLINE Fieldwork: 5th to 11th April 2021,Mean,0.73,0.82,0.64,0.67,0.63,0.57,0.69,0.64,0.79,0.94,0.85,0.77,0.61,0.65,0.66,0.61,0.82,0.63,0.69,0.66,0.77,0.91,0.74,0.71,0.73,0.7,0.74,,,
Table 135,Q12. To what extent do you agree or disagree with the following statements? I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases,ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,1,0.97,1.02,1.01,1.03,0.99,0.95,1.09,0.96,0.96,0.96,0.99,0.97,1.06,1.1,0.95,0.92,1.03,1.06,1.04,1.1,0.92,0.9,1.01,1.05,1.05,0.98,,,
