table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 352,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 22nd to 24th May 2020,2nd most important,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,6,7,6,8,9,20,35,29,21,50,24,55,61,61,69,-
Table 352,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 22nd to 24th May 2020,3rd most important,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,9,8,7,13,5,4,32,25,31,16,59,27,77,79,77,84,-
Table 352,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 22nd to 24th May 2020,No answer,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,142,119,113,238,101,84,617,703,621,393,1529,415,1700,1793,1839,1888,-
Table 118,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,2126,1014,1112,222,190,341,393,415,314,441,616,610,426,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,2126,1040,1086,293,252,355,329,366,306,477,579,599,432,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 5th to 7th June 2020,NET: Important,292,146,146,69,63,62,49,44,28,39,66,70,61,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 5th to 7th June 2020,1st most important,79,45,35,26,21,18,14,8,5,9,23,21,9,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 5th to 7th June 2020,2nd most important,84,41,43,17,17,22,11,14,10,10,17,18,24,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 5th to 7th June 2020,3rd most important,129,60,69,26,25,22,24,22,13,21,27,31,28,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 5th to 7th June 2020,No answer,1834,894,940,224,189,292,280,321,278,437,512,530,370,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,2115,1047,1068,276,241,347,333,342,330,487,606,589,382,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,2115,1034,1081,292,250,353,328,364,305,474,575,596,429,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 12th to 15th June 2020,NET: Important,365,203,162,70,63,72,47,64,40,71,95,95,77,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 12th to 15th June 2020,1st most important,72,45,27,10,10,16,13,11,6,16,16,17,22,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 12th to 15th June 2020,2nd most important,112,65,47,29,23,20,12,21,14,15,26,39,18,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 12th to 15th June 2020,3rd most important,181,93,88,31,29,36,22,32,20,40,53,39,37,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 12th to 15th June 2020,No answer,1750,831,919,222,188,281,280,300,265,403,480,501,353,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 128,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,2164,1113,1051,292,261,355,355,316,338,508,642,610,367,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 128,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,2164,1058,1106,298,264,361,335,372,312,485,589,610,439,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 128,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 19th to 21st June 2020,NET: Important,397,197,200,77,70,72,68,52,48,79,99,110,84,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 128,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 19th to 21st June 2020,1st most important,83,39,44,18,18,22,13,12,10,7,19,19,17,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 128,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 19th to 21st June 2020,2nd most important,119,63,56,20,19,18,27,12,12,31,30,31,30,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 128,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 19th to 21st June 2020,3rd most important,194,94,100,39,33,32,27,28,26,42,50,60,37,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 128,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 19th to 21st June 2020,No answer,1767,861,906,221,193,289,267,320,264,406,490,501,355,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
