table,question,date,response,I think that untrue stories or items about Coronavirus should not be posted or shared on social media,"I think that people and organisations have a right to say what they want on social media  about Coronavirus, even if it might not be true","I think it's OK for untrue stories about Coronavirus to be posted and shared on social media , as long as they are flagged as potentially untrustworthy/ untrue by the social media platform"
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th December 2020,NET: Agree,1655,432,434
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th December 2020,Strongly agree      (+2),1242,128,107
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th December 2020,Slightly agree      (+1),413,304,327
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th December 2020,Neither agree nor    (0) disagree,286,447,350
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th December 2020,Slightly disagree   (-1),81,515,415
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th December 2020,Strongly disagree   (-2),85,713,907
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th December 2020,NET: Disagree,166,1228,1323
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th December 2020,Mean,1.26,-0.66,-0.8
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th December 2020,Standard deviation Standard error,1.08,1.25,1.28
Table 19,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,2164,2164,2164
Table 19,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,2164,2164,2164
Table 19,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 19th to 21st June 2020,NET: Agree,1815,359,388
Table 19,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 19th to 21st June 2020,Strongly agree      (+2),1445,103,94
Table 19,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 19th to 21st June 2020,Slightly agree      (+1),370,257,294
Table 19,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 19th to 21st June 2020,Neither agree nor    (0) disagree,209,405,288
Table 19,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 19th to 21st June 2020,Slightly disagree   (-1),56,570,453
Table 19,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 19th to 21st June 2020,Strongly disagree   (-2),84,829,1036
Table 19,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 19th to 21st June 2020,NET: Disagree,139,1400,1488
Table 19,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 19th to 21st June 2020,Mean,1.4,-0.82,-0.94
Table 19,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 19th to 21st June 2020,Standard deviation Standard error,1.03,1.2,1.24
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,2115,2115,2115
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,2115,2115,2115
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 15th to 17th January 2021,NET: Agree,1667,419,421
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 15th to 17th January 2021,Strongly agree      (+2),1266,126,108
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 15th to 17th January 2021,Slightly agree      (+1),401,292,313
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 15th to 17th January 2021,Neither agree nor    (0) disagree,291,424,374
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 15th to 17th January 2021,Slightly disagree   (-1),81,472,397
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 15th to 17th January 2021,Strongly disagree   (-2),76,800,923
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 15th to 17th January 2021,NET: Disagree,157,1272,1320
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 15th to 17th January 2021,Mean,1.28,-0.72,-0.81
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 15th to 17th January 2021,Standard deviation Standard error,1.07,1.26,1.28
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th February 2021,Unweighted base,2100,2100,2100
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th February 2021,Weighted base,2100,2100,2100
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th February 2021,NET: Agree,1726,401,385
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th February 2021,Strongly agree      (+2),1352,121,95
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th February 2021,Slightly agree      (+1),374,280,290
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th February 2021,Neither agree nor    (0) disagree,210,380,339
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th February 2021,Slightly disagree   (-1),77,501,398
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th February 2021,Strongly disagree   (-2),87,818,977
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th February 2021,NET: Disagree,164,1320,1376
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th February 2021,Mean,1.35,-0.77,-0.89
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th February 2021,Standard deviation Standard error,1.07,1.25,1.26
Table 20,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,2120,2120,2120
Table 20,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,2120,2120,2120
Table 20,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 7th to 9th August 2020,NET: Agree,1729,404,369
Table 20,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 7th to 9th August 2020,Strongly agree      (+2),1362,119,95
Table 20,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 7th to 9th August 2020,Slightly agree      (+1),366,285,275
Table 20,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 7th to 9th August 2020,Neither agree nor    (0) disagree,245,433,323
Table 20,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 7th to 9th August 2020,Slightly disagree   (-1),63,453,396
Table 20,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 7th to 9th August 2020,Strongly disagree   (-2),83,830,1032
Table 20,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 7th to 9th August 2020,NET: Disagree,146,1283,1428
Table 20,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 7th to 9th August 2020,Mean,1.35,-0.75,-0.94
Table 20,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 7th to 9th August 2020,Standard deviation Standard error,1.05,1.26,1.25
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,2189,2189,2189
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,2189,2189,2189
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 9th to 11th October 2020,NET: Agree,1771,436,389
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 9th to 11th October 2020,Strongly agree      (+2),1389,136,92
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 9th to 11th October 2020,Slightly agree      (+1),382,300,297
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 9th to 11th October 2020,Neither agree nor    (0) disagree,269,448,345
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 9th to 11th October 2020,Slightly disagree   (-1),74,492,398
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 9th to 11th October 2020,Strongly disagree   (-2),75,813,1057
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 9th to 11th October 2020,NET: Disagree,149,1305,1455
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 9th to 11th October 2020,Mean,1.34,-0.71,-0.93
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 9th to 11th October 2020,Standard deviation Standard error,1.04,1.26,1.25
