table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Eastern (v),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 62,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Don't use            (0),5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,3,2,2,-,4,2,5,5,5,5,-,,,,,,
Table 62,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,1.41,1.73,3,1.96,1.57,1.96,1.27,1.54,1.44,1.7,1.47,1.41,1.43,1.4,1.41,1.42,-,,,,,,
Table 62,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.59,0.81,-,0.97,0.66,0.92,0.73,0.85,0.82,0.7,0.78,0.93,0.79,0.76,0.79,0.78,-,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,64,27,37,2,2,5,8,16,20,13,17,17,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,63*,26**,37*,3**,3**,4**,11**,14**,20**,11**,19**,17**,11**,16**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,NET: More,39,12,27,2,2,3,10,10,10,4,11,9,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,A lot more          (+3),21,5,16,2,2,1,4,6,6,2,4,5,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,A little more       (+2),17,7,11,-,-,2,6,3,4,2,6,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,About the same      (+1),25,14,10,2,2,1,1,4,10,7,8,9,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Don't use            (0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Mean,1.95,1.65,2.15,2.02,2.02,2.02,2.3,2.13,1.79,1.59,1.8,1.81,2.04,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,0.86,0.8,0.84,1.22,1.22,0.79,0.64,0.89,0.89,0.84,0.81,0.91,0.84,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,70,26,44,2,1,10,15,15,17,11,19,25,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,63*,22**,40*,1**,1**,8**,16**,14**,14**,9**,14**,23**,8**,18**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,NET: More,21,7,14,1,-,3,4,4,4,5,7,7,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,A lot more          (+3),5,1,4,-,-,1,-,3,1,-,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,A little more       (+2),16,6,10,1,-,2,4,1,2,5,6,6,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,About the same      (+1),39,14,25,1,1,5,11,9,9,4,6,16,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Don't use            (0),3,2,1,-,-,-,1,1,1,-,2,1,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Mean,1.36,1.24,1.43,1.55,1,1.42,1.21,1.45,1.27,1.57,1.42,1.29,1.25,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Standard deviation Standard error,0.7,0.68,0.7,-,-,0.69,0.54,0.9,0.8,0.52,0.8,0.61,0.64,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Unweighted base,65,29,36,,,7,14,16,20,8,16,19,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Weighted base,61*,29**,33*,,,7**,12**,17**,18**,7**,16**,16**,16**,13**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,NET: More,33,17,16,,,3,7,12,10,2,8,8,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,A lot more          (+3),14,5,9,,,1,2,8,3,-,2,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,A little more       (+2),19,12,7,,,2,4,4,7,2,6,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,About the same      (+1),25,11,14,,,2,5,6,8,5,7,7,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Don't use            (0),3,-,3,,,3,*,-,-,-,1,2,-,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Mean,1.72,1.79,1.65,,,1.07,1.71,2.13,1.74,1.25,1.54,1.66,2.08,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Standard deviation Standard error,0.88,0.74,0.99,,,1.06,0.85,0.9,0.76,0.47,0.78,1.02,0.88,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,78,35,43,7,6,12,6,15,23,15,31,18,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,63*,29*,34*,8**,7**,8**,4**,10**,20**,13**,23**,13**,7**,20**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,NET: More,31,14,17,7,7,3,1,5,9,7,12,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,A lot more          (+3),9,2,6,-,-,1,-,3,1,4,5,*,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,A little more       (+2),22,11,11,7,7,2,1,2,8,2,6,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,About the same      (+1),29,14,14,1,-,5,1,5,11,6,11,5,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Don't use            (0),4,1,2,-,-,1,1,-,1,1,-,1,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Mean,1.57,1.5,1.63,1.88,2,1.34,0.88,1.8,1.46,1.76,1.74,1.51,2.05,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Standard deviation Standard error,0.8,0.73,0.87,0.35,0,0.8,0.9,0.89,0.68,0.99,0.83,0.67,0.72,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,Unweighted base,61,29,32,1,1,9,11,17,12,11,18,16,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,Weighted base,61*,29**,32**,1**,1**,12**,12**,14**,12**,11**,16**,16**,16**,14**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,NET: More,25,12,13,-,-,5,5,5,6,4,9,7,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,A lot more          (+3),11,2,8,-,-,3,2,1,2,3,5,5,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
