table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n)
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Community radio,2,-,2,2,2,-,-,-,-,-,-,2,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Magazines,2,2,-,-,-,-,2,-,-,-,-,2,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Facebook messenger,2,2,-,-,-,-,2,-,-,-,-,2,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Email,2,2,-,-,-,-,2,-,-,-,-,2,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Podcasts,2,2,-,-,-,-,2,-,-,-,-,2,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Channel 5,2,1,1,-,-,1,-,1,-,-,1,-,-,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,88*,44*,44*,10**,7**,10**,17**,12**,11**,28**,24**,21**,17**,25**
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",2,1,1,1,1,1,-,-,-,-,-,-,1,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,People in your local area/neighbourhood,1,1,-,-,-,-,-,-,1,1,1,-,-,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,WhatsApp,1,1,-,-,-,*,1,-,-,-,1,-,-,*
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,“Red-top tabloids” such as The Sun or Daily Mirror ( printed ),1,1,1,-,-,-,-,-,1,1,1,1,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Advertising,1,1,1,1,1,-,-,-,-,1,-,-,1,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,BBC Alba,1,-,1,-,-,-,1,-,-,-,-,-,-,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,UTV,1,-,1,-,-,-,-,-,-,1,-,-,-,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",1,1,-,-,-,1,-,-,-,-,-,-,1,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,STV,1,1,-,-,-,-,-,-,-,1,1,-,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Celebrity and/or social media influencer,1,-,1,1,1,-,-,-,-,-,-,-,-,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Apple iMessage,1,1,-,-,-,1,-,-,-,-,1,-,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Other,17,7,10,2,-,-,5,4,1,5,5,3,1,8
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,88*,44*,44*,10**,7**,10**,17**,12**,11**,28**,24**,21**,17**,25**
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,NET: Broadcasters,31,15,16,3,3,2,6,5,7,8,6,8,8,10
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,NET: Non-BBC broadcasters,16,5,11,1,1,2,1,4,3,6,3,4,4,4
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,NET: BBC services,28,15,13,2,2,2,5,5,6,7,6,7,7,8
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,NET: Newspapers (printed and online),15,6,9,-,-,1,3,4,4,3,4,8,2,2
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,NET: Social Media,31,17,14,5,3,9,5,3,2,7,7,8,9,7
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,NET: Facebook (Facebook and Facebook Messenger),21,13,8,2,1,8,3,3,2,5,5,4,6,6
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,NET: WhatsApp (WhatsApp and WhatsApp groups),4,3,1,-,-,*,3,1,-,-,1,2,1,*
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,NET: Closed groups,3,2,1,-,-,*,2,1,-,-,-,2,1,*
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,NET: Other online news sources,9,7,2,1,1,1,1,-,5,2,2,2,4,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,NET: Family/friends/ local ppl,3,2,1,1,-,-,1,-,1,1,2,-,-,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,NET: Traditional media,39,18,21,5,5,3,7,6,9,10,9,12,8,10
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Can't remember,2,-,2,-,-,-,-,-,-,2,2,-,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,I don't know where the source is from,1,1,*,*,*,-,-,-,-,1,-,1,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,60,28,32,3,3,6,15,11,9,16,20,16,13,11
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,59*,30**,29**,5**,5**,4**,12**,10**,9**,18**,18**,18**,11**,12**
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,Facebook,15,11,5,4,4,2,6,2,1,1,2,6,5,3
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,BBC - TV,14,7,6,-,-,-,-,2,3,8,1,4,1,7
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,Websites or apps that bring together news from different news providers,8,5,2,-,-,-,3,3,1,1,2,2,3,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,BBC - Online/ app,7,4,4,1,1,-,1,2,3,-,3,1,3,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,Twitter,6,4,2,-,-,1,1,2,1,1,3,1,-,2
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,ITV,5,3,2,-,-,-,-,3,-,3,2,-,1,2
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,Search engine (e.g. Google),5,3,1,1,1,-,1,2,2,-,2,2,-,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",4,3,1,-,-,-,1,1,-,3,1,2,-,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,Sky,3,3,1,-,-,-,-,1,1,2,2,1,1,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,Instagram,2,2,1,-,-,1,1,-,-,1,2,-,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,Family and friends directly,2,1,1,-,-,-,-,-,-,2,2,-,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,59*,30**,29**,5**,5**,4**,12**,10**,9**,18**,18**,18**,11**,12**
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,“Red-top tabloids” such as The Sun or Daily Mirror ( printed ),2,2,-,-,-,-,-,2,-,-,-,-,1,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,Direct from NHS website/ email/ text/ post,2,2,-,-,-,-,-,-,2,-,-,2,-,-
