table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 333,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,Wearing a face mask/ covering,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,25,28,10,20,20,5,16,4,3,17,11,42,1,11,5,4,18,14,,,,,,,,,,,,,,,,,,
Table 333,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,Staying at home as much as possible,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,476,714,249,336,365,62,277,66,70,252,294,824,7,311,107,37,355,301,,,,,,,,,,,,,,,,,,
Table 333,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,Work from home (if possible),131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,53,92,46,37,45,20,40,11,15,41,28,116,4,40,14,6,59,42,,,,,,,,,,,,,,,,,,
Table 333,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,Not touching your face when outside,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,14,26,5,12,12,9,9,2,3,11,10,30,1,9,7,3,17,13,,,,,,,,,,,,,,,,,,
Table 333,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,None of these,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,-,*,*,1,*,-,*,*,-,*,*,*,-,*,-,-,1,-,,,,,,,,,,,,,,,,,,
Table 334,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,168,145,133,273,124,105,691,785,691,450,1682,479,1876,1969,2019,2092,-
Table 334,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,164,140,129,267,117,101*,686,780,697,443,1670,478,1876,1974,2021,2092,-**
Table 334,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,Washing hands regularly and thoroughly,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,29,22,25,43,26,26,126,158,137,97,290,99,371,360,373,393,-
Table 334,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,Limiting your contact with other people (including family and friends),256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,17,15,13,33,16,14,81,103,94,58,199,53,227,243,251,256,-
Table 334,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,23,19,14,39,15,13,101,102,95,74,267,62,278,288,303,310,-
Table 334,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,Wearing a face mask/ covering,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,7,2,9,3,4,17,16,16,14,32,12,44,41,44,51,-
Table 334,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,Staying at home as much as possible,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,68,60,55,120,40,31,306,320,291,145,761,203,808,880,891,906,-
Table 334,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,Work from home (if possible),131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,8,14,15,10,11,41,56,46,36,91,34,109,122,120,131,-
Table 334,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,Not touching your face when outside,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,8,6,6,6,3,13,24,18,20,29,14,38,38,38,44,-
Table 334,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,None of these,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,*,*,*,-,1,*,*,*,1,*,1,1,1,1,-
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,2126,1014,1112,222,190,341,393,415,314,441,616,610,426,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,2126,1040,1086,293,252,355,329,366,306,477,579,599,432,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 5th to 7th June 2020,Washing hands regularly and thoroughly,437,201,236,42,39,74,64,85,70,102,114,116,93,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 5th to 7th June 2020,Limiting your contact with other people (including family and friends),246,127,119,44,31,36,46,35,31,54,80,70,37,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 5th to 7th June 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,358,168,190,47,45,57,49,59,62,84,104,96,80,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 5th to 7th June 2020,Wearing a face mask/ covering,79,45,35,26,21,18,14,8,5,9,23,21,9,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 5th to 7th June 2020,Staying at home as much as possible,820,390,430,106,90,121,122,147,119,204,210,231,177,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 5th to 7th June 2020,Work from home (if possible),136,77,59,21,21,38,24,23,16,15,42,50,27,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 5th to 7th June 2020,Not touching your face when outside,51,32,19,7,5,13,10,8,3,10,5,16,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,2115,1047,1068,276,241,347,333,342,330,487,606,589,382,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,2115,1034,1081,292,250,353,328,364,305,474,575,596,429,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 12th to 15th June 2020,Washing hands regularly and thoroughly,516,247,270,52,45,85,83,94,91,110,129,151,104,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 12th to 15th June 2020,Limiting your contact with other people (including family and friends),250,123,128,51,41,35,38,42,30,54,79,68,56,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 12th to 15th June 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,327,174,153,52,44,55,44,59,40,77,88,87,71,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 12th to 15th June 2020,Wearing a face mask/ covering,72,45,27,10,10,16,13,11,6,16,16,17,22,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 12th to 15th June 2020,Staying at home as much as possible,781,362,419,101,88,118,116,127,117,202,223,213,141,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 12th to 15th June 2020,Work from home (if possible),112,49,63,15,13,30,22,24,14,7,31,43,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 12th to 15th June 2020,Not touching your face when outside,55,33,22,10,9,13,13,6,7,6,11,17,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 12th to 15th June 2020,None of these,1,1,-,-,-,-,*,-,-,1,-,-,*,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 122,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,2164,1113,1051,292,261,355,355,316,338,508,642,610,367,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 122,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,2164,1058,1106,298,264,361,335,372,312,485,589,610,439,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 122,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 19th to 21st June 2020,Washing hands regularly and thoroughly,567,249,318,56,49,81,81,126,95,128,157,149,110,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 122,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 19th to 21st June 2020,Limiting your contact with other people (including family and friends),231,127,103,33,30,46,33,39,27,53,73,62,48,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 122,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 19th to 21st June 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,336,158,178,45,41,60,50,50,49,82,94,88,70,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 122,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 19th to 21st June 2020,Wearing a face mask/ covering,83,39,44,18,18,22,13,12,10,7,19,19,17,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 122,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 19th to 21st June 2020,Staying at home as much as possible,726,352,374,106,90,100,119,105,114,183,188,221,141,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 122,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 19th to 21st June 2020,Work from home (if possible),151,92,59,28,24,37,26,31,10,20,42,47,36,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 122,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 19th to 21st June 2020,Not touching your face when outside,68,39,29,11,10,16,14,9,6,12,15,23,17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 122,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 19th to 21st June 2020,None of these,2,1,1,-,-,-,-,1,-,1,-,2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
