date,area_type,area_code,area_name,metric,metric_name,value
2021-01-09,region,E12000007,London,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,16061.0
2021-01-09,region,E12000009,South West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,18454.0
2021-01-10,region,E12000006,East of England,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,7729.0
2021-01-10,region,E12000007,London,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,10530.0
2021-01-10,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,8966.0
2021-01-10,region,E12000002,North West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,12816.0
2021-01-10,region,E12000005,West Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,17601.0
2021-01-10,region,E12000001,North East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,4483.0
2021-01-10,region,E12000004,East Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,10058.0
2021-01-10,region,E12000009,South West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,9355.0
2021-01-10,region,E12000008,South East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,18098.0
2021-01-11,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,8953.0
2021-01-11,region,E12000007,London,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,12571.0
2021-01-11,region,E12000002,North West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,16019.0
2021-01-11,region,E12000008,South East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,15515.0
2021-01-11,region,E12000005,West Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,13989.0
2021-01-11,region,E12000006,East of England,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,9342.0
2021-01-11,region,E12000004,East Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,9733.0
2021-01-11,region,E12000009,South West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,10950.0
2021-01-11,region,E12000001,North East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,6258.0
2021-01-12,region,E12000004,East Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,13762.0
2021-01-12,region,E12000005,West Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,17069.0
2021-01-12,region,E12000006,East of England,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,14118.0
2021-01-12,region,E12000009,South West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,17984.0
2021-01-12,region,E12000001,North East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,9280.0
2021-01-12,region,E12000008,South East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,24539.0
2021-01-12,region,E12000007,London,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,16810.0
2021-01-12,region,E12000002,North West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,25125.0
2021-01-12,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,19812.0
2021-01-13,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,28709.0
2021-01-13,region,E12000005,West Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,26259.0
2021-01-13,region,E12000002,North West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,34270.0
2021-01-13,region,E12000009,South West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,25090.0
2021-01-13,region,E12000008,South East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,35879.0
2021-01-13,region,E12000007,London,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,28423.0
2021-01-13,region,E12000006,East of England,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,19001.0
2021-01-13,region,E12000001,North East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,11820.0
2021-01-13,region,E12000004,East Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,18512.0
2021-01-14,region,E12000004,East Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,19263.0
2021-01-14,region,E12000008,South East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,39677.0
2021-01-14,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,20548.0
2021-01-14,region,E12000007,London,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,35947.0
2021-01-14,region,E12000009,South West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,26868.0
2021-01-14,region,E12000005,West Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,33045.0
2021-01-14,region,E12000002,North West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,44697.0
2021-01-14,region,E12000001,North East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,12750.0
2021-01-14,region,E12000006,East of England,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,25439.0
2021-01-15,region,E12000009,South West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,33738.0
2021-01-15,region,E12000004,East Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,23402.0
2021-01-15,region,E12000002,North West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,46947.0
2021-01-15,region,E12000006,East of England,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,34393.0
2021-01-15,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,25491.0
2021-01-15,region,E12000001,North East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,13930.0
2021-01-15,region,E12000005,West Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,34271.0
2021-01-15,region,E12000007,London,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,37005.0
2021-01-15,region,E12000008,South East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,48775.0
2021-01-16,region,E12000008,South East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,39523.0
2021-01-16,region,E12000004,East Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,19168.0
2021-01-16,region,E12000001,North East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,14302.0
2021-01-16,region,E12000006,East of England,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,41779.0
2021-01-16,region,E12000009,South West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,30409.0
2021-01-16,region,E12000007,London,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,27396.0
2021-01-16,region,E12000002,North West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,32503.0
2021-01-16,region,E12000005,West Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,25661.0
2021-01-16,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,27731.0
2021-01-17,region,E12000001,North East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,5287.0
2021-01-17,region,E12000004,East Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,15786.0
2021-01-17,region,E12000009,South West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,15156.0
2021-01-17,region,E12000006,East of England,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,23307.0
2021-01-17,region,E12000002,North West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,16695.0
2021-01-17,region,E12000008,South East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,19594.0
2021-01-17,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,10153.0
2021-01-17,region,E12000007,London,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,15463.0
2021-01-17,region,E12000005,West Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,14619.0
2021-01-18,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,12696.0
2021-01-18,region,E12000002,North West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,23012.0
2021-01-18,region,E12000005,West Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,14223.0
2021-01-18,region,E12000009,South West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,13173.0
2021-01-18,region,E12000007,London,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,15037.0
2021-01-18,region,E12000004,East Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,13574.0
2021-01-18,region,E12000001,North East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,6361.0
2021-01-18,region,E12000008,South East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,21623.0
2021-01-18,region,E12000006,East of England,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,18235.0
2021-01-19,region,E12000004,East Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,21452.0
2021-01-19,region,E12000008,South East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,41109.0
2021-01-19,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,22973.0
2021-01-19,region,E12000005,West Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,24333.0
2021-01-19,region,E12000001,North East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,9838.0
2021-01-19,region,E12000007,London,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,32195.0
2021-01-19,region,E12000009,South West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,28237.0
2021-01-19,region,E12000002,North West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,45996.0
2021-01-19,region,E12000006,East of England,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,43426.0
2021-01-20,region,E12000002,North West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,39731.0
2021-01-20,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,27696.0
2021-01-20,region,E12000009,South West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,31997.0
2021-01-20,region,E12000001,North East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,12918.0
2021-01-20,region,E12000005,West Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,27576.0
2021-01-20,region,E12000006,East of England,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,46515.0
2021-01-20,region,E12000004,East Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,24566.0
2021-01-20,region,E12000008,South East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,43401.0
2021-01-20,region,E12000007,London,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,37005.0
2021-01-21,region,E12000002,North West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,55315.0
2021-01-21,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,31344.0
2021-01-21,region,E12000008,South East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,55146.0
2021-01-21,region,E12000009,South West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,28295.0
2021-01-21,region,E12000004,East Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,25339.0
2021-01-21,region,E12000006,East of England,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,47058.0
2021-01-21,region,E12000005,West Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,33917.0
2021-01-21,region,E12000007,London,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,35649.0
2021-01-21,region,E12000001,North East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,16287.0
2021-01-22,region,E12000005,West Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,45906.0
2021-01-22,region,E12000008,South East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,69608.0
2021-01-22,region,E12000002,North West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,62738.0
2021-01-22,region,E12000003,Yorkshire and The Humber,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,41627.0
2021-01-22,region,E12000007,London,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,43997.0
2021-01-22,region,E12000006,East of England,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,58463.0
2021-01-22,region,E12000001,North East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,18672.0
2021-01-22,region,E12000009,South West,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,49747.0
2021-01-22,region,E12000004,East Midlands,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,38386.0
2021-01-23,region,E12000001,North East,newPeopleVaccinatedFirstDoseByVaccinationDate,New people vaccinated with a first dose by vaccination date,19604.0
