start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2021-01-15,2021-01-17,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,“Broadsheets” such as The Times or Guardian ( online ),,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
2021-01-15,2021-01-17,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Other,17,4,12,5,4,1,1,2,1,6,4,4,4,4,1,0,0,1,4,1,0,1,3,3,3,0,15
2021-01-15,2021-01-17,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,“Red-top tabloids” such as The Sun or Mirror ( online ),1,,,0,0,0,1,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,,0,0,1
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Apple iMessage,2,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Podcasts,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Community radio,2,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Magazines,2,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Direct from UK Government website/ email/ text/ post,2,0,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,“Broadsheets” such as The Times or Guardian ( online ),2,0,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Weighted base,177,83,94,29,27,29,35,24,26,34,45,35,51,45,18,7,22,22,11,11,6,16,22,18,12,10,143
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Direct from Scotland Government website/ email/ text/ post,2,0,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",1,1,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,0,0,0,0,1
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Direct from NHS website/ email/ text/ post,2,0,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Direct from World Health Organisation (WHO) website/ email/ text/ post,2,0,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,“Red-top tabloids” such as The Sun or Mirror ( online ),1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,NET: BBC services,23,17,6,3,2,4,6,4,1,5,8,4,9,2,1,1,1,1,2,1,1,2,5,4,4,0,21
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Other,22,5,16,0,0,8,0,1,6,6,5,6,6,4,4,0,6,0,4,0,0,1,2,3,1,1,16
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Weighted base,177,83,94,29,27,29,35,24,26,34,45,35,51,45,18,7,22,22,11,11,6,16,22,18,12,10,143
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,NET: Broadcasters,33,21,12,5,4,6,11,5,3,5,11,6,10,5,1,1,2,5,2,1,1,3,6,6,4,2,29
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,NET: Non-BBC broadcasters,18,11,7,4,4,6,5,2,2,0,8,5,2,3,1,0,1,5,1,1,0,1,4,3,0,2,15
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Channel 5,2,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,NET: Newspapers (printed and online),9,1,8,0,0,2,3,0,0,4,2,0,3,4,2,1,0,2,0,0,0,1,1,0,2,0,7
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,NET: Officials,4,,4,2,2,2,0,,0,0,2,,2,0,2,0,2,0,0,,0,0,0,0,0,0,2
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,NET: Social Media,93,42,51,18,17,12,13,17,17,17,19,18,26,29,9,4,9,13,5,10,5,10,12,7,4,5,74
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,NET: Facebook (Facebook and Facebook Messenger),61,23,39,7,6,5,9,12,13,15,12,9,17,24,9,4,6,9,3,8,1,8,2,5,3,3,48
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,NET: WhatsApp (WhatsApp and WhatsApp groups),8,4,3,3,2,0,2,2,0,0,4,2,1,0,0,0,4,1,0,0,0,0,2,1,0,0,8
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,NET: Closed groups,10,3,7,3,2,2,4,2,0,0,3,2,0,4,0,0,3,4,0,0,0,0,2,1,1,0,10
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,NET: Other online news sources,17,12,5,3,3,1,6,3,,4,7,4,5,2,2,0,0,5,0,1,2,3,0,1,1,1,11
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,NET: Family/friends/ local ppl,28,11,17,7,6,4,5,7,3,3,8,8,4,7,2,1,2,4,1,1,0,2,6,6,2,0,26
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,NET: Traditional media,40,21,19,5,4,8,12,5,3,8,15,6,12,8,3,2,2,6,2,1,1,3,7,6,6,2,35
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Official scientists,,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Direct from Local council website/ email/ text/ post,2,0,2,2,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Commercial Radio,3,2,2,0,0,1,2,0,0,1,0,2,0,2,0,1,0,2,0,0,0,1,0,0,0,0,3
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,“Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),3,1,2,0,0,1,0,0,0,3,1,0,1,2,0,1,0,1,0,0,0,1,0,0,1,0,3
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Unweighted base,160,72,88,21,19,25,29,28,22,35,46,43,34,37,14,9,18,16,11,11,8,14,23,18,9,9,129
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Weighted base,177,83,94,29,27,29,35,24,26,34,45,35,51,45,18,7,22,22,11,11,6,16,22,18,12,10,143
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Facebook,59,23,36,7,6,5,6,12,13,15,12,9,17,22,9,4,6,8,3,8,1,8,2,5,2,3,46
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Family and friends directly,23,9,14,7,6,1,5,6,1,3,8,7,4,4,1,1,2,2,1,1,0,1,6,6,2,0,22
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Twitter,22,15,6,8,8,3,2,6,3,0,8,5,3,5,1,1,0,3,1,3,1,0,8,1,2,0,19
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,YouTube,12,6,6,1,1,3,4,4,0,0,6,2,0,5,0,0,3,4,0,2,0,0,3,0,1,0,12
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,BBC - TV,12,9,3,0,0,4,2,2,0,4,4,2,5,1,1,1,1,1,2,0,0,1,3,2,0,0,11
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,ITV,12,5,6,4,4,1,3,1,2,0,4,2,2,3,1,0,0,5,0,1,0,0,0,3,0,2,9
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Unspecified social media,11,3,8,2,2,4,2,2,1,1,0,4,3,4,0,0,0,0,1,1,2,2,1,1,1,2,7
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Search engine (e.g. Google),11,4,7,2,2,1,3,1,0,3,6,4,0,2,1,0,0,3,0,1,1,3,1,2,0,,9
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Websites or apps that bring together news from different news providers,10,9,1,1,1,1,4,3,,2,4,1,5,,0,0,0,4,0,1,1,2,0,1,1,0,9
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,BBC - Online/ app,9,6,3,3,2,0,4,2,1,0,5,1,4,0,0,0,0,0,0,1,0,1,2,2,4,0,9
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Channel 4,9,6,3,2,2,6,2,0,0,0,5,1,1,2,0,0,0,3,0,0,0,1,3,2,0,0,9
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Weighted base,177,83,94,29,27,29,35,24,26,34,45,35,51,45,18,7,22,22,11,11,6,16,22,18,12,10,143
2021-02-12,2021-02-14,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,People in your local area/neighbourhood,8,3,4,0,0,3,3,1,1,0,0,2,1,5,1,1,0,3,0,0,0,1,0,1,0,0,6
