start_date,end_date,question,response,i_think_that_untrue_stories_or_items_about_coronavirus_should_not_be_posted_or_shared_on_social_media,"i_think_that_people_and_organisations_have_a_right_to_say_what_they_want_on_social_media__about_coronavirus,_even_if_it_might_not_be_true","i_think_it's_ok_for_untrue_stories_about_coronavirus_to_be_posted_and_shared_on_social_media_,_as_long_as_they_are_flagged_as_potentially_untrustworthy/_untrue_by_the_social_media_platform"
2020-11-06,2020-11-08,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Neither agree nor    (0) disagree,250.0,401.0,335.0
2020-12-04,2020-12-06,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Standard deviation Standard error,1.08,1.25,1.28
2020-12-04,2020-12-06,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Mean,1.26,-0.66,-0.8
2020-12-04,2020-12-06,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,NET: Disagree,166.0,1228.0,1323.0
2020-12-04,2020-12-06,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Strongly disagree   (-2),85.0,713.0,907.0
2020-12-04,2020-12-06,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Slightly disagree   (-1),81.0,515.0,415.0
2020-12-04,2020-12-06,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Neither agree nor    (0) disagree,286.0,447.0,350.0
2020-12-04,2020-12-06,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Slightly agree      (+1),413.0,304.0,327.0
2020-12-04,2020-12-06,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,NET: Agree,1655.0,432.0,434.0
2020-12-04,2020-12-06,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Weighted base,2107.0,2107.0,2107.0
2020-12-04,2020-12-06,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Unweighted base,2107.0,2107.0,2107.0
2020-12-04,2020-12-06,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Strongly agree      (+2),1242.0,128.0,107.0
2021-01-15,2021-01-17,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Weighted base,2115.0,2115.0,2115.0
2021-01-15,2021-01-17,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,NET: Agree,1667.0,419.0,421.0
2021-01-15,2021-01-17,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Strongly agree      (+2),1266.0,126.0,108.0
2021-01-15,2021-01-17,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Slightly agree      (+1),401.0,292.0,313.0
2021-01-15,2021-01-17,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Slightly disagree   (-1),81.0,472.0,397.0
2021-01-15,2021-01-17,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Strongly disagree   (-2),76.0,800.0,923.0
2021-01-15,2021-01-17,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,NET: Disagree,157.0,1272.0,1320.0
2021-01-15,2021-01-17,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Mean,1.28,-0.72,-0.81
2021-01-15,2021-01-17,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Standard deviation Standard error,1.07,1.26,1.28
2021-01-15,2021-01-17,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Unweighted base,2115.0,2115.0,2115.0
