table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 82,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 17th to 19th April 2020,Not very closely    (-1),45,30,15,9,9,11,9,9,2,5,12,9,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 17th to 19th April 2020,Not at all closely  (-2),29,23,6,3,3,5,6,8,6,1,6,5,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 17th to 19th April 2020,NET: Not closely,74,53,21,12,12,16,15,16,8,7,18,14,26,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 17th to 19th April 2020,Mean,1.72,1.63,1.8,1.65,1.62,1.65,1.64,1.69,1.76,1.87,1.73,1.75,1.6,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,0.7,0.82,0.55,0.73,0.76,0.77,0.78,0.78,0.67,0.47,0.67,0.61,0.86,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,2105,1038,1067,258,227,355,349,371,307,465,608,570,407,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,2105,1029,1076,290,248,351,326,362,303,472,573,594,427,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 15th to 17th May 2020,NET: Closely,1994,963,1032,275,232,326,311,337,291,455,548,568,395,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 15th to 17th May 2020,Very closely        (+2),1516,695,821,207,170,228,229,243,229,379,414,454,284,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 15th to 17th May 2020,Fairly closely      (+1),478,268,210,68,63,98,82,93,62,75,134,114,111,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 15th to 17th May 2020,Not very closely    (-1),65,42,23,11,11,18,11,11,5,8,12,15,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
