table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 58,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,5 - Trust completely,13,9,5,6,4,*,1,3,2,1,1,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 58,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,4,5,2,3,-,-,-,-,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 58,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,3,1,1,-,-,-,1,-,-,-,-,1,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 58,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,2,1,-,1,-,-,-,-,-,1,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 58,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 58,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,NET: Do not trust,1,-,1,-,-,-,-,-,1,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 58,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,Mean,4.55,4.62,4.46,5,5,3.53,5,4.55,4.32,4.33,4.22,4.54,4.49,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 58,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,Standard deviation Standard error,0.74,0.7,0.84,0,0,-,-,0.55,1.12,0.64,0.9,0.75,0.98,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,Unweighted base,25,10,15,2,,1,3,4,5,10,9,8,5,3,-,-,-,-,-,-,25,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,26**,10**,16**,3**,,1**,2**,5**,4**,11**,8**,9**,5**,3**,-**,-**,-**,-**,-**,-**,26**,-**,-**,-**,-**,-**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,NET: Trust,22,9,13,2,,1,2,4,4,10,7,7,5,3,-,-,-,-,-,-,22,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,5 - Trust completely,11,3,8,2,,1,1,1,3,3,3,2,3,3,-,-,-,-,-,-,11,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,4,11,6,5,-,,-,1,3,1,6,4,4,2,*,-,-,-,-,-,-,11,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,3,4,1,3,2,,-,-,1,-,1,1,3,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,2,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,1 - Do not trust at all,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,NET: Do not trust,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,Mean,4.29,4.23,4.32,4.02,,5,4.5,4.09,4.75,4.19,4.2,3.95,4.65,4.9,-,-,-,-,-,-,4.29,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,Standard deviation Standard error,0.72,0.64,0.78,1.18,,-,-,0.74,0.49,0.65,0.72,0.76,0.53,0.37,-,-,-,-,-,-,0.72,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,24,12,12,3,3,5,3,1,4,8,12,10,-,2,-,-,-,-,-,-,24,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
