table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 17th to 19th April 2020,5 - Trust completely,19,11,9,3,3,6,5,1,-,5,4,6,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 17th to 19th April 2020,4,79,41,38,9,9,9,11,16,11,25,25,20,13,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 17th to 19th April 2020,3,127,62,65,17,15,12,15,26,16,40,42,34,19,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 17th to 19th April 2020,2,24,20,5,1,1,3,6,2,4,8,12,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 17th to 19th April 2020,1 - Do not trust at all,7,6,1,-,-,-,-,2,2,3,1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 17th to 19th April 2020,NET: Do not trust,31,26,6,1,1,3,6,4,6,10,14,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 17th to 19th April 2020,Mean,3.31,3.22,3.41,3.43,3.47,3.57,3.39,3.24,3.09,3.26,3.2,3.37,3.47,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,0.85,0.93,0.73,0.74,0.76,0.95,0.91,0.77,0.84,0.85,0.8,0.82,0.98,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,250,119,131,29,25,40,34,48,38,61,90,63,41,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,244,107,137,32**,28**,41*,33**,45*,36*,58*,88*,65*,40*,51*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 15th to 17th May 2020,NET: Trust,89,45,44,9,8,15,13,14,14,24,28,23,16,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 15th to 17th May 2020,5 - Trust completely,20,10,10,1,1,5,7,1,2,4,5,6,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 15th to 17th May 2020,4,69,35,35,8,6,11,6,12,12,20,22,17,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 15th to 17th May 2020,3,102,41,62,13,11,16,17,26,11,20,33,31,17,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 15th to 17th May 2020,2,46,17,29,9,9,8,3,5,9,12,23,9,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 15th to 17th May 2020,1 - Do not trust at all,7,5,2,1,-,2,-,*,2,1,5,1,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 15th to 17th May 2020,NET: Do not trust,53,22,31,10,9,9,3,5,11,13,28,10,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 15th to 17th May 2020,Mean,3.2,3.26,3.16,2.97,3.01,3.22,3.52,3.2,3.07,3.23,3.01,3.27,3.33,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,0.93,0.98,0.89,0.94,0.87,1.03,0.94,0.71,1.03,0.93,0.99,0.89,0.89,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,224,116,108,22,19,32,26,32,39,73,72,69,43,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,226,118*,107*,26**,22**,36**,28**,29**,35*,73*,75*,64*,41*,45*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 29th to 31st May 2020,NET: Trust,80,44,36,12,10,3,10,13,17,25,21,23,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 29th to 31st May 2020,5 - Trust completely,13,6,7,2,2,1,3,3,-,3,3,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
